time,x_pos,y_pos,z_pos
2339.99,-0.1364316,0.7688769,0.4124241
2353.598,-0.1351442,0.7664438,0.4133695
2367.098,-0.1341438,0.7623604,0.4137112
2381.4,-0.1333642,0.7572102,0.4135489
2395.312,-0.1326348,0.7489278,0.4160731
2408.973,-0.1324499,0.740453,0.4176263
2423.108,-0.1325254,0.7325591,0.4174159
2436.568,-0.1326578,0.7254245,0.4170008
2450.691,-0.1327921,0.7188688,0.4164785
2464.774,-0.1335108,0.716966,0.4144961
2478.979,-0.1341656,0.714211,0.4127968
2492.719,-0.1347512,0.710174,0.4131777
2506.547,-0.1352307,0.7059702,0.4134133
2520.429,-0.1349091,0.7047094,0.412135
2534.321,-0.1347831,0.7022713,0.4103664
2548.426,-0.1346876,0.6991194,0.4082934
2562.426,-0.1350071,0.7013264,0.40789
2576.059,-0.1346668,0.7028058,0.4067957
2589.823,-0.1343857,0.7079006,0.4058156
2604.163,-0.1338564,0.7124631,0.4044981
2618.132,-0.1328558,0.7155887,0.4031187
2632.129,-0.1320943,0.7170454,0.4045306
2645.717,-0.1314994,0.7181162,0.4056072
2659.748,-0.131008,0.7177923,0.4063892
2673.687,-0.1306581,0.7174282,0.4069442
2687.442,-0.1303127,0.7176863,0.4085889
2701.513,-0.1300814,0.7179082,0.4101738
2715.089,-0.1299725,0.7181666,0.4116897
2729.335,-0.1289242,0.7168764,0.4131212
2743.549,-0.1281392,0.7158106,0.4144119
2756.871,-0.1264494,0.717438,0.4169496
2770.678,-0.1248946,0.7183383,0.4188885
2785.849,-0.1234665,0.7188759,0.4205003
2798.843,-0.12113,0.7201566,0.4218526
2813.083,-0.1186781,0.7212381,0.4232764
2826.67,-0.1131905,0.7227597,0.4267621
2840.497,-0.108903,0.7239406,0.4294382
2854.605,-0.1052318,0.7241259,0.4327446
2868.528,-0.1020781,0.7243214,0.4355173
2882.814,-0.09921355,0.7245367,0.437988
2896.25,-0.09250725,0.7229782,0.4400166
2910.127,-0.08693708,0.7219345,0.4419277
2924.129,-0.07983483,0.7242843,0.4431315
2937.923,-0.07361686,0.7260461,0.4443339
2952.002,-0.06821125,0.7273182,0.4453783
2965.844,-0.06155089,0.7311814,0.4439457
2979.669,-0.0551658,0.7343035,0.4433257
2993.935,-0.04697772,0.7325376,0.4449285
3007.678,-0.03967615,0.7317083,0.4465261
3021.328,-0.03437568,0.7272618,0.4474666
