time,x_pos,y_pos,z_pos
3949.13,-0.1850347,0.7747082,0.05493967
3963.127,-0.1866892,0.7717323,0.0521208
3977.347,-0.1874511,0.7656919,0.04844287
3990.885,-0.1880504,0.7655921,0.04628627
4005.18,-0.1880608,0.7622901,0.04313997
4018.671,-0.1880373,0.757521,0.03954138
4032.815,-0.1882353,0.7540342,0.03729147
4046.729,-0.1885497,0.7498512,0.03465979
4060.347,-0.1883193,0.7445162,0.0307345
4074.092,-0.1882283,0.7395967,0.02713113
4088.302,-0.188328,0.7349991,0.02396736
4103.252,-0.1875592,0.7367308,0.02429572
4116.21,-0.1873989,0.7372367,0.0227817
4130.179,-0.1851951,0.7336898,0.02183023
4144.01,-0.183741,0.7299843,0.02017342
4157.999,-0.1818497,0.7262958,0.01779178
4171.772,-0.1805691,0.7230851,0.01554021
4186.45,-0.1796587,0.7200742,0.01334956
4199.399,-0.1783837,0.717948,0.01086354
4213.658,-0.1770141,0.7156937,0.008435614
4227.507,-0.1781502,0.718556,0.01318663
4241.416,-0.1781738,0.7190298,0.01497541
4255.51,-0.1778414,0.7185673,0.01572953
4269.126,-0.1799581,0.7209916,0.01967086
4283.584,-0.1809771,0.7215999,0.02230833
4297.073,-0.1828453,0.725484,0.02607819
4311.391,-0.183634,0.7273684,0.02783072
4325.092,-0.1844652,0.7289165,0.02846633
4338.734,-0.1847786,0.729693,0.02850869
4352.897,-0.1848741,0.7300961,0.02827536
4367.029,-0.1866319,0.7315348,0.02703183
4381.075,-0.1871872,0.7323647,0.02613933
4394.814,-0.1876181,0.7312483,0.02454907
4409.351,-0.187683,0.7308348,0.0243939
4422.713,-0.1861332,0.7296088,0.02413958
4436.809,-0.1851741,0.7297295,0.02525673
4450.755,-0.1845442,0.7302926,0.02674135
4464.429,-0.1839428,0.7300744,0.02733208
4478.448,-0.1834599,0.7301009,0.02809083
4492.233,-0.1833855,0.7311026,0.03040309
4506.214,-0.1832443,0.7320619,0.03271846
4520.038,-0.1831134,0.7329168,0.03482796
4534.074,-0.1816592,0.7328929,0.03584628
4547.878,-0.1805331,0.733248,0.03721033
4562.31,-0.1778692,0.7334722,0.04306066
4575.948,-0.176043,0.7340208,0.04811117
4589.907,-0.1747134,0.7346541,0.05247669
4603.432,-0.171443,0.7343997,0.05871809
4617.71,-0.1690018,0.7344394,0.06393878
4631.428,-0.1635019,0.7299915,0.07205382
4645.523,-0.1600819,0.7274987,0.07858168
4659.23,-0.1555647,0.7253901,0.08547786
4673.148,-0.1518952,0.7238206,0.09123468
4686.919,-0.1485234,0.7224518,0.09630201
4701.037,-0.1441086,0.7239909,0.1029335
4715.147,-0.1400321,0.7247431,0.1090532
4728.79,-0.140378,0.7328808,0.11821
4743.055,-0.1397339,0.7386618,0.1262313
4756.813,-0.1374559,0.7355336,0.1305191
