time,x_pos,y_pos,z_pos
361.131,0.03067987,1.072198,0.596095
374.658,0.03023728,1.078438,0.5848641
388.397,0.0297563,1.083471,0.576291
402.635,0.02944669,1.091124,0.5604844
1223.744,-0.0935446,1.0926,0.07716426
1237.676,-0.09322938,1.088051,0.0781423
1251.796,-0.0933506,1.083123,0.07843581
1266.056,-0.09320305,1.073621,0.08047393
1279.232,-0.09319858,1.065099,0.08193438
1293.265,-0.09333505,1.057846,0.08294124
1307.745,-0.094023,1.044495,0.08537262
1321.34,-0.09456782,1.033244,0.08698514
1335.385,-0.09691629,1.021113,0.08838958
1349.352,-0.09852172,1.011127,0.08959275
1363.181,-0.1001714,0.9974672,0.090128
1376.77,-0.101394,0.9861658,0.09072649
1390.71,-0.1023829,0.9763535,0.09128349
1404.507,-0.105245,0.9666291,0.09173568
1418.523,-0.1069857,0.9569633,0.09215638
1432.464,-0.1094477,0.947849,0.09022135
1446.076,-0.1110729,0.9387428,0.08907454
1460.588,-0.1123734,0.9297131,0.08829699
1474.504,-0.1124357,0.914367,0.08505202
1488.472,-0.1128992,0.9010577,0.08235198
1502.124,-0.1114092,0.8772107,0.07878819
1516.003,-0.1108475,0.859827,0.07623103
1529.662,-0.1119684,0.840583,0.07129426
1543.917,-0.1128688,0.8249935,0.06759186
1557.577,-0.113639,0.8113477,0.0645602
1571.566,-0.1139469,0.8029265,0.06138117
1585.568,-0.1145668,0.7939101,0.05877332
1599.504,-0.1148151,0.7835455,0.05624846
1613.277,-0.1149519,0.7727122,0.05386209
1627.243,-0.1147793,0.7610756,0.05114903
1641.309,-0.1151153,0.7579014,0.04924786
1655.307,-0.115426,0.7528076,0.04750533
1669.15,-0.1153669,0.7490541,0.04615541
1682.987,-0.1150668,0.743461,0.04448912
1696.743,-0.1148498,0.7407655,0.04305446
1710.799,-0.1146366,0.7365555,0.04129315
1724.911,-0.1146588,0.7312361,0.039102
1738.712,-0.115578,0.7326793,0.03776453
1752.681,-0.1166431,0.7325677,0.03613476
1766.804,-0.1174283,0.7340797,0.03402606
1780.745,-0.1172197,0.7342456,0.03215738
1794.523,-0.1166205,0.7335732,0.03030031
1808.248,-0.1157262,0.7322682,0.02725893
1822.395,-0.1150916,0.7307312,0.02411897
1836.604,-0.1120219,0.7269377,0.02024584
1850.332,-0.1100519,0.7240682,0.01681809
1864.243,-0.1072108,0.719485,0.01442062
1878.249,-0.1050861,0.7156411,0.01240193
1892.185,-0.103415,0.7121317,0.01060878
1906.012,-0.1025028,0.7105514,0.01113594
1919.869,-0.1014812,0.7085636,0.01125208
1933.752,-0.1020083,0.7098138,0.01414818
1948.283,-0.1020447,0.7100691,0.01620041
1961.619,-0.1032679,0.7130067,0.01953685
1975.528,-0.1041699,0.7152606,0.02218184
1989.405,-0.1046597,0.7165744,0.02393758
2003.449,-0.1061181,0.719162,0.02553165
2017.248,-0.1073468,0.7214123,0.02690803
2031.291,-0.107896,0.7220079,0.02705382
2045.271,-0.1083292,0.7225305,0.0272386
2059.249,-0.1086878,0.7229815,0.02741312
2072.98,-0.1090847,0.7236928,0.02783956
2087.074,-0.1094301,0.7242541,0.02815539
2100.963,-0.1092649,0.7240818,0.02800722
2114.929,-0.109142,0.7240007,0.02793255
2128.764,-0.1090369,0.7239338,0.02784549
2142.648,-0.1087787,0.7237076,0.02722617
2156.749,-0.1085423,0.7234163,0.02652944
2170.971,-0.1090335,0.7231896,0.02494171
2184.916,-0.1093729,0.7230819,0.02359541
2198.852,-0.1089435,0.7229756,0.02338798
2212.366,-0.1086512,0.7228783,0.02308986
2226.364,-0.1084401,0.7227938,0.02276393
2240.212,-0.1082488,0.7229673,0.02327257
2254.363,-0.1081382,0.7230474,0.02357265
2267.941,-0.1072231,0.7225633,0.02377743
2282.141,-0.1063084,0.7220646,0.02393515
2296.086,-0.1060219,0.722208,0.02428287
2310.12,-0.1057709,0.7223749,0.02438996
2323.958,-0.1055443,0.7225802,0.02429128
2337.478,-0.1065668,0.7226887,0.02386054
2351.672,-0.1077868,0.7228097,0.02334295
2365.661,-0.1104706,0.7295925,0.02716611
2379.391,-0.1130871,0.7373724,0.03095958
2393.383,-0.1153123,0.7444664,0.03430249
2407.29,-0.1207176,0.7822104,0.04232428
2421.143,-0.1244182,0.8088773,0.0477545
2435.028,-0.1240716,0.869409,0.04979856
2449.497,-0.1239364,0.9017571,0.04921979
2463.05,-0.1227329,0.9450663,0.04667287
2476.844,-0.1223142,0.9787554,0.04870518
2490.893,-0.1218292,1.004326,0.04947548
2504.73,-0.1174203,1.018434,0.04772662
2518.629,-0.1146113,1.036405,0.046662
2532.457,-0.1111819,1.045051,0.04913528
2546.347,-0.1083447,1.057719,0.04981806
2560.077,-0.1060515,1.070771,0.04892797
2574.127,-0.1036477,1.079571,0.04857393
2587.974,-0.1010183,1.09154,0.04829022
2602.24,-0.1003845,1.091645,0.04793078
2616.983,-0.09908566,1.09543,0.04758396
2629.665,-0.09892565,1.09203,0.0474223
2643.602,-0.0987256,1.091053,0.04701011
2657.611,-0.09823833,1.091274,0.04659495
2671.597,-0.09894003,1.088557,0.0453958
2685.621,-0.09942041,1.086544,0.04408801
2699.197,-0.1004511,1.08577,0.04267129
2713.575,-0.1012261,1.08592,0.04119779
2727.645,-0.101834,1.087005,0.03992128
2741.43,-0.1013822,1.081704,0.03964232
2755.781,-0.1010095,1.07861,0.03942079
2768.842,-0.1015485,1.072799,0.03910165
2783.271,-0.1019858,1.069386,0.03889462
2797.175,-0.1027852,1.067464,0.03954975
2811.11,-0.1034012,1.065835,0.0400069
2824.889,-0.1038973,1.064613,0.0402759
2838.798,-0.1027526,1.065268,0.04308761
2852.72,-0.102366,1.065253,0.04474234
2866.511,-0.1028395,1.065302,0.04621428
