time,x_pos,y_pos,z_pos
2700.54,0.1282865,0.7968099,0.2764497
2714.8,0.1273997,0.792984,0.2755524
2728.619,0.1275946,0.7924319,0.2762461
2742.552,0.1271776,0.7902609,0.2762599
2757.724,0.130099,0.7806584,0.2738489
2770.346,0.1323666,0.7729819,0.2728363
2784.197,0.1323334,0.7607992,0.2700155
2798.19,0.1324767,0.7512401,0.2681204
2811.817,0.1326845,0.7433165,0.2667801
2825.795,0.1315635,0.7400091,0.2632467
2840.019,0.1311042,0.7368363,0.2607104
2854.234,0.1304767,0.7339071,0.2567586
2868.053,0.1294595,0.7300317,0.2525811
2881.903,0.1281691,0.7254051,0.2481111
2895.871,0.1288199,0.7148522,0.2447963
2909.82,0.1290348,0.7049762,0.2411284
2924.376,0.1305966,0.7002836,0.2413052
2937.736,0.1318832,0.6956173,0.2410475
2951.422,0.1336394,0.6995565,0.2427739
2965.198,0.1349137,0.7014221,0.2437155
2979.295,0.1357851,0.7020668,0.2440775
2993.298,0.1358403,0.7089903,0.2467561
3007.344,0.1360351,0.7162008,0.248396
3021.676,0.1354973,0.7200436,0.2493154
3034.881,0.1354913,0.7230116,0.2499306
3049.145,0.1346716,0.7242036,0.2510313
3062.418,0.1342038,0.7251286,0.2519192
3076.876,0.1339765,0.7258418,0.2526216
3091.273,0.1344651,0.7252169,0.2525344
3104.662,0.1347718,0.7248476,0.2526286
3118.896,0.1353171,0.724095,0.2525024
3132.513,0.1357981,0.7233344,0.2523511
3146.161,0.1362312,0.7225358,0.2521663
3160.373,0.1367195,0.723497,0.2528976
3174.227,0.1370039,0.7245231,0.2536851
3188.093,0.1367954,0.7257771,0.2551419
3201.797,0.136447,0.7267779,0.2562883
3215.696,0.1359995,0.7275867,0.2571926
3229.772,0.1354812,0.7268085,0.2557687
3243.552,0.1347686,0.7261747,0.2544574
3257.488,0.1347568,0.7266256,0.2552096
3271.673,0.1346704,0.7268274,0.2557127
3285.659,0.1332767,0.7284378,0.2582156
3299.521,0.1318992,0.7289163,0.2598945
3313.221,0.1305645,0.7288785,0.2611121
3327.328,0.1279295,0.7293673,0.2618169
3341.608,0.1255546,0.7300515,0.262659
3356.98,0.1226161,0.7316625,0.2652422
3369.521,0.1205263,0.7330729,0.2676983
3382.958,0.1170895,0.7328238,0.2685073
3396.791,0.114336,0.7334564,0.2700444
3410.793,0.1119583,0.7343562,0.2717748
3424.927,0.1059377,0.7318665,0.2736322
3438.715,0.1010886,0.7304065,0.2758411
3452.808,0.09274015,0.7287872,0.2810235
3466.595,0.08601055,0.727693,0.2853845
3480.868,0.08040594,0.7268645,0.2889039
3494.349,0.07201406,0.7285404,0.2923787
3508.831,0.06487212,0.729623,0.29538
3522.775,0.05142951,0.7462389,0.2962899
3536.432,0.04053296,0.7577743,0.2971707
3550.105,0.03116156,0.7661825,0.2982168
3564.292,0.02039006,0.7516114,0.3067747
3577.99,0.01109347,0.7427783,0.3131711
3592.245,-0.002855632,0.7297289,0.3173024
3605.88,-0.01335757,0.7219315,0.3208454
3619.529,-0.02567142,0.7228129,0.3185905
3633.18,-0.03619045,0.7218595,0.3176204
3647.616,-0.04606493,0.7199636,0.3170855
3661.911,-0.05799972,0.7225813,0.3153635
3675.534,-0.06937912,0.723969,0.3148647
3689.262,-0.08177158,0.7302152,0.3057694
3703.164,-0.09345965,0.734031,0.300084
3716.908,-0.1086848,0.7337593,0.2963761
3730.779,-0.1209911,0.7337087,0.2936695
3744.916,-0.1321267,0.7338665,0.2915516
3759.343,-0.1386464,0.7319063,0.2818058
3772.846,-0.145225,0.731185,0.2757418
3786.754,-0.1545905,0.7293905,0.2647524
3800.4,-0.16474,0.727301,0.2548941
3814.366,-0.1741095,0.7265717,0.2480926
3828.612,-0.1772994,0.7284549,0.2376562
