time,x_pos,y_pos,z_pos
3674.854,-0.1094297,0.7592865,0.007613868
3689.077,-0.1055753,0.7490683,0.003672376
3703.016,-0.1028989,0.7388886,-0.0006124377
3716.706,-0.1006736,0.7343695,-0.002753243
3730.494,-0.09882979,0.7285857,-0.00568445
3744.541,-0.09710513,0.7222158,-0.009006217
3758.669,-0.09530288,0.7187114,-0.01428895
3772.417,-0.09345143,0.7139748,-0.01984401
3786.436,-0.0910327,0.7050096,-0.02968206
3800.178,-0.08829776,0.6978054,-0.03796863
3814.24,-0.08544945,0.6912341,-0.04570533
3828.272,-0.08633678,0.6941098,-0.04125836
3842.167,-0.0858992,0.6934497,-0.04105005
3856.022,-0.08761904,0.6973642,-0.03704023
3869.742,-0.08795881,0.6992838,-0.03478996
3883.764,-0.08911877,0.7058042,-0.02954511
3897.788,-0.08945457,0.7101717,-0.02662809
3911.995,-0.08944334,0.7131742,-0.02481782
3925.74,-0.09198138,0.7177085,-0.0230452
3939.732,-0.09309526,0.7203937,-0.02207758
3953.489,-0.09268188,0.7210663,-0.02029271
3967.355,-0.09245133,0.7211596,-0.01937686
3980.937,-0.09227738,0.7210219,-0.0188375
3995.058,-0.09392743,0.7225714,-0.01784925
4009.005,-0.09481221,0.7234762,-0.01704824
4023.244,-0.09620875,0.7260896,-0.01534127
4036.982,-0.0969971,0.7273936,-0.01467155
4050.851,-0.09763577,0.7279309,-0.01421493
4064.787,-0.09795924,0.7279891,-0.01407506
4079.051,-0.09813948,0.7278484,-0.01407696
4092.536,-0.09712125,0.727625,-0.01358147
4107.084,-0.09683661,0.7270014,-0.01399246
4120.735,-0.09633861,0.7279615,-0.0121443
4134.673,-0.09641472,0.7280809,-0.01157013
4148.432,-0.09594428,0.7289849,-0.009399831
4162.309,-0.09588282,0.7294165,-0.008073546
4176.362,-0.09597373,0.7297637,-0.007076651
4190.622,-0.09680587,0.7304546,-0.004515424
4204.179,-0.09734066,0.7311198,-0.002023965
4218.45,-0.09770447,0.7322721,0.002402537
4231.776,-0.09809019,0.733703,0.00673414
4245.872,-0.09845568,0.7351868,0.01070513
4260.157,-0.09932359,0.7342247,0.01762766
4274.099,-0.09992245,0.7340222,0.0240742
4288.254,-0.1003521,0.7325211,0.03117588
4301.939,-0.1006831,0.7316061,0.03731301
4315.447,-0.1009408,0.7310727,0.04268239
4329.46,-0.1003755,0.7289159,0.05060799
4343.135,-0.0999409,0.7274165,0.05746392
4357.326,-0.09937248,0.7262512,0.06655683
4371.092,-0.0985972,0.7253405,0.07445566
4385.536,-0.09944827,0.7274656,0.08247817
4399.323,-0.09995894,0.7288823,0.08947873
4413.295,-0.1003451,0.7302322,0.0961217
4426.937,-0.1026013,0.7319626,0.1056153
4440.987,-0.1041932,0.7336862,0.114347
4454.891,-0.105064,0.7291056,0.1231888
4468.806,-0.1058401,0.7262391,0.1314133
4482.599,-0.1077765,0.7311723,0.1380236
4496.523,-0.109063,0.7343906,0.1445855
4510.629,-0.110076,0.736673,0.1511837
4524.696,-0.110997,0.7281326,0.1573288
4538.584,-0.1122388,0.724369,0.1649704
4552.311,-0.1153493,0.7283909,0.1715677
4566.466,-0.117175,0.7307802,0.1784474
4580.21,-0.1185438,0.7324035,0.1854745
4594.149,-0.1131482,0.7258891,0.1945395
4607.926,-0.1110644,0.723507,0.2039037
4622.499,-0.1131473,0.7225066,0.2069786
4635.875,-0.114508,0.7219149,0.2114366
4650.362,-0.1155767,0.7214597,0.2166451
4663.605,-0.1139196,0.7215047,0.2238951
4677.687,-0.1133361,0.7206247,0.2299865
4692.049,-0.1131253,0.7179242,0.2400749
4705.583,-0.1130607,0.7153693,0.2490368
4719.351,-0.113564,0.7176694,0.2518381
4733.341,-0.1134177,0.7193763,0.2565119
4747.331,-0.11308,0.7206337,0.2621667
4761.224,-0.1118585,0.722212,0.2675484
4775.072,-0.1113151,0.7232754,0.2731161
4788.838,-0.1113741,0.725322,0.2779174
4802.881,-0.1115518,0.7268446,0.2830151
4817.553,-0.1134229,0.7304241,0.2852983
4830.792,-0.1144355,0.7335148,0.2891308
4844.613,-0.1149766,0.7361348,0.2937383
4858.732,-0.1116863,0.731518,0.2972519
4872.888,-0.1098402,0.7293817,0.3018684
4887.02,-0.109217,0.7298926,0.3078274
4900.668,-0.108938,0.7294915,0.312505
4914.771,-0.1087589,0.7289702,0.3169318
4928.443,-0.1073584,0.7287579,0.3216577
4941.932,-0.1067415,0.728153,0.3256635
4955.851,-0.1090417,0.732864,0.3244138
4969.648,-0.1104199,0.7356401,0.3227047
4983.659,-0.1122229,0.7358126,0.3200603
4998.174,-0.1131551,0.7363131,0.3183646
5011.743,-0.1137197,0.7369822,0.3173556
5025.723,-0.1118185,0.7309172,0.3137471
5039.629,-0.110325,0.7270548,0.3119198
5053.901,-0.1101274,0.7258711,0.3103997
5067.378,-0.109615,0.7248375,0.3094053
5081.233,-0.1089247,0.7239795,0.308925
5095.328,-0.1079709,0.7253149,0.3116527
5109.205,-0.1072973,0.7250578,0.3124892
5123.931,-0.1055959,0.7270097,0.3158306
5137.096,-0.1044978,0.7271893,0.3170471
5151.17,-0.1036968,0.7272046,0.3161919
5165.197,-0.10268,0.727236,0.3156198
5179.199,-0.1016086,0.727285,0.3152503
5192.968,-0.1011773,0.7279055,0.3123991
5206.93,-0.09968349,0.7287312,0.3104642
5220.987,-0.09437513,0.7294522,0.3106964
5234.731,-0.08975765,0.7306163,0.3117072
5248.433,-0.08586229,0.7319142,0.3130411
5262.428,-0.07658476,0.7318726,0.3139266
5276.36,-0.07054329,0.7321752,0.3140538
5290.041,-0.06018761,0.7304111,0.3147063
5304.246,-0.05249552,0.7292918,0.3148457
5318.324,-0.04266839,0.7287949,0.3096308
5332.12,-0.03450612,0.7283971,0.3055195
5346.043,-0.0274999,0.7279944,0.3023562
5359.847,-0.01713013,0.7245236,0.3013332
5374.448,-0.00848775,0.7219647,0.2999684
5388.075,0.002248812,0.7168327,0.2957115
5401.745,0.01114142,0.7127264,0.2915269
5415.644,0.01951813,0.7149479,0.2861304
5429.525,0.02710781,0.715449,0.2811885
5443.85,0.03431045,0.7151923,0.2767834
5457.613,0.04055113,0.714121,0.2686669
5471.165,0.04772975,0.712891,0.2622499
5485.52,0.05110504,0.7207291,0.2455487
5498.715,0.05642696,0.7256724,0.234576
5512.739,0.06239549,0.7290596,0.2264438
5526.922,0.0673782,0.7282989,0.2199034
5540.82,0.07262631,0.7287964,0.2141991
5554.977,0.0768955,0.7323864,0.2090996
5568.77,0.08131209,0.7344124,0.2027395
5582.636,0.08839279,0.727345,0.1913434
5596.324,0.0945106,0.7234118,0.1815574
5610.398,0.1002731,0.7209262,0.1724837
5624.471,0.09169967,0.7363371,0.1585579
5638.216,0.08896688,0.7456402,0.146093
5652.197,0.08929636,0.7415223,0.139965
5665.937,0.09062772,0.7397994,0.1332783
5680.473,0.0925178,0.739181,0.1260729
5694.073,0.08795831,0.7344851,0.1141877
5708.247,0.08620983,0.7321569,0.1038772
5721.911,0.08264595,0.7317559,0.09518895
5735.698,0.0806869,0.7314145,0.08621334
5749.604,0.08040536,0.7259471,0.07545288
5763.294,0.07997733,0.7225801,0.06550474
5777.273,0.07952886,0.7203248,0.05608562
5790.999,0.07421958,0.7155966,0.04792308
5805.447,0.07118056,0.7127346,0.04039959
5818.966,0.0600798,0.7125028,0.03655857
5833.222,0.05245708,0.7118146,0.03084973
5847.305,0.04670202,0.7108159,0.02413131
5861.086,0.0351311,0.7161583,0.01510282
5874.883,0.02655577,0.719939,0.00688564
5888.698,0.01647752,0.7193711,0.003120556
5902.559,0.008552037,0.7189795,-0.001883596
5916.527,-0.00478046,0.7217528,-0.003456891
5930.308,-0.0150446,0.7232238,-0.007357478
5944.622,-0.02379541,0.7240816,-0.01243055
5959.301,-0.03543723,0.7239487,-0.01667403
5972.385,-0.04502183,0.7234834,-0.02220683
5986.296,-0.05459994,0.7226202,-0.02881007
6000.189,-0.06309319,0.7221149,-0.0352947
6014.242,-0.07118573,0.7217847,-0.04188593
6028.036,-0.08225799,0.7234805,-0.04768646
6041.794,-0.09214516,0.724779,-0.05369078
6055.937,-0.1048715,0.7312308,-0.05383158
6070.016,-0.1161939,0.7355384,-0.05649006
6083.514,-0.1217628,0.7308906,-0.05775869
6097.796,-0.1286932,0.7284034,-0.06048563
6111.579,-0.1364082,0.7270626,-0.06403174
6125.452,-0.1399944,0.7243346,-0.06615893
