time,x_pos,y_pos,z_pos
5541.274,-0.08189222,0.7715153,0.3265678
5555.185,-0.08181606,0.7695441,0.3261442
5568.907,-0.08192337,0.7663119,0.3257135
5582.858,-0.08194652,0.7632255,0.3254237
5596.763,-0.08194047,0.7602668,0.3251419
5610.784,-0.08215268,0.757783,0.3236122
5624.9,-0.08243571,0.7551291,0.3219559
5638.922,-0.08340261,0.74842,0.3198082
5652.396,-0.08432119,0.74172,0.3175153
5666.295,-0.0838202,0.7350074,0.3158859
5680.489,-0.08341879,0.7290449,0.3142744
5694.155,-0.08309568,0.7239271,0.312791
5708.106,-0.08236104,0.7219174,0.3122314
5722.13,-0.08175789,0.7196926,0.31154
5736.011,-0.08224961,0.7208031,0.311859
5749.799,-0.08256289,0.7212072,0.3119119
5764.018,-0.08279894,0.7213131,0.3118401
5777.809,-0.08302899,0.7225389,0.3121416
5792.088,-0.0834,0.7244513,0.3125752
5805.914,-0.08302024,0.7261873,0.3131627
5819.467,-0.08269046,0.7277297,0.3136542
5833.339,-0.08306839,0.7298512,0.3143733
5847.902,-0.08341487,0.7316878,0.3149951
5861.315,-0.08371335,0.7331957,0.3155206
5875.44,-0.08308721,0.7339379,0.3163097
5889.437,-0.08261019,0.7345371,0.3169509
5903.161,-0.08211519,0.734042,0.3170072
5917.231,-0.08173915,0.7336348,0.3170215
5931.103,-0.08190143,0.7338003,0.3166125
5945.067,-0.0820186,0.734054,0.316266
5959.052,-0.08210388,0.7343733,0.3159474
5972.816,-0.08215234,0.7343463,0.3159219
5986.489,-0.0821553,0.7343566,0.3159708
6000.444,-0.08251838,0.7341691,0.3157885
6014.573,-0.08296177,0.7339173,0.3155308
6028.559,-0.08338671,0.7335907,0.3152461
6042.347,-0.08412816,0.7322448,0.3140043
6056.525,-0.08466975,0.7306893,0.3127158
6070.07,-0.08426432,0.7286897,0.3108457
6084.114,-0.08398405,0.7269047,0.3090829
6097.945,-0.08446202,0.725723,0.3058942
6111.844,-0.08490737,0.7246706,0.3028403
6125.711,-0.08531835,0.7237296,0.3000286
6139.736,-0.08451819,0.7202759,0.2942774
6153.92,-0.08400726,0.7172847,0.2891074
6167.808,-0.08556174,0.7161841,0.2802478
6181.496,-0.08663576,0.7152311,0.2731785
6195.358,-0.08739993,0.71435,0.2673994
6209.635,-0.08572076,0.7112143,0.2601308
6223.636,-0.08504672,0.7087727,0.2537563
6237.689,-0.08323158,0.712821,0.2421179
6251.105,-0.08220161,0.7152922,0.232782
6265.155,-0.08243807,0.7224407,0.2274058
6279.209,-0.08247162,0.7268254,0.2218912
6292.849,-0.08252943,0.7299675,0.2165291
6306.801,-0.08339144,0.7207553,0.2144413
6321.187,-0.08401063,0.7143538,0.2114325
6334.688,-0.08487114,0.7211839,0.2026068
6348.65,-0.08568493,0.7264056,0.1943122
6362.771,-0.08592112,0.7301111,0.1866012
6376.855,-0.08657432,0.7308285,0.1792614
6390.587,-0.0871333,0.7319466,0.1723472
6404.525,-0.08715758,0.7295691,0.1646842
6418.563,-0.08676095,0.7276515,0.1571158
6433.231,-0.08412854,0.7179023,0.1472103
6446.542,-0.082846,0.7120878,0.1386908
6460.247,-0.08240749,0.7085638,0.1311262
6474.708,-0.08379586,0.7123083,0.1206928
