time,x_pos,y_pos,z_pos
3410.912,-0.08661088,0.7876386,0.04938778
3424.833,-0.086363,0.7789877,0.04911773
3438.616,-0.08697671,0.7664596,0.04663774
3452.941,-0.08685988,0.7586033,0.04611497
3466.886,-0.08525317,0.7492033,0.04410942
3480.682,-0.08414476,0.7367237,0.04039782
3494.571,-0.08299056,0.7304402,0.03559902
3508.472,-0.08196218,0.7240971,0.03143659
3522.327,-0.08119902,0.7176224,0.02664715
3536.134,-0.08046222,0.7109169,0.0217016
3550.835,-0.0796863,0.7038414,0.01650163
3563.849,-0.08046998,0.7008084,0.01385035
3578.127,-0.08077323,0.6960322,0.01005659
3591.699,-0.0807026,0.6959118,0.00913047
3605.908,-0.08064081,0.6952634,0.007821515
3620.009,-0.08062133,0.6941761,0.006179623
3633.515,-0.08052425,0.6982724,0.008697517
3647.869,-0.08029184,0.7017841,0.01091419
3661.85,-0.08114718,0.7114747,0.01499681
3675.557,-0.08165392,0.7189301,0.01770727
3689.395,-0.08105519,0.7215886,0.01917797
3703.114,-0.08067542,0.7238244,0.02042493
3717.048,-0.08044469,0.7258406,0.02156224
3731.169,-0.08022594,0.7252495,0.02221312
3745.273,-0.08001508,0.7247509,0.02265419
3759.098,-0.08003594,0.7247314,0.02364456
3772.973,-0.07994542,0.7246057,0.02459376
3787.396,-0.07988662,0.7237147,0.02614504
3801.049,-0.07986574,0.722813,0.0276413
3814.792,-0.07985879,0.7219527,0.02901431
3828.733,-0.08025934,0.7233657,0.03195594
3842.548,-0.0806691,0.7240201,0.0337358
3857.168,-0.08225025,0.7274972,0.03786214
3870.48,-0.08325173,0.7294199,0.04051955
3883.871,-0.08404534,0.73083,0.04249542
3898.651,-0.08497062,0.7309042,0.05063628
3912.059,-0.08578584,0.7312768,0.05736549
3925.993,-0.08784668,0.7340371,0.06734808
3939.893,-0.0894061,0.7363501,0.07602467
3954.146,-0.09191136,0.7362175,0.08727076
3967.917,-0.09371746,0.7364851,0.09624557
3981.97,-0.09509325,0.7370639,0.1038706
3996.008,-0.09366846,0.7241859,0.1157275
4009.796,-0.09331268,0.7169489,0.1257338
4024.002,-0.0934265,0.7174001,0.1362234
4037.56,-0.09355424,0.7175495,0.1454414
4051.761,-0.09362905,0.7175427,0.1540299
4065.635,-0.09435478,0.7191744,0.1653793
4079.597,-0.0950067,0.720462,0.1757181
4093.353,-0.09633987,0.7255782,0.185273
4107.535,-0.09736849,0.7288182,0.1942974
4121.454,-0.0973695,0.7342303,0.2032905
4135.068,-0.0976409,0.7381256,0.2122967
4149.386,-0.09805345,0.7411783,0.2212834
4163.363,-0.09420068,0.7257296,0.2294436
4177.091,-0.09235112,0.7188745,0.2397885
4191.118,-0.09491061,0.7168897,0.2446853
4204.861,-0.09634063,0.7154753,0.2509627
4218.751,-0.09731404,0.7143362,0.2580658
4232.677,-0.09582467,0.7187399,0.2597296
4246.842,-0.09529909,0.7216867,0.2636869
4260.58,-0.09712936,0.7259274,0.2727103
4274.461,-0.09799983,0.7280192,0.2802926
4288.537,-0.09826708,0.7353495,0.2857685
4302.197,-0.09814271,0.7401336,0.2910038
4315.979,-0.09798169,0.743583,0.2963213
4330.014,-0.09942302,0.7464651,0.3020237
4344.198,-0.1000042,0.7482917,0.3071548
4357.847,-0.1017056,0.744835,0.3088579
4371.768,-0.102409,0.7426336,0.3121139
4385.461,-0.1027268,0.7412063,0.3162403
4399.735,-0.1038493,0.7384916,0.3203108
4413.614,-0.1042312,0.735575,0.3241304
4427.379,-0.1028182,0.7304306,0.3267621
4441.229,-0.1023019,0.7266932,0.3300108
4455.183,-0.1025398,0.7243621,0.3311747
4469.104,-0.1029244,0.7225912,0.3331154
4483.153,-0.1033657,0.7210585,0.3355249
4497.042,-0.1023196,0.7212787,0.336535
4511.025,-0.101615,0.7212877,0.3379217
4524.641,-0.1005897,0.7188229,0.3363171
4538.64,-0.09996004,0.7174049,0.3358854
4552.71,-0.09948446,0.7163493,0.3360611
4566.782,-0.09804724,0.7153298,0.3354143
4580.657,-0.09678039,0.7156594,0.3337541
4594.824,-0.09773144,0.7181039,0.3313394
4608.272,-0.098074,0.7203276,0.3292125
4622.219,-0.09730724,0.7223507,0.329096
4636.355,-0.09658831,0.7233083,0.3285091
4650.471,-0.09591842,0.7237628,0.3278322
4664.092,-0.09635581,0.7246663,0.3269926
4678.185,-0.09628971,0.7253483,0.3263763
4691.996,-0.09446504,0.7266258,0.3261531
4705.749,-0.09251446,0.7277993,0.3260464
4719.812,-0.09067744,0.7288573,0.3260446
4733.601,-0.08582062,0.7307172,0.3272184
4747.531,-0.08189377,0.7323741,0.3281617
4761.408,-0.07498699,0.7341575,0.3303283
4775.834,-0.06934823,0.7357569,0.3321462
4790.071,-0.05872554,0.7366107,0.3322235
4803.413,-0.05088624,0.7376146,0.3322233
4817.204,-0.04487509,0.7386308,0.3322294
4831.795,-0.0378419,0.734492,0.3350403
4845.43,-0.03012472,0.7313452,0.3372624
4859.489,-0.01655832,0.7326357,0.3371506
4873.115,-0.00371981,0.7336871,0.3373314
4887.142,0.01768565,0.7262645,0.3387674
4901.031,0.03358321,0.7217499,0.340058
4914.738,0.04640417,0.7188232,0.3411741
4929.366,0.06094526,0.7216923,0.3413284
4942.871,0.0740794,0.7228968,0.3414498
4956.668,0.08495676,0.7287798,0.3424383
4971.096,0.09568345,0.7325387,0.3433024
4984.334,0.1062974,0.7350965,0.3439677
4998.603,0.1103126,0.73582,0.3419175
5012.421,0.116445,0.7365835,0.3405993
5026.174,0.1153996,0.7340696,0.3394113
5039.862,0.1175222,0.7327115,0.3386756
5053.86,0.1171625,0.7324244,0.3371694
5067.747,0.1183569,0.7322279,0.3360467
5081.668,0.1205819,0.7321153,0.3350644
5095.978,0.1185541,0.7346238,0.3365886
5109.783,0.1181122,0.7360854,0.3370839
5123.701,0.1179817,0.7353875,0.3370194
5137.969,0.1172038,0.73432,0.3374767
5151.551,0.1164374,0.7331015,0.338198
5165.633,0.1109568,0.7332534,0.3386436
5179.533,0.1064726,0.7333806,0.3389885
5193.475,0.102826,0.7328045,0.3400257
5207.157,0.1001459,0.7323271,0.3408678
5221.731,0.09819946,0.73166,0.3411837
5234.992,0.09689417,0.7312305,0.3415363
5248.915,0.09600009,0.730938,0.341893
5262.656,0.09529731,0.7316362,0.3422232
5277.072,0.09486251,0.7322811,0.3426293
5290.616,0.09533198,0.7319145,0.3421977
5304.587,0.09649776,0.7313658,0.3415755
5318.456,0.09758801,0.7308252,0.340969
5332.462,0.09900757,0.7301299,0.3407114
5346.573,0.100273,0.7295201,0.3404459
5360.229,0.09986945,0.7303982,0.3410597
5374.435,0.0997721,0.7307732,0.341166
5388.014,0.09936903,0.732025,0.3418155
5402.138,0.09918306,0.7330528,0.3420974
5415.592,0.09923732,0.733552,0.3417947
5429.732,0.1007752,0.7362589,0.3437071
5443.633,0.1021844,0.7381418,0.3448975
5457.725,0.102513,0.7411397,0.3465913
5471.334,0.1030495,0.74376,0.3479305
5485.358,0.1036881,0.7463947,0.349258
5499.818,0.1051005,0.7505208,0.3518502
5513.464,0.1065876,0.7543945,0.3541786
5527.272,0.1081131,0.7593064,0.3551675
5541.364,0.1095476,0.763983,0.3559401
5555.082,0.109048,0.7728108,0.3561973
5568.996,0.1092955,0.7808174,0.3561876
5582.858,0.1097716,0.7881973,0.3563781
7239.901,-0.1009005,0.7838588,0.1650085
7254.012,-0.1024607,0.7725364,0.1595122
7267.856,-0.1039163,0.7613546,0.1549714
7281.548,-0.1051833,0.7505469,0.1511373
7295.836,-0.1038602,0.7414446,0.1491516
7309.725,-0.1032059,0.7321528,0.1469362
7323.218,-0.1014571,0.7297188,0.1453516
7337.372,-0.1002862,0.7258358,0.1434973
7351.246,-0.09942744,0.7209716,0.1413559
7365.698,-0.09920169,0.7184628,0.1383334
7379.624,-0.09872971,0.7142207,0.1344959
7393.35,-0.09797773,0.710726,0.1320389
7407.44,-0.09719427,0.7072043,0.1297239
7421.023,-0.0952791,0.7036018,0.1269265
7434.879,-0.09273823,0.6983868,0.1228784
7448.834,-0.08959529,0.6922148,0.1176515
7462.959,-0.08947367,0.695603,0.1188811
7476.848,-0.08922504,0.698185,0.1191529
7490.892,-0.08950421,0.7036324,0.1214226
7504.594,-0.08939619,0.7073557,0.1226504
7518.776,-0.0891849,0.7097191,0.1232325
7532.347,-0.09078331,0.7155124,0.1257397
7546.66,-0.0915978,0.7191166,0.1269681
7560.528,-0.09189681,0.7199644,0.1277763
7574.221,-0.09220827,0.7211494,0.1287392
7588.144,-0.09230991,0.7229019,0.129961
7602.173,-0.09227581,0.7243403,0.1309272
7616.172,-0.0919397,0.7248306,0.1312084
7630.227,-0.09045286,0.7241275,0.1314812
7643.729,-0.08898069,0.7237897,0.1320474
7658.028,-0.08466884,0.7253658,0.1329614
7671.684,-0.08041652,0.7272733,0.1340041
7685.609,-0.07663663,0.7290653,0.1349941
7699.607,-0.06780051,0.7286769,0.1360101
7713.767,-0.06017305,0.7284284,0.1368591
7727.403,-0.04715094,0.7299865,0.137165
7741.581,-0.03654449,0.7313008,0.1373876
7755.285,-0.02163878,0.7292325,0.1396726
7769.027,-0.009641759,0.7280669,0.1413631
7782.868,0.0005948897,0.7274413,0.1427094
7797.136,0.01679232,0.730145,0.145868
7810.965,0.02960637,0.7320571,0.1481273
7824.584,0.04386923,0.7308983,0.1468037
7838.66,0.05817612,0.7300857,0.1463788
7853.178,0.07338006,0.7294867,0.1463224
7867.029,0.08525625,0.7280407,0.1469607
7880.679,0.09578873,0.7272902,0.1475652
7894.404,0.1059002,0.7246933,0.1448599
7908.25,0.1172407,0.7214611,0.1415509
7922.201,0.1213191,0.7226077,0.1398042
7936.115,0.1268816,0.7236658,0.1388535
7950.149,0.1333782,0.7246652,0.1381757
7964.037,0.1307383,0.7261476,0.1385856
7978.4,0.1306397,0.7273964,0.138815
7992.383,0.1270171,0.7275957,0.1394561
8005.917,0.1246961,0.7279203,0.1399954
8020.012,0.1231103,0.728119,0.1403124
8033.923,0.1190033,0.7278236,0.1405135
8047.756,0.1148809,0.7273635,0.1406229
8061.489,0.1100342,0.7250034,0.1408164
8075.445,0.1062558,0.7229643,0.1409604
8089.297,0.1029525,0.721797,0.1418341
8103.204,0.09992474,0.7212519,0.1427759
8117.164,0.09704077,0.7213358,0.1438862
8131.157,0.09591119,0.7205748,0.1445965
8145.247,0.09501898,0.7198002,0.1450903
