time,x_pos,y_pos,z_pos
3577.63,0.1686088,0.7473764,0.3502591
3591.489,0.1706152,0.7373524,0.3497264
3605.38,0.1687034,0.7389786,0.3509543
3619.322,0.1677429,0.7357693,0.3500398
3633.667,0.1630157,0.7320029,0.3462366
3647.204,0.1600624,0.7265785,0.3425198
3661.007,0.1583851,0.7200056,0.3388022
3674.969,0.1575464,0.7141415,0.336111
3689.046,0.1573969,0.7082636,0.3336262
3703.191,0.1581576,0.704969,0.3310018
3716.678,0.1586429,0.7012361,0.3284225
3730.756,0.1589895,0.6971496,0.325828
3744.791,0.1595155,0.7004001,0.3286302
3759.411,0.1600812,0.7013757,0.3298911
3772.764,0.1621239,0.7053393,0.3331676
3786.308,0.1631288,0.707263,0.334807
3800.269,0.1638184,0.7125108,0.3387861
3814.187,0.1638945,0.7160337,0.3416485
3828.049,0.1637275,0.7185075,0.3439262
3842.063,0.1652902,0.7179042,0.343151
3856.103,0.166259,0.7178031,0.3428636
3870.726,0.1665394,0.7191507,0.3430043
3884.251,0.1668375,0.7201749,0.3431326
3898.516,0.1671286,0.7209507,0.3432421
3911.913,0.1675967,0.7207013,0.3431221
3925.613,0.1679707,0.7203879,0.3429623
3939.982,0.1666625,0.7242388,0.3457775
3953.702,0.1659728,0.7263365,0.3472794
3967.382,0.1647192,0.7266963,0.3473648
3981.247,0.1639923,0.7269762,0.3474378
3995.219,0.1634947,0.7272092,0.3474813
4009.484,0.162816,0.7271983,0.3474492
4023.085,0.162349,0.7272369,0.347474
4036.692,0.1616595,0.7264713,0.3467295
4050.716,0.1612704,0.7260672,0.346174
4064.813,0.1610263,0.7258368,0.3457069
4078.764,0.1607708,0.7254836,0.3448736
4092.857,0.1605833,0.7252916,0.3441103
4106.847,0.1592911,0.7249634,0.3433631
4120.845,0.1581962,0.7246928,0.3426723
4134.931,0.1577868,0.7252379,0.3425558
4148.524,0.1574495,0.725712,0.3424252
4162.746,0.1571638,0.7261459,0.3422896
4176.727,0.1568976,0.7272493,0.3428124
4190.438,0.1566213,0.7282448,0.3432786
4204.387,0.1564038,0.7278885,0.3430355
4217.956,0.1560985,0.7278068,0.3429542
4232.251,0.1557431,0.7279229,0.3429868
4246.239,0.1555009,0.7286788,0.3436332
4260.355,0.1551506,0.7292582,0.3441553
4273.866,0.1534814,0.7297167,0.3454609
4287.896,0.1516063,0.7302469,0.3470139
4301.845,0.1486969,0.7310493,0.3488463
4315.51,0.1461613,0.731854,0.3506476
4329.661,0.1438807,0.7326379,0.352327
4343.67,0.1404959,0.7324782,0.3515261
4357.561,0.1373701,0.7331953,0.3514125
4371.374,0.1323706,0.7344059,0.3538431
4385.059,0.1278561,0.7354928,0.3559322
4399.102,0.1237981,0.7364805,0.3577327
4413.096,0.1180216,0.7388803,0.3609645
4427.006,0.1127429,0.7403822,0.3633479
4441.049,0.1074344,0.7424233,0.3626067
4455.301,0.1026692,0.7440662,0.3622245
4468.96,0.09716644,0.743628,0.3620509
4482.885,0.09213535,0.7437286,0.362215
4497.232,0.08761024,0.744349,0.3627349
4510.415,0.08098514,0.737717,0.3627395
4524.27,0.07514161,0.7333304,0.3629866
4538.265,0.06754675,0.7282841,0.3656366
4552.077,0.06128426,0.7246114,0.3679066
4566.159,0.05577378,0.7218221,0.369971
4580.194,0.0477991,0.7214091,0.3699899
4594.024,0.04185081,0.7206614,0.3705431
4608.316,0.03687277,0.7210609,0.3668516
4621.849,0.03143881,0.7211943,0.3644186
4635.815,0.02404053,0.7193893,0.3631999
4649.596,0.016406,0.7176358,0.3619919
4663.848,0.00897089,0.7159763,0.3608952
4677.808,0.001913365,0.7184474,0.3590283
4692.127,-0.005476829,0.7200609,0.3575274
4705.096,-0.01846078,0.7238213,0.3491793
4718.967,-0.02985176,0.7262821,0.3426358
4733.332,-0.04020339,0.7279569,0.3372295
4749.061,-0.05272664,0.7355707,0.3301083
4761.448,-0.06304476,0.7404875,0.3242925
4775.301,-0.07077164,0.7362257,0.3148091
4788.89,-0.07851733,0.7338617,0.30715
4802.925,-0.08058975,0.7296141,0.2963432
4817.742,-0.08466969,0.7270518,0.2874269
4830.844,-0.08973595,0.7253798,0.2796928
4844.673,-0.09272189,0.7223006,0.2708474
4858.724,-0.09652682,0.7207764,0.2636835
4873.001,-0.09531316,0.7152026,0.2537889
4886.544,-0.0972077,0.7125769,0.2453711
4900.433,-0.09817956,0.7057046,0.2360238
4914.624,-0.1006121,0.7010077,0.2276234
4928.51,-0.1038454,0.6974474,0.2196865
4942.619,-0.1024641,0.7089549,0.2096108
4956.372,-0.1029731,0.7158674,0.199297
4970.101,-0.1005948,0.722368,0.1984329
4983.833,-0.1005137,0.7260166,0.194093
4998.03,-0.1015693,0.7283155,0.188254
5012.194,-0.1001429,0.7347621,0.1860157
5025.679,-0.09987554,0.739107,0.1818236
5039.766,-0.09689642,0.7300631,0.1711462
5053.345,-0.09528077,0.7244065,0.1615454
5067.377,-0.09268395,0.7228305,0.1534095
5081.214,-0.09094913,0.7217214,0.1456864
5095.256,-0.08968639,0.7208508,0.1381893
5110.991,-0.08796564,0.7208761,0.1325975
