time,x_pos,y_pos,z_pos
3118.106,-0.07026644,0.7823542,0.09563006
3132.128,-0.07195772,0.7718077,0.08630671
3146.054,-0.07335311,0.761436,0.07702531
3160.02,-0.07413587,0.754038,0.06985251
3173.994,-0.07475776,0.7468462,0.06303088
3187.918,-0.07490883,0.7402719,0.05788746
3202.226,-0.07499116,0.73364,0.05263589
3215.819,-0.07499797,0.7268668,0.04720332
3229.791,-0.0760326,0.7234186,0.04165885
3243.519,-0.07671648,0.7189698,0.03568827
3257.673,-0.07686176,0.7178108,0.032505
3271.527,-0.07690381,0.7158467,0.02897909
3285.317,-0.07774304,0.7172376,0.02895655
3299.212,-0.07818113,0.717223,0.02785602
3313.117,-0.07858387,0.7164881,0.02607876
3326.792,-0.07853834,0.716131,0.02705686
3341.462,-0.07844462,0.7152278,0.02733863
3354.814,-0.07724092,0.7159162,0.02924001
3368.66,-0.07675017,0.7166216,0.03091367
3382.795,-0.07659923,0.7198372,0.03601718
3396.537,-0.07641281,0.7223968,0.04044501
3410.557,-0.07645545,0.7239363,0.04337566
3424.854,-0.07794919,0.7274972,0.04737208
3438.256,-0.07905869,0.7301621,0.05040918
3452.628,-0.08111091,0.7363792,0.05839629
3466.046,-0.08244237,0.7408437,0.06434977
3480.181,-0.08339685,0.7442478,0.0689344
3494.269,-0.0835762,0.7438061,0.08062308
3508.334,-0.08396791,0.7439048,0.08987699
3522.085,-0.08482777,0.738149,0.1013874
3535.645,-0.085516,0.7349044,0.1104759
3549.839,-0.08526726,0.7251066,0.1267428
3563.817,-0.08423392,0.7179906,0.1384724
3577.535,-0.08313901,0.7128243,0.1480453
3591.501,-0.08304904,0.7069299,0.1635398
3605.359,-0.08303223,0.7027546,0.1757887
3619.371,-0.08300431,0.7083943,0.1899244
3633.681,-0.08322435,0.7118559,0.2029237
3647.456,-0.08340564,0.7139398,0.215114
3661.169,-0.0850342,0.7191305,0.2305595
3675.128,-0.086198,0.7224542,0.2439614
3688.994,-0.08532634,0.7257367,0.2562455
3702.878,-0.08468567,0.728474,0.2684003
3716.91,-0.08532571,0.733896,0.2781402
3731.362,-0.0856818,0.7375849,0.2882978
3744.872,-0.08568778,0.7402918,0.2986984
3758.838,-0.08725528,0.7375747,0.3082135
3772.506,-0.0884344,0.7357581,0.317502
3786.239,-0.0877296,0.7290089,0.3238163
3800.172,-0.08720753,0.7246594,0.331183
3814.341,-0.08674458,0.7214726,0.3392569
3828.607,-0.08609603,0.7218688,0.3449611
3842.5,-0.08505479,0.7217794,0.3520282
3855.856,-0.0852787,0.724255,0.3571188
3869.919,-0.08557315,0.7260585,0.3631796
3883.978,-0.08613549,0.7258629,0.3648669
3897.778,-0.08706692,0.7258242,0.368017
3911.746,-0.08860307,0.7260377,0.372253
3925.54,-0.09123589,0.7311817,0.3732418
3940.078,-0.09352328,0.7354666,0.3754392
3953.451,-0.0925151,0.7344702,0.3776229
3967.561,-0.09224617,0.7342935,0.380806
3981.427,-0.09233794,0.7345787,0.3848983
3995.4,-0.08935718,0.7347785,0.3862646
4009.649,-0.08738029,0.7353195,0.388193
4023.51,-0.08516838,0.7344381,0.3881521
4036.689,-0.08362548,0.7339482,0.3885736
4050.843,-0.08476068,0.7335991,0.388165
4064.82,-0.08523663,0.7332382,0.388146
4078.815,-0.08543545,0.7328256,0.3884397
4092.848,-0.08711669,0.7335502,0.3879681
4106.774,-0.08845037,0.7342225,0.3876246
4120.503,-0.08888155,0.7363333,0.3865663
4134.277,-0.08825812,0.7384335,0.3851371
4148.466,-0.08733542,0.7404141,0.3837859
4162.247,-0.0886296,0.7394593,0.3818094
4176.163,-0.08887235,0.7388223,0.3806668
4190.139,-0.08934616,0.7384011,0.3797376
4204.289,-0.08974685,0.7380844,0.3789735
4218.794,-0.08869497,0.7361226,0.3789328
4232.252,-0.08802333,0.7341556,0.3789974
4245.864,-0.08761708,0.7322431,0.3791667
4260.074,-0.08584271,0.7305787,0.3789881
4274.214,-0.08457638,0.7289973,0.3787162
4287.823,-0.08364114,0.7288945,0.3800308
4301.417,-0.08288872,0.7289031,0.3813536
4315.064,-0.082294,0.7289985,0.3826193
4329.363,-0.08105434,0.724744,0.3801081
4343.244,-0.08003591,0.7213673,0.3781792
4356.989,-0.08138473,0.7198457,0.3723426
4371.322,-0.08247182,0.7189881,0.3674947
4387.044,-0.08451219,0.718819,0.3594346
4398.743,-0.08619538,0.7185194,0.3524752
4412.726,-0.08762385,0.7180595,0.3465595
4427.005,-0.09070355,0.7207282,0.3376678
4440.829,-0.09299279,0.7224921,0.330001
4454.528,-0.09664781,0.7242665,0.3190321
4468.314,-0.09903735,0.7250668,0.3097985
4482.569,-0.09618786,0.7231991,0.3037276
4496.332,-0.09538495,0.7220009,0.2976376
4510.421,-0.09533652,0.7211874,0.2917705
4524.56,-0.09181257,0.719637,0.2833862
4538.282,-0.09012046,0.718819,0.2759792
4552.337,-0.09261486,0.7180633,0.2748331
4566.473,-0.09408302,0.716938,0.271943
4580.438,-0.09513907,0.7158333,0.2682135
4594.347,-0.09614386,0.7176661,0.2586628
4608.265,-0.09673409,0.7189987,0.2503986
4621.967,-0.09547349,0.7232852,0.2437187
4635.687,-0.094943,0.7264055,0.2372808
4649.912,-0.09316195,0.7226593,0.2344816
4663.537,-0.0921025,0.7203652,0.2311515
4678.007,-0.09142171,0.7188231,0.2274055
4691.553,-0.09114492,0.7203826,0.2222977
4705.481,-0.0907838,0.7213069,0.2168
4719.457,-0.09357537,0.7248203,0.215301
4733.294,-0.09548913,0.7273304,0.2128594
4747.027,-0.09629035,0.7288879,0.2097601
4761.199,-0.09714878,0.7305157,0.2083175
4775.544,-0.09752885,0.7316427,0.2059636
4789.181,-0.09733962,0.7354125,0.2059324
4802.853,-0.09708253,0.7383206,0.204953
4817.117,-0.09776346,0.7380741,0.2044272
4830.721,-0.09830925,0.7383945,0.2038925
4844.819,-0.09875493,0.7389255,0.2032269
4858.628,-0.09527856,0.7331342,0.2026812
4872.43,-0.09401792,0.728688,0.2025222
4886.601,-0.09324418,0.726567,0.2031921
4900.302,-0.09310525,0.7245347,0.2031609
4914.12,-0.0931917,0.7226114,0.2027248
4928.61,-0.09256686,0.7222593,0.2043984
4942.788,-0.09220135,0.7216169,0.2052823
4956.984,-0.09144767,0.7213962,0.2070787
4970.389,-0.09094941,0.7208502,0.2081887
4983.821,-0.09086998,0.7219844,0.2097885
4998.058,-0.0907592,0.7227532,0.210934
5011.9,-0.09062895,0.7233024,0.2118194
5025.375,-0.09090823,0.7232246,0.21165
5039.221,-0.09106368,0.7232414,0.2116078
5053.276,-0.090883,0.7236436,0.2121485
5067.224,-0.09058303,0.7241166,0.2128174
5081.323,-0.09020382,0.7246262,0.2135561
5095.26,-0.08809949,0.7248004,0.2139752
5109.359,-0.08619285,0.7251416,0.2143972
5123.448,-0.08058824,0.7263042,0.2153556
5137.306,-0.07602327,0.7275488,0.2159721
5151.407,-0.06649569,0.7276602,0.2167825
5164.911,-0.05945445,0.7281133,0.2170938
5178.849,-0.05397039,0.7286459,0.2171814
5192.995,-0.04124732,0.728026,0.2176133
5206.642,-0.03187507,0.7281213,0.217777
5220.7,-0.024299,0.7274499,0.2170086
5234.291,-0.01767953,0.7268955,0.2162889
5248.112,-0.01169591,0.7264083,0.2155884
5262.248,-0.00453971,0.7263439,0.2145032
5276.135,0.002223209,0.7258439,0.2132432
5290.728,0.01266048,0.7259898,0.2118815
5304.218,0.0217134,0.7259296,0.2106257
5318.006,0.02980931,0.7306728,0.210555
5331.922,0.03766212,0.7334126,0.2098296
5345.65,0.04512411,0.7352794,0.20904
5360.047,0.05278642,0.7326504,0.2077784
5373.847,0.06010494,0.7315028,0.2070037
5387.614,0.06242238,0.7330014,0.2086539
5401.942,0.06620497,0.7338874,0.2094856
5415.352,0.07087409,0.7345303,0.2099082
5429.593,0.07577217,0.73362,0.2078866
5443.557,0.08140709,0.7337055,0.2067147
5456.961,0.0831694,0.7327603,0.2066664
5470.946,0.08572122,0.7323291,0.2066604
5485.051,0.08424079,0.7346323,0.2078225
5498.886,0.08401162,0.7358187,0.2080138
5513.134,0.08459827,0.7360028,0.2073556
5526.686,0.08013149,0.7361097,0.2066366
5540.884,0.07804388,0.7362469,0.2061837
5554.556,0.07581904,0.7357191,0.2055415
5568.398,0.07422269,0.7355291,0.2052008
5582.665,0.07306565,0.7355529,0.2050429
5596.795,0.07124409,0.7356615,0.2067095
5610.4,0.06958358,0.735983,0.208583
5624.548,0.06809813,0.7360793,0.2123967
5638.399,0.06693415,0.7362293,0.2157595
5652.259,0.06689297,0.7354122,0.2210491
5666.077,0.06695231,0.7348567,0.2253721
5680.193,0.06706312,0.7344435,0.2288026
5693.869,0.06724653,0.7336464,0.2387023
5708.038,0.067573,0.7329151,0.246127
5721.989,0.06634442,0.7330794,0.2537211
5736.176,0.06575715,0.7333708,0.260131
5749.568,0.06428429,0.7369792,0.2704056
5763.624,0.06330589,0.740033,0.2791889
5777.36,0.06260167,0.7426449,0.2869292
5791.295,0.06462321,0.7392074,0.2937647
5805.182,0.0659473,0.7371231,0.3001823
5819.546,0.06643315,0.7354873,0.3092387
5833.024,0.06702281,0.7340679,0.3171896
5848.958,0.06762818,0.7328346,0.3242954
5860.595,0.06991172,0.7293134,0.3336397
5874.624,0.07135135,0.7267683,0.3419327
5888.708,0.07188875,0.728333,0.3485409
5902.494,0.07227837,0.7283463,0.3544898
5916.73,0.07278527,0.7311616,0.3601179
5930.385,0.07353783,0.7326845,0.3658808
5944.627,0.07431922,0.7335261,0.3718602
5958.86,0.07487805,0.7382979,0.3754717
5972.254,0.07489402,0.7421108,0.3799282
5986.067,0.07369661,0.738622,0.3837206
6000.068,0.07300389,0.7365667,0.3883847
6013.847,0.07258842,0.7351018,0.3933466
6027.975,0.07214733,0.7310511,0.394191
6042.194,0.0716429,0.7273691,0.3955548
6055.85,0.07155265,0.7262977,0.3941396
6069.791,0.07118726,0.7253441,0.3936543
6083.627,0.0705177,0.7240173,0.3917437
6097.7,0.07000238,0.7228469,0.3904651
6111.742,0.06966536,0.7217282,0.3896182
6125.441,0.06928842,0.7202621,0.3861607
6139.303,0.0690664,0.7189682,0.382877
6153.36,0.06784923,0.7196316,0.3722602
6167.34,0.06725503,0.7205061,0.3638799
6181.08,0.06707101,0.7213686,0.3579681
6194.835,0.06756394,0.7214407,0.3480029
6208.984,0.06766782,0.7218143,0.3408285
6223.044,0.06727444,0.7224934,0.3226166
6237.08,0.0670297,0.7236857,0.310673
6250.9,0.06525473,0.7231864,0.2994758
6265.012,0.06348526,0.7230427,0.2904748
6278.845,0.06172974,0.7229546,0.2824793
6292.849,0.0576633,0.7322829,0.2700514
6306.66,0.05450379,0.7386273,0.2598614
6320.482,0.0546777,0.741088,0.241982
6334.471,0.05431896,0.7426832,0.2279552
6348.44,0.05355362,0.7437924,0.2156399
6362.148,0.05610445,0.7323853,0.20119
6376.125,0.05744062,0.7263194,0.1886714
6390.03,0.05830146,0.7177265,0.1763212
6404.182,0.05879831,0.7125792,0.1649714
6418.1,0.05809425,0.7182301,0.153857
6432.092,0.05791704,0.7217997,0.1434372
6446.048,0.05801468,0.7240729,0.1332444
6460.202,0.05876206,0.7300426,0.1235803
6473.987,0.05882929,0.7340459,0.1136058
6487.695,0.05979314,0.7306943,0.1077993
6501.752,0.06030748,0.7282478,0.09977746
6515.513,0.06062727,0.7263593,0.09051926
6529.476,0.05857606,0.727209,0.08575472
6543.453,0.05699559,0.727887,0.07935806
6557.254,0.05531467,0.7306789,0.07766196
6571.468,0.05391715,0.73275,0.07402366
6585.154,0.05059191,0.7379792,0.07432953
6598.808,0.04767685,0.7423804,0.0724369
6613.322,0.04511569,0.746113,0.06902037
6626.946,0.05050351,0.742714,0.07122892
6641.203,0.05357454,0.7405545,0.07128836
6654.623,0.05526743,0.7385625,0.07308966
6668.685,0.0568193,0.7347981,0.0737571
6682.932,0.0571165,0.7323344,0.07706782
6696.152,0.05791195,0.72953,0.07877021
6710.201,0.05881742,0.7269864,0.07942635
6724.222,0.05844226,0.7275324,0.08366425
6737.912,0.05852219,0.7274523,0.0862751
6751.989,0.05787867,0.7291083,0.08961737
6765.777,0.05758185,0.7302411,0.09210446
6779.676,0.05743051,0.7310857,0.09406434
6793.97,0.05791063,0.7302346,0.09456875
6808.029,0.05822407,0.7293953,0.09479726
6821.768,0.05761076,0.7301291,0.09515026
6835.603,0.05723678,0.730606,0.09535269
6849.681,0.05690496,0.732394,0.09684417
6864.113,0.0567738,0.7333512,0.09745139
6877.585,0.05675486,0.7338009,0.09752411
6891.66,0.05647995,0.7336472,0.0963127
6905.504,0.05642222,0.7334125,0.09503214
6919.855,0.05506659,0.7342997,0.09488563
6932.799,0.0540422,0.7351142,0.09482303
6946.771,0.05317425,0.735926,0.09483311
6961.277,0.05329178,0.7353327,0.09419945
6974.683,0.05330131,0.7351257,0.09387086
6988.961,0.05415067,0.73221,0.09271723
7003.303,0.05430247,0.730649,0.09249757
7016.876,0.05499332,0.7314122,0.09423118
7030.472,0.05554719,0.7320728,0.0957623
7044.379,0.05596911,0.7326378,0.09712483
7058.468,0.05575415,0.7371331,0.09991217
7072.289,0.05530453,0.7407291,0.1016844
7086.247,0.05307277,0.7501396,0.1054947
7100.128,0.05109588,0.7587132,0.1083261
7114.08,0.04942594,0.7658011,0.1102474
7128.015,0.04754825,0.7714759,0.1121876
7142.526,0.0460972,0.7763985,0.1137637
