time,x_pos,y_pos,z_pos
4469.62,-0.05593589,0.7680485,-0.001279578
4483.387,-0.06463544,0.7669086,-0.004105076
4497.321,-0.07264625,0.7655076,-0.007420987
4511.452,-0.08021925,0.7639574,-0.01110573
4525.278,-0.08649405,0.7614845,-0.0133948
4539.19,-0.09270652,0.7592485,-0.01615579
4553.289,-0.09902365,0.7572719,-0.01728429
4566.892,-0.105423,0.7553817,-0.01917132
4580.95,-0.1111466,0.7555361,-0.01779183
4594.921,-0.1167286,0.7552313,-0.01720285
4608.666,-0.1223439,0.7547774,-0.01719015
4622.804,-0.1248723,0.7552388,-0.01571781
4636.577,-0.1282898,0.7553458,-0.01508822
4650.858,-0.1288733,0.7552905,-0.01334371
4664.401,-0.1300945,0.7550166,-0.01208622
4678.227,-0.1320814,0.7546183,-0.01132296
4692.589,-0.1312644,0.7551029,-0.009807706
4706.488,-0.1317058,0.755089,-0.009231851
4720.28,-0.1301359,0.749356,-0.01229551
4734.396,-0.1296393,0.7447562,-0.01513149
4748.167,-0.127256,0.7390343,-0.01826505
4762.105,-0.12559,0.7345127,-0.02092063
4775.732,-0.1243038,0.7305017,-0.02337632
4789.874,-0.1244848,0.7265254,-0.02763224
4804.067,-0.1241957,0.7230804,-0.03113866
4817.421,-0.1227886,0.7213051,-0.03189018
4831.42,-0.1212808,0.719327,-0.03274886
4845.696,-0.1194436,0.719862,-0.031383
4859.764,-0.1178071,0.7195526,-0.03103212
4874.152,-0.1162984,0.7189711,-0.03095637
4887.245,-0.1162096,0.7205451,-0.03002952
4901.343,-0.1155114,0.721144,-0.02971329
4915.198,-0.1160224,0.7226121,-0.02891508
4929.137,-0.1160617,0.7233106,-0.02856404
4942.88,-0.1159089,0.7236222,-0.02843387
4957.546,-0.1152919,0.7238964,-0.02810319
4971.01,-0.1147811,0.7240707,-0.02791388
4984.867,-0.1145382,0.7245523,-0.0272419
4998.606,-0.1143,0.7248313,-0.02678074
5012.808,-0.1116246,0.7269517,-0.0235719
5026.345,-0.1091586,0.7280655,-0.02174804
5040.829,-0.1069615,0.7285423,-0.02083443
5054.509,-0.1016281,0.7296922,-0.02023186
5068.192,-0.09730753,0.7305905,-0.0202052
5082.125,-0.08912044,0.7282615,-0.0195097
5095.963,-0.08323047,0.7268933,-0.01911019
5110.191,-0.07857864,0.7260228,-0.01879361
5124.385,-0.07157727,0.729305,-0.01654723
5138.113,-0.06561862,0.7319207,-0.01488477
5151.733,-0.05755653,0.7321769,-0.01406147
5165.718,-0.05064297,0.7324651,-0.01332994
5179.618,-0.04362031,0.7311749,-0.01416577
5193.582,-0.03694161,0.7307356,-0.0140784
