time,x_pos,y_pos,z_pos
402.526,0.02902682,0.6998271,0.595248
416.412,0.0236898,0.7149073,0.5733689
430.247,0.02041264,0.7239797,0.5573784
444.276,0.01591382,0.7257693,0.5404764
458.762,0.01291601,0.7273593,0.5279403
471.982,0.01068638,0.7288625,0.5175996
486.147,0.01471243,0.7207179,0.5065962
500.246,0.01613814,0.7170482,0.4968134
513.898,0.01673207,0.7253667,0.4817155
527.774,0.01687698,0.7304414,0.4689675
541.841,0.01686113,0.7339648,0.4576735
556.179,0.01556218,0.7239984,0.4465161
569.868,0.01516853,0.7195072,0.4366281
583.667,0.0177017,0.7096519,0.4349075
597.997,0.01924194,0.7028872,0.4301393
611.658,0.01714097,0.7100222,0.4161278
625.367,0.01615046,0.7146305,0.4034572
639.031,0.01553962,0.7176272,0.3918992
653.149,0.01613275,0.7166171,0.3891467
667.02,0.01587733,0.7157812,0.3835871
681.097,0.02023586,0.7180771,0.3841658
694.771,0.02142949,0.719381,0.3810326
708.812,0.02133631,0.7202283,0.3759378
722.987,0.02716056,0.7122204,0.3728335
736.864,0.03008023,0.7082298,0.3694662
750.568,0.02921,0.7127716,0.37159
764.433,0.02916308,0.7152194,0.3716984
778.132,0.02690884,0.7155447,0.3718747
792.529,0.02627748,0.7157238,0.3718867
806.458,0.02619639,0.7159027,0.3716553
820.16,0.02591394,0.7183719,0.3742397
834.189,0.02593019,0.7199367,0.3759981
847.972,0.024148,0.7181772,0.3762869
862.028,0.02348117,0.717263,0.3768474
875.846,0.02322686,0.7166771,0.3772241
889.699,0.02118248,0.7185795,0.3784574
903.924,0.01991913,0.7201234,0.3793513
917.863,0.01853016,0.7225679,0.3808829
931.72,0.01720909,0.7244354,0.3818123
946.316,0.01771797,0.724673,0.3822862
959.992,0.0178988,0.7249001,0.3825157
973.556,0.01798436,0.725132,0.3826395
987.91,0.01975188,0.7255431,0.3839618
1001.476,0.02132629,0.725786,0.3851074
1015.29,0.02135561,0.727046,0.3864101
1029.226,0.02130188,0.7276235,0.3871917
1043.214,0.0213307,0.7281743,0.3878766
1057.017,0.02126187,0.7284468,0.3886095
1070.71,0.02126132,0.7288042,0.3892805
1084.639,0.0204527,0.7257283,0.3872792
1098.582,0.01991935,0.7240973,0.3861381
1112.593,0.01961346,0.7214739,0.385114
1126.33,0.01943477,0.7199307,0.3847989
1140.183,0.01929305,0.7188741,0.3848561
1154.369,0.01964687,0.7179978,0.3851596
1168.149,0.01962603,0.7173423,0.3855289
1182.11,0.02020212,0.7204698,0.3884228
1196.014,0.020569,0.7226105,0.390553
1210.352,0.02050721,0.7232,0.3909323
1224.081,0.02029299,0.7237171,0.3912299
1238.173,0.02000677,0.7242025,0.3914934
1251.71,0.01989745,0.7261401,0.3931328
1265.927,0.01995233,0.7276528,0.3944885
1279.802,0.0203038,0.725997,0.3938969
1293.515,0.02048429,0.7248769,0.3935617
1307.453,0.02057639,0.7239926,0.3933349
1321.504,0.01968343,0.7231464,0.392807
1335.539,0.01873867,0.7225856,0.3924345
1349.415,0.01254862,0.7238997,0.3909144
1363.232,0.007251684,0.7250342,0.3895425
1377.314,0.001235452,0.7226129,0.3888858
1391.184,-0.003378373,0.7211236,0.3885754
1405.4,-0.007181674,0.7200972,0.3883802
1419.454,-0.02011322,0.7221361,0.3873116
1433.155,-0.02938638,0.7230355,0.3862507
1447.015,-0.04245096,0.7251886,0.3841299
1460.871,-0.05236137,0.7268239,0.3825924
1474.802,-0.06055506,0.7280834,0.3813325
1488.703,-0.07249269,0.745483,0.3756901
1502.703,-0.08210183,0.7578971,0.3715252
1516.769,-0.09796619,0.7482932,0.3710032
1530.307,-0.1106679,0.7436509,0.3702662
1544.495,-0.1161702,0.7283176,0.369098
1558.306,-0.1224978,0.7192665,0.3681643
1572.075,-0.1292315,0.7130901,0.3671139
1586.527,-0.1254304,0.7054895,0.3722187
1599.785,-0.1241555,0.6996404,0.3757659
1614.027,-0.1172986,0.7012665,0.3810247
1627.611,-0.1138924,0.7017103,0.3843285
1641.567,-0.111385,0.7018039,0.3873499
1655.914,-0.1058972,0.7073775,0.3877348
1669.692,-0.09912431,0.7149717,0.3870245
1683.635,-0.08346349,0.7217858,0.3875682
1697.698,-0.07160646,0.7269135,0.3884583
1711.586,-0.0516377,0.7270764,0.3891459
1725.069,-0.03778108,0.7270067,0.3893023
1738.884,-0.02776877,0.7267853,0.3891059
1753.33,0.001696913,0.734358,0.3899391
1766.837,0.0209826,0.7392269,0.3901685
1780.752,0.03848683,0.741905,0.3896728
1794.57,0.05278031,0.7442952,0.3894774
1808.763,0.06594639,0.7466506,0.3894821
1822.467,0.08614799,0.7434201,0.3906134
1836.612,0.1044656,0.7422149,0.3906898
1850.49,0.1211442,0.736299,0.3902565
1864.564,0.1356354,0.7330264,0.3896807
1878.231,0.1431283,0.7367013,0.3876063
1891.925,0.1519211,0.7389303,0.3859426
1906.109,0.1615722,0.7404295,0.384473
1920.677,0.1588398,0.7465262,0.3856176
1934.028,0.159763,0.7509725,0.3861806
1948.048,0.1544036,0.7491592,0.3884455
1961.757,0.1518946,0.7484351,0.3899569
1975.638,0.1505932,0.747504,0.3915733
1989.379,0.1397438,0.7422804,0.3934167
2003.629,0.1321885,0.7377604,0.3952857
2017.938,0.1186137,0.7368031,0.3954833
2031.735,0.1092242,0.7365894,0.396037
2045.636,0.09846041,0.7334997,0.3978938
2059.246,0.09141983,0.7311105,0.3990521
2073.186,0.08624462,0.729246,0.3998592
2087.432,0.07667817,0.7274215,0.4005511
2101.452,0.07006771,0.7260813,0.4012807
2115.052,0.05811227,0.7242607,0.4004857
2129.216,0.0483802,0.7226833,0.400067
2143.025,0.04019852,0.7212942,0.3998744
2157.012,0.02630396,0.7188059,0.399054
2170.725,0.01417416,0.7172744,0.3988234
2184.695,0.004750639,0.7202129,0.3966219
2198.563,-0.003674231,0.7224379,0.3955259
2212.586,-0.005476162,0.7235691,0.3953645
2226.61,-0.008427281,0.7241408,0.3950613
2240.796,-0.01220356,0.724469,0.394658
2254.368,-0.01188866,0.724658,0.3943197
2268.059,-0.01250494,0.7245079,0.3938034
2282.177,-0.01109658,0.7245851,0.3938361
2296.239,-0.009986131,0.7245815,0.3937655
2309.917,-0.009295937,0.7245943,0.3936219
2324.724,-0.004865011,0.7248403,0.3947508
2337.772,-0.001935368,0.7250806,0.3955771
2351.727,0.003262475,0.7261896,0.3958187
2365.666,0.007332876,0.72721,0.395964
2379.726,0.01125395,0.7251062,0.3945941
2393.542,0.01449582,0.7233272,0.3933925
2407.208,0.01716728,0.7218912,0.3923867
2421.476,0.01891505,0.7193567,0.3904665
2435.556,0.02049623,0.7175432,0.3890728
2449.358,0.02136684,0.7178799,0.3831549
2463.224,0.02242678,0.7180056,0.3776032
2476.947,0.02243062,0.7190056,0.3679184
2491.177,0.02262828,0.7197499,0.35986
2504.883,0.02274891,0.7202755,0.3534742
2518.808,0.02161869,0.7258103,0.3404624
2532.954,0.02069703,0.7296835,0.3305978
2546.8,0.02198341,0.7292318,0.3258621
2560.63,0.02211404,0.7296168,0.3210587
2574.477,0.02170249,0.730321,0.3161124
2588.667,0.02535246,0.728791,0.2983193
2603.122,0.02799527,0.7279927,0.2848093
2616.874,0.02781275,0.7334337,0.2734569
2630.467,0.02805904,0.7367332,0.2634483
2644.379,0.02896944,0.7354454,0.2529084
2658.285,0.02989614,0.7350001,0.2433175
2672.173,0.03080779,0.7349838,0.2342538
2686.319,0.03377793,0.7230342,0.2282709
2700.012,0.0359242,0.7154239,0.2214747
2713.924,0.03467999,0.7117607,0.2114827
2728.026,0.03429522,0.7089701,0.2021527
2741.881,0.03444361,0.7067166,0.1933984
2755.584,0.03519761,0.7182932,0.1826984
2770.096,0.03592613,0.7258309,0.172566
2783.395,0.03591109,0.7214128,0.170292
2797.627,0.03609217,0.7186605,0.1664272
2811.435,0.03725834,0.7165822,0.1622565
2825.292,0.03811615,0.714662,0.1565728
