time,x_pos,y_pos,z_pos
1517.378,-0.0481471,0.768177,0.08679389
1531.356,-0.04786054,0.7567022,0.07795738
1545.548,-0.04993831,0.7448605,0.06754243
1559.505,-0.05122416,0.7361178,0.05864505
1573.264,-0.05332457,0.7298412,0.05404721
1587.486,-0.05503444,0.7239537,0.04878354
1601.182,-0.05670267,0.7175729,0.04213636
1614.795,-0.0574687,0.7157571,0.04093175
1628.887,-0.05817555,0.7135469,0.03876674
1642.739,-0.05825872,0.7115566,0.04223363
1656.645,-0.05896062,0.7089231,0.04422517
1670.824,-0.05979356,0.7056811,0.04475526
1684.714,-0.05809105,0.7037354,0.05411808
1698.467,-0.05699044,0.7013126,0.06049514
1712.608,-0.0584694,0.7051413,0.07069641
1727.208,-0.05958338,0.7075302,0.07825136
1740.549,-0.06111415,0.7125055,0.09296449
1754.25,-0.06204835,0.7159224,0.1043263
1768.052,-0.06263192,0.7183259,0.1133957
1782.402,-0.06083535,0.7220971,0.1271568
1795.953,-0.05950603,0.7245905,0.1380721
1809.807,-0.05748946,0.7250085,0.1545829
1824.097,-0.05592199,0.7255034,0.167487
1837.74,-0.05445193,0.7259406,0.1784388
1851.705,-0.05336089,0.7233152,0.192629
1866.245,-0.05207747,0.7217498,0.2045657
1880.062,-0.05303573,0.7206013,0.2254065
1893.794,-0.05323836,0.7198014,0.240879
1907.26,-0.05396647,0.7170186,0.2529057
1921.406,-0.0543116,0.7154788,0.2641215
1935.44,-0.05385145,0.7136165,0.2746845
1949.331,-0.0530341,0.7124209,0.2885685
1963.793,-0.05301101,0.7120367,0.3016461
1977.093,-0.05231378,0.7121564,0.3124462
1990.896,-0.05195533,0.7125796,0.3238147
2005.074,-0.05221717,0.7193138,0.3335408
2018.859,-0.05203588,0.7237519,0.3445755
2032.705,-0.05159558,0.7269557,0.3561983
2046.681,-0.04796237,0.723084,0.3697356
2060.767,-0.04516984,0.7215173,0.3830418
2074.434,-0.04521165,0.7284417,0.3875678
2088.248,-0.04498054,0.7333051,0.3939901
2102.324,-0.04440942,0.7368622,0.4015695
2116.319,-0.04604758,0.7377337,0.4067019
2130.198,-0.04703873,0.7381477,0.4125231
2143.894,-0.04804444,0.7314443,0.4117012
2157.842,-0.0483785,0.7268863,0.4135482
2171.787,-0.04800729,0.7223368,0.4104045
2186.016,-0.04765819,0.7194551,0.4095717
2199.775,-0.04731263,0.7178173,0.410489
2213.93,-0.04697693,0.7159061,0.4082202
2227.84,-0.04646191,0.7147356,0.407246
2241.628,-0.04746198,0.7159529,0.4024476
2255.47,-0.04793705,0.7181862,0.3971697
2269.516,-0.04820151,0.7201869,0.3930777
2283.87,-0.05019158,0.7224441,0.3887593
2297.513,-0.05090985,0.7234744,0.3855017
2311.249,-0.04850193,0.7208883,0.378666
2325.23,-0.04701709,0.7193023,0.3737018
2338.912,-0.04547827,0.7243587,0.3601169
2352.906,-0.04455478,0.7277752,0.3504723
2367.128,-0.04399071,0.7301861,0.3435141
2380.99,-0.04558,0.7287523,0.3313463
2394.89,-0.04669712,0.7284387,0.3221718
2408.651,-0.04909293,0.7264907,0.3087775
2423.048,-0.05056733,0.7253764,0.2980358
2436.822,-0.05173988,0.7246397,0.2886479
2450.58,-0.05119774,0.7174354,0.270866
2465.224,-0.05099073,0.7130844,0.2567003
2478.452,-0.0540202,0.7162327,0.2400284
2492.334,-0.05591471,0.7176762,0.2261775
2506.316,-0.05253301,0.7130059,0.2187316
2520.306,-0.0511376,0.7101622,0.2102312
2534.337,-0.05091972,0.7083873,0.2013259
2548.163,-0.05153928,0.7107079,0.1992477
2562.025,-0.05265237,0.7118827,0.1945092
2575.567,-0.05213403,0.7158229,0.1967199
2589.814,-0.05273539,0.7182021,0.1954213
2603.715,-0.05367104,0.7199392,0.1922337
2617.616,-0.05307232,0.7202112,0.1960943
2631.683,-0.05295034,0.7203249,0.1977915
2645.225,-0.05344032,0.7217948,0.2072034
2659.329,-0.05292184,0.7221939,0.2155045
2673.605,-0.04977304,0.7233143,0.2260161
2687.356,-0.04717743,0.7238438,0.2326739
2701.034,-0.04536365,0.7240583,0.2364528
2715.197,-0.02890658,0.736056,0.2546381
2728.895,-0.01894002,0.7425464,0.2646946
2742.73,0.007410038,0.7377771,0.277245
2756.618,0.02293871,0.7362023,0.285301
2770.615,0.03431275,0.7357788,0.2914331
2785.042,0.06244386,0.7250175,0.2994415
2798.66,0.08035657,0.71978,0.3059019
2812.603,0.09477816,0.7226559,0.3129565
2826.583,0.107207,0.7239982,0.3186281
2840.501,0.1089018,0.724729,0.3238049
2854.347,0.1158148,0.7247943,0.3285193
2868.375,0.1246216,0.7247443,0.3332126
2882.718,0.1159731,0.722136,0.3360966
2896.283,0.1150549,0.7198386,0.3390339
2909.767,0.1026881,0.718897,0.3350386
2923.895,0.09729785,0.7190161,0.3335974
2937.759,0.09495089,0.7196523,0.3333408
2951.661,0.08636039,0.7208111,0.330126
2965.967,0.07879365,0.7235304,0.3271314
2979.504,0.07077827,0.723375,0.3198776
2993.364,0.06481988,0.7243197,0.3154415
3007.249,0.05403608,0.7254063,0.3092649
3021.319,0.04703352,0.726629,0.3055902
3035.086,0.04229966,0.7277231,0.3033118
3049.237,0.02727964,0.7247202,0.2892419
3063.351,0.01818889,0.7246228,0.2812635
3077.225,0.002570555,0.7246289,0.2734928
3091.176,-0.007521734,0.7244967,0.2677194
3105.002,-0.01525461,0.7244853,0.2630027
3118.581,-0.02952313,0.7160062,0.253444
3132.852,-0.04039847,0.710975,0.2461002
3146.801,-0.05203494,0.7191973,0.2410223
3160.929,-0.06240605,0.7234364,0.2352353
3174.833,-0.06609273,0.7196729,0.2302502
3188.322,-0.07204122,0.7182822,0.2255993
3202.581,-0.07904669,0.7177681,0.2208519
3216.521,-0.07883719,0.7180039,0.2156543
3230.837,-0.08264348,0.7189628,0.2101881
3244.113,-0.08430129,0.7205084,0.2115664
3257.919,-0.08707867,0.7205294,0.2101898
3272.044,-0.08586331,0.7196647,0.2133717
3285.581,-0.08680283,0.7181177,0.2141655
3299.649,-0.08881814,0.7163921,0.2139491
3314.275,-0.08624374,0.7190291,0.2174799
3327.641,-0.08558356,0.7203956,0.2188986
3341.528,-0.07925102,0.7217093,0.2226306
3355.422,-0.07534634,0.7226287,0.2247646
3369.627,-0.07282342,0.7232965,0.2260149
3383.299,-0.06967665,0.7248349,0.2283797
3398.064,-0.06718785,0.7253763,0.2295885
3411.546,-0.0657263,0.7267208,0.2303619
3425.109,-0.064217,0.7275353,0.2307578
3439.09,-0.06521945,0.7269276,0.2297416
3452.94,-0.06490969,0.7267619,0.2294704
3466.886,-0.06425865,0.726779,0.2294453
3480.877,-0.06483695,0.724425,0.2272142
3495.088,-0.06504142,0.7230455,0.2257844
3509.135,-0.06483153,0.7216757,0.2237008
3522.534,-0.06430137,0.7209982,0.2223009
3536.334,-0.06364018,0.7206646,0.2212735
3550.545,-0.06043607,0.7186533,0.218346
3564.777,-0.05768843,0.7179514,0.2164087
3578.382,-0.05254793,0.7179739,0.2145079
3592.135,-0.04880081,0.7178658,0.2123212
3605.971,-0.04429007,0.7184544,0.2068887
3619.909,-0.04026199,0.7194225,0.2025988
3633.979,-0.03673862,0.7202959,0.1990955
3647.856,-0.0289255,0.7200512,0.1918853
3661.772,-0.02291882,0.7203639,0.1862793
3675.49,-0.01579216,0.7210729,0.180932
3689.26,-0.009817142,0.721462,0.1762522
3703.51,-0.004641403,0.7217876,0.1721384
3717.278,0.005064771,0.7187798,0.1630521
3731.405,0.01265205,0.7169843,0.1558204
3745.251,0.02045348,0.7096086,0.1495648
3758.945,0.02728916,0.7046282,0.1439089
3773.219,0.03837733,0.7080746,0.1354301
3786.969,0.04737749,0.7098071,0.127978
3800.823,0.05525345,0.7106052,0.1212838
3815.196,0.06185162,0.7134966,0.1170909
3828.867,0.06808276,0.7151899,0.1122805
3842.719,0.07173309,0.7222579,0.1075576
3856.757,0.07642524,0.727062,0.102397
3870.75,0.08159172,0.7305102,0.09703469
3884.817,0.0887903,0.7251412,0.0945675
3898.583,0.0947272,0.7221451,0.09112864
3912.705,0.09715515,0.7200665,0.09155492
3926.313,0.1000809,0.7185237,0.09049594
3939.85,0.1004813,0.7181391,0.09045198
3953.997,0.1017099,0.7177832,0.08969603
3968.041,0.1034866,0.7174392,0.08837377
3981.988,0.1003385,0.7198642,0.08920477
3996.735,0.09907732,0.721108,0.08854652
4009.995,0.09351886,0.7238744,0.09015937
4023.609,0.0900002,0.7261729,0.09120493
4037.496,0.08804748,0.7279469,0.09168038
4051.457,0.08487821,0.7266576,0.09055346
4065.936,0.08265927,0.726148,0.0899497
4079.429,0.08033924,0.7258249,0.09251965
4093.711,0.07830855,0.7256924,0.09491929
4107.748,0.07696294,0.7248904,0.09650612
4121.214,0.0756873,0.7242276,0.09757742
4135.14,0.07450314,0.7236445,0.09824342
