time,x_pos,y_pos,z_pos
4830.962,-0.04404445,0.7654769,0.3898657
4844.778,-0.04488622,0.7599908,0.3884019
4858.43,-0.04549448,0.7558389,0.3873352
4872.475,-0.04620343,0.7507876,0.3857193
4886.729,-0.04673201,0.74728,0.3846198
4900.544,-0.04717609,0.7444347,0.3837439
4914.498,-0.04488818,0.7409381,0.3846218
4928.383,-0.04433305,0.7374498,0.3851914
4942.211,-0.04255215,0.7336563,0.3856158
4956.02,-0.04208746,0.7299443,0.3855915
4969.794,-0.04210082,0.7262883,0.3853388
4983.903,-0.04020851,0.7255056,0.3864966
4997.867,-0.0392549,0.7233409,0.3866039
5011.632,-0.03926057,0.7234074,0.3881347
5026.153,-0.03924027,0.7220793,0.3888779
5039.301,-0.04193242,0.7228607,0.3893908
5053.429,-0.04315963,0.7222279,0.3894975
5067.396,-0.04387301,0.7210943,0.3894674
5081.243,-0.04470624,0.7222687,0.3904437
5095.098,-0.04494,0.7222223,0.3909327
5108.889,-0.04742168,0.7249212,0.3911759
5122.684,-0.0485649,0.7261411,0.3910953
5137.112,-0.04881738,0.7266315,0.3907889
5150.925,-0.05169899,0.7236794,0.389025
5164.583,-0.05310607,0.7212439,0.388077
5178.795,-0.05542004,0.719654,0.3870655
5192.255,-0.0567878,0.7183469,0.3864568
5206.372,-0.0584305,0.7157445,0.3840021
5220.29,-0.05904629,0.7150116,0.3827979
5233.966,-0.05921545,0.7150682,0.3821719
5248.912,-0.05718515,0.7166443,0.3826828
5262.397,-0.0558502,0.7181458,0.3830439
5276.302,-0.05399678,0.7192494,0.3849691
5289.936,-0.05289179,0.7200068,0.3862597
5304.141,-0.05219614,0.7205468,0.3871726
5317.883,-0.05070619,0.7211871,0.3890791
5331.802,-0.04987142,0.7214577,0.3903269
5346.027,-0.04909592,0.7207539,0.3908552
5359.872,-0.04854829,0.7198795,0.3910503
5373.916,-0.04840066,0.7198112,0.3913894
5387.878,-0.04821311,0.7193534,0.3914831
5401.817,-0.04800077,0.718666,0.3914498
5415.46,-0.049201,0.7190012,0.3912329
5429.467,-0.04988824,0.7189927,0.39095
5443.318,-0.0505067,0.7178375,0.3902207
5457.15,-0.05110078,0.7167816,0.3895443
5470.998,-0.0516757,0.7157987,0.3889087
5484.985,-0.05115717,0.7159051,0.3890845
5499.229,-0.0508644,0.7158983,0.3891724
5512.598,-0.05061571,0.7162262,0.3894788
5526.814,-0.05048114,0.7164591,0.389637
5540.714,-0.05069013,0.7168958,0.389731
5554.504,-0.05097033,0.7173556,0.3897759
5568.292,-0.0513288,0.7178265,0.389767
5582.278,-0.05148506,0.7181796,0.3897071
5596.397,-0.05160654,0.718429,0.3895582
5610.302,-0.05167191,0.7184099,0.3894508
5623.939,-0.05175985,0.7183939,0.3893417
5638.079,-0.05185702,0.7183858,0.3892331
5652.297,-0.05195942,0.7181289,0.3889054
5666.048,-0.05216492,0.7180495,0.3886147
5679.946,-0.05216359,0.7166715,0.3878072
5694.518,-0.05208279,0.7155617,0.3872315
5708.227,-0.05318042,0.7158046,0.386653
5722.043,-0.05381732,0.7159789,0.3861478
5735.773,-0.0541725,0.7161167,0.3856867
5749.956,-0.05401078,0.7159705,0.3856456
5763.549,-0.05390031,0.7158617,0.3856142
5777.353,-0.05379851,0.7165602,0.3858902
5791.248,-0.05372267,0.7171384,0.3860314
5805.017,-0.05250516,0.7164829,0.3861011
5819.444,-0.0514925,0.7158957,0.3861306
5833.079,-0.05060318,0.7153217,0.3861161
5847.019,-0.05111713,0.7156789,0.3859652
5860.922,-0.0515186,0.7160146,0.3858094
5874.562,-0.05210013,0.7155454,0.3851515
5888.644,-0.05261471,0.7151881,0.3846291
5902.706,-0.05306733,0.714931,0.3842235
5916.683,-0.05283989,0.7146468,0.3840303
5930.559,-0.0527113,0.7144194,0.383824
5944.505,-0.0523435,0.7152379,0.3844236
5958.055,-0.05220123,0.7156888,0.3846397
5972.241,-0.05107622,0.7150083,0.384141
5986.04,-0.04961529,0.7140196,0.3834136
5999.981,-0.04803071,0.7128756,0.3825184
6013.878,-0.04560469,0.7119097,0.3802442
6028.107,-0.04385276,0.7107837,0.3774298
6041.817,-0.04591252,0.7174231,0.3659849
6055.721,-0.04696779,0.722048,0.356449
6069.532,-0.04755142,0.7252312,0.3491221
6083.702,-0.04915674,0.729,0.340001
6097.715,-0.04988347,0.7314577,0.3324984
6111.498,-0.05183633,0.7331318,0.3263687
6125.207,-0.05257051,0.7342844,0.3208398
6139.262,-0.0539517,0.7339326,0.3132979
6153.108,-0.05468508,0.734153,0.3067433
6167.256,-0.05514859,0.7346154,0.3005525
6181.343,-0.05326928,0.7236497,0.2868874
6195.362,-0.05271372,0.7187985,0.2767586
6209.345,-0.05281422,0.7146238,0.2708884
6223.1,-0.05325404,0.7117662,0.2649214
6237.117,-0.05374226,0.7095656,0.2588868
6251.169,-0.0582089,0.7205665,0.2452247
6265.032,-0.06042704,0.7270081,0.2334157
6278.607,-0.05466924,0.7166924,0.2272343
6292.409,-0.05191907,0.7110873,0.2212774
6306.479,-0.05229705,0.7121651,0.2155965
6320.758,-0.05271139,0.7123481,0.2092035
6334.297,-0.05318276,0.7122071,0.2025445
6348.508,-0.0562738,0.7133247,0.1884997
6362.057,-0.05822596,0.7151783,0.1774618
6375.98,-0.05665429,0.7136653,0.1694713
6389.924,-0.05635295,0.7132621,0.1618725
6403.741,-0.05652171,0.7132275,0.1542586
6417.878,-0.05875836,0.7169059,0.1480699
6432.293,-0.05996709,0.7192245,0.1411485
6445.979,-0.05948563,0.7184569,0.1367205
6460.085,-0.05938339,0.717854,0.1310806
6473.616,-0.06190416,0.7177232,0.1251431
6487.811,-0.06295787,0.7178087,0.1194252
6501.345,-0.06344114,0.7180175,0.1135611
6515.173,-0.06305048,0.7175468,0.1064385
6529.232,-0.06307636,0.7182561,0.1003287
6543.36,-0.06403267,0.7162884,0.09654602
6556.832,-0.06458671,0.7147196,0.092174
6570.883,-0.06503039,0.7134681,0.08725689
6584.905,-0.06856969,0.7180182,0.08872007
6599.126,-0.07040787,0.719881,0.08594567
6612.69,-0.07524312,0.7212723,0.08695957
6626.587,-0.07798472,0.7208478,0.0850163
6640.639,-0.07693166,0.7188824,0.0862333
6654.557,-0.07683926,0.716529,0.08499075
6668.4,-0.07711118,0.7143337,0.08278828
6682.309,-0.07488482,0.7134861,0.0860103
6696.649,-0.07411046,0.7122794,0.08687566
6710.405,-0.07214238,0.7139373,0.08998802
6723.929,-0.07133456,0.7149869,0.09158689
6737.88,-0.07106638,0.7157543,0.09248404
6751.814,-0.06869521,0.715206,0.09292345
6765.82,-0.06757112,0.7153277,0.09337529
6779.92,-0.06793874,0.7155607,0.09378255
6793.849,-0.06820279,0.715976,0.09433037
6807.682,-0.06282986,0.7176476,0.09584789
6821.353,-0.05835934,0.7193559,0.09709082
6835.493,-0.05470439,0.7208881,0.09799805
6849.292,-0.04359371,0.7219914,0.09907474
6863.377,-0.03517914,0.7230097,0.09960731
6877.289,-0.01596221,0.7284001,0.1009323
6891.07,-0.001900565,0.732166,0.1015408
6905.196,0.01729735,0.7349138,0.09710834
6918.998,0.0307995,0.7376366,0.09432742
6933.05,0.04286066,0.7399994,0.09256137
6947.019,0.05698875,0.7372288,0.09288493
6961.026,0.06995254,0.7364847,0.09306669
6974.864,0.08309685,0.7273085,0.09129715
6988.609,0.09543157,0.7218151,0.08984654
7002.698,0.1069034,0.7185312,0.08860099
7016.42,0.111247,0.7256745,0.09008507
7030.805,0.1181629,0.7287653,0.08916447
7044.543,0.1168215,0.7309076,0.08924991
7058.147,0.1192263,0.7322735,0.0887161
7072.006,0.1237352,0.7333143,0.08793686
7086.103,0.1189163,0.7329209,0.08673485
7100.237,0.1174234,0.7332271,0.08611381
7113.916,0.1139531,0.7305486,0.08383852
7128.058,0.1120534,0.7294776,0.08284979
7141.821,0.1067924,0.7258076,0.08076114
7155.644,0.1022529,0.724018,0.08043814
7169.788,0.09942286,0.7232777,0.08085321
7183.997,0.09424467,0.7255572,0.08288298
7197.834,0.09016292,0.7272942,0.08431601
7211.295,0.08978041,0.7287005,0.08543106
7225.097,0.08916535,0.7295307,0.08591207
7238.988,0.0890795,0.7306687,0.08694509
7253.14,0.08895145,0.7314164,0.08754182
7267.956,0.08885471,0.731952,0.08790498
7281.065,0.09075205,0.7308686,0.08782291
7294.939,0.09197777,0.7301469,0.08779604
7308.631,0.09140872,0.7284411,0.08617851
7322.481,0.0911597,0.7276229,0.08535831
7336.921,0.09105025,0.7271587,0.08486342
7350.841,0.09030452,0.7266422,0.08439444
7364.626,0.08983668,0.7262537,0.08406331
7378.475,0.08948447,0.726713,0.08458516
7392.417,0.08913834,0.7269782,0.08495447
7406.717,0.08937331,0.7271969,0.08544584
7420.542,0.08967145,0.727471,0.08599523
7434.703,0.08980756,0.7274439,0.08625349
7448.333,0.089938,0.7275937,0.08635922
7462.02,0.09006336,0.7277662,0.08646427
7475.964,0.08809631,0.7285902,0.08700261
7489.715,0.08697589,0.7291187,0.0873719
7503.651,0.08636473,0.7294677,0.08768018
7517.727,0.08820587,0.7286804,0.08759501
7531.716,0.08931939,0.7282198,0.08774163
7545.499,0.08988716,0.7269612,0.08692359
7559.603,0.09022593,0.7261741,0.08647022
7573.228,0.09117933,0.726145,0.08647331
7587.558,0.09184484,0.7261564,0.0864829
7601.177,0.09238376,0.7262138,0.08649069
7615.204,0.09170776,0.7259874,0.086556
7629.392,0.09120082,0.725301,0.08645406
7643.07,0.09094508,0.7253819,0.08708534
7657.066,0.09073051,0.7254678,0.08772765
7670.727,0.09064146,0.7254444,0.08821417
7685.087,0.09250826,0.7291632,0.09000744
7699.097,0.09409042,0.7315091,0.09061943
7712.664,0.09759579,0.7469693,0.09684647
7726.913,0.1004487,0.7580578,0.09944518
