time,x_pos,y_pos,z_pos
389.665,-0.03172243,1.054097,0.5976612
403.175,-0.03349585,1.057004,0.5916412
417.018,-0.03511587,1.059724,0.586457
431.021,-0.03512545,1.061338,0.5839096
445.2,-0.03548572,1.063118,0.5812014
459.118,-0.03585859,1.065261,0.578454
472.831,-0.03520162,1.067212,0.5767554
486.786,-0.03477024,1.069432,0.574761
500.773,-0.0340264,1.071687,0.5722528
514.676,-0.03357201,1.073808,0.5695515
528.327,-0.03325929,1.075826,0.5667036
542.354,-0.03257746,1.078196,0.5600836
556.217,-0.0321173,1.080788,0.5540683
570.148,-0.0332517,1.081884,0.5422462
583.8,-0.03439192,1.082775,0.5324153
598.027,-0.03355929,1.079099,0.5315665
612.166,-0.03294162,1.07709,0.5297995
625.956,-0.03240176,1.0759,0.5274501
639.82,-0.0337454,1.075245,0.5223195
653.611,-0.03503272,1.075013,0.5172011
667.794,-0.03488337,1.073161,0.5147426
681.488,-0.03503825,1.072002,0.5118253
695.343,-0.03532157,1.071235,0.5085663
709.494,-0.0364507,1.069877,0.5014075
723.515,-0.03740703,1.068543,0.4946375
737.247,-0.03643851,1.063894,0.4905456
750.996,-0.03574355,1.060244,0.4864092
765.217,-0.03701963,1.058868,0.4790079
779.149,-0.03806053,1.057496,0.4723252
792.965,-0.03892044,1.056111,0.4661707
807.754,-0.04048788,1.058814,0.4584684
820.872,-0.04177664,1.060049,0.4515211
834.96,-0.04096132,1.060295,0.4482796
848.609,-0.04095145,1.060394,0.4444064
862.839,-0.0412786,1.060383,0.4401004
876.598,-0.0408782,1.061297,0.4362797
890.624,-0.04066458,1.062012,0.4321305
904.562,-0.04033424,1.061489,0.4315329
918.542,-0.03997674,1.061815,0.430118
932.087,-0.03943465,1.062953,0.4302401
946.273,-0.03884105,1.064143,0.4298132
960.35,-0.03825672,1.06533,0.4289434
974.314,-0.03841575,1.067698,0.4288931
988.002,-0.03853378,1.069817,0.4284801
1001.93,-0.03813577,1.0703,0.4297716
1015.677,-0.03771007,1.070915,0.4307333
1029.711,-0.03727388,1.071606,0.4314191
1043.806,-0.03841215,1.071221,0.4322883
1057.62,-0.03934061,1.070972,0.4329239
1071.466,-0.04127052,1.071064,0.4337501
1085.591,-0.04293904,1.071511,0.4344156
1099.441,-0.0445698,1.072809,0.4349207
1113.559,-0.04603389,1.074014,0.4353064
1127.665,-0.04737416,1.075089,0.4355552
1141.741,-0.04885676,1.074684,0.4375438
1155.304,-0.05044009,1.074476,0.4391784
1169.125,-0.05252322,1.074804,0.4414144
1182.887,-0.05478315,1.074992,0.4432318
1196.976,-0.05790203,1.07578,0.4446206
1210.67,-0.06091699,1.076349,0.4457328
1224.949,-0.06384878,1.076743,0.4466521
1238.715,-0.06937799,1.076713,0.4454672
1252.471,-0.07401593,1.076306,0.44441
