time,x_pos,y_pos,z_pos
2268.583,-0.0837227,0.776693,0.04796406
2282.475,-0.08258132,0.7620808,0.04044424
2296.293,-0.08164626,0.7486578,0.03160542
2310.137,-0.08036323,0.7365291,0.02326156
2324.197,-0.07882878,0.7251679,0.01507353
2338.141,-0.08024817,0.718461,0.009787999
2352.445,-0.08010001,0.7102789,0.003732488
2366.217,-0.0812459,0.7095407,0.004012555
2379.993,-0.08098588,0.7054022,0.001738891
2394.11,-0.08234048,0.7049186,0.0001624674
2408.17,-0.08214878,0.7014036,-0.002999119
2422.171,-0.08125585,0.6963326,-0.006981865
2436.261,-0.08056684,0.6952198,-0.007016011
2449.825,-0.07970032,0.6924649,-0.008642107
2463.59,-0.07957181,0.696928,-0.002154604
2477.79,-0.07910171,0.6977989,-0.0001823455
2491.591,-0.08081493,0.705966,0.007241711
2505.638,-0.08137012,0.7111561,0.01155026
2519.481,-0.08150706,0.7147437,0.01451356
2533.383,-0.08138558,0.7197391,0.01966958
2547.293,-0.08128082,0.7226174,0.02265075
2561.128,-0.08208344,0.7261376,0.02467468
2575.066,-0.08247356,0.7280024,0.02517582
2589.426,-0.08265528,0.7291272,0.02496599
2603.173,-0.0829993,0.7313964,0.02759472
2617.154,-0.08311458,0.7327078,0.02912357
2630.77,-0.08150874,0.7301791,0.03319038
2644.763,-0.08064617,0.7286724,0.03690797
2658.589,-0.07847473,0.7261996,0.04391257
2672.384,-0.07701211,0.7247272,0.05016565
2686.265,-0.07590738,0.7239091,0.05590258
2700.4,-0.07460482,0.7237512,0.07113685
2713.988,-0.07356713,0.7235771,0.08278404
2728.453,-0.07291946,0.7265403,0.1021306
2742.102,-0.07239294,0.7283545,0.1158579
2756.153,-0.07189648,0.7295891,0.1265035
2770.371,-0.07124496,0.7272661,0.1443655
2784.04,-0.07052882,0.726032,0.1580853
2797.889,-0.07028627,0.7243587,0.1726589
2811.899,-0.06966914,0.7234697,0.1852286
2828.087,-0.06894954,0.7269815,0.202685
2839.737,-0.06801752,0.7289755,0.2175488
2853.279,-0.06698847,0.7302555,0.2309255
2867.624,-0.06452426,0.7306528,0.2414304
2881.362,-0.06279494,0.7309452,0.251825
