time,x_pos,y_pos,z_pos
1642.809,-0.01446895,0.7533497,0.3067984
1656.311,-0.01178414,0.740114,0.3083583
1670.375,-0.010037,0.7279114,0.3081318
1684.415,-0.008358026,0.7173002,0.3101226
1698.227,-0.006979031,0.7068719,0.3111053
1712.357,-0.007975595,0.7070373,0.3129855
1725.974,-0.007967886,0.7039508,0.3137987
1739.925,-0.01332902,0.7087438,0.314876
1753.987,-0.01588295,0.7100818,0.3152208
1767.889,-0.01678829,0.709501,0.31522
1781.452,-0.0186039,0.7115399,0.3163058
1795.519,-0.01956103,0.7120155,0.3167793
1809.441,-0.02257508,0.7131959,0.3173415
1823.168,-0.02426808,0.7124386,0.3173863
1837.308,-0.0253204,0.7104714,0.3172802
1851.394,-0.02714844,0.7092987,0.31885
1865.506,-0.02884408,0.7063986,0.3196219
1879.206,-0.0300008,0.7077128,0.3214266
1893.067,-0.03102263,0.7075812,0.3223764
1907.351,-0.03203772,0.7100655,0.3236321
1920.644,-0.03300513,0.7114855,0.3244035
1934.812,-0.03402039,0.71224,0.3248837
1948.703,-0.0358507,0.7135553,0.3240871
1962.818,-0.03745519,0.7149468,0.3235761
1976.721,-0.04155885,0.7168488,0.3220231
1990.54,-0.0450667,0.7185891,0.3208354
2004.454,-0.04805832,0.7200772,0.3199372
2018.504,-0.05284182,0.7196214,0.3204948
2032.543,-0.05709031,0.7189394,0.3209521
2046.741,-0.06100458,0.7208186,0.3217612
2059.9,-0.06482155,0.7217439,0.3219122
2074.029,-0.07064531,0.716873,0.3144487
2087.906,-0.07570343,0.7137018,0.3088829
2101.929,-0.08015113,0.7114151,0.3045583
2116.106,-0.08733993,0.7139424,0.2969404
2129.836,-0.09333754,0.7156547,0.2908809
2143.989,-0.1005816,0.713626,0.2821761
2157.957,-0.1069399,0.7121217,0.2750714
2171.658,-0.1129465,0.7108719,0.2687328
2185.498,-0.1198382,0.7095982,0.2601913
2199.491,-0.1263137,0.7086673,0.252822
2213.275,-0.1313065,0.7150829,0.2404144
2228.214,-0.1366752,0.7193417,0.2298309
2240.961,-0.1391549,0.7238915,0.2201167
2255.028,-0.1428536,0.7268515,0.2107035
2269.027,-0.1471132,0.7289656,0.2015225
2283.202,-0.1518719,0.7205055,0.1856893
2297.089,-0.1559231,0.7165892,0.1737822
2310.519,-0.15523,0.7184997,0.1654217
2324.761,-0.1558584,0.7196159,0.1568438
2339.004,-0.1571788,0.7203477,0.1481749
2352.449,-0.1552469,0.7224142,0.1393782
2366.534,-0.1541312,0.7231367,0.1301409
2380.673,-0.1512074,0.7198169,0.1246973
2394.431,-0.1497577,0.7175199,0.1181102
2408.367,-0.1414581,0.7151892,0.1142419
2421.915,-0.1366737,0.713087,0.1076594
2436.147,-0.1335345,0.7113534,0.1003301
2449.832,-0.1244125,0.7204154,0.09744215
2463.708,-0.1186265,0.7258822,0.09196654
2477.753,-0.1105471,0.7331704,0.09140322
2491.898,-0.1041539,0.7369684,0.08754791
2505.932,-0.09413211,0.7346497,0.0873504
2519.566,-0.08684118,0.7333609,0.08437413
2533.676,-0.0806886,0.7326981,0.08031094
2547.451,-0.06722422,0.7299182,0.07855739
2561.572,-0.05743035,0.7286918,0.07499939
2575.373,-0.04420754,0.7261468,0.0769689
2589.283,-0.03409082,0.7246776,0.07606515
2603.568,-0.0256779,0.7237737,0.07356966
2617.472,-0.01064244,0.7194054,0.074293
2631.132,0.001909032,0.7173073,0.07376149
2644.879,0.01416937,0.7182403,0.07767433
2658.754,0.02530513,0.7191924,0.07967811
2672.655,0.0386792,0.7189348,0.08664748
2686.444,0.05046959,0.7189982,0.09081462
2700.58,0.06161629,0.7191766,0.09345458
2714.338,0.06998429,0.7206562,0.1026277
2728.341,0.07872932,0.7214464,0.1082536
2742.504,0.09150238,0.7248354,0.1217712
2756.556,0.1028383,0.7266224,0.1302113
2770.721,0.113419,0.7278149,0.1361066
2784.545,0.1201429,0.7237962,0.1464425
2798.521,0.1287092,0.7218741,0.1547223
2812.234,0.1250711,0.7252734,0.1677569
2827.435,0.1278276,0.7269215,0.1773617
2839.813,0.1226856,0.7291027,0.1950121
2853.498,0.1235932,0.7306466,0.2087836
2867.506,0.1271273,0.732079,0.2204775
2881.895,0.1247332,0.7305539,0.2343192
2895.657,0.1257895,0.7293386,0.2457118
2909.473,0.117215,0.7306188,0.2569695
2923.141,0.113246,0.7311897,0.2670251
2937.568,0.1115543,0.7314698,0.2764313
2951.336,0.1029637,0.7319713,0.2844744
2965.26,0.09734862,0.7323954,0.2926715
2979.005,0.08410875,0.7283242,0.3005038
2993.236,0.07514896,0.7258283,0.3086372
3007.083,0.058667,0.7249709,0.3180217
3020.906,0.04745127,0.7245921,0.3275136
3035.121,0.03910755,0.7245324,0.3368731
3048.979,0.02684564,0.7167986,0.3393941
3062.547,0.01758955,0.7123614,0.344752
3076.641,-6.848946E-05,0.719408,0.3376456
3090.572,-0.01369825,0.7236751,0.3361465
3104.586,-0.02533785,0.7263404,0.3374538
3118.408,-0.03207439,0.7289903,0.337023
3132.286,-0.03906902,0.7311383,0.338963
3146.223,-0.04066324,0.7258525,0.337119
3161.099,-0.04385555,0.7232531,0.3377121
3174.103,-0.05056536,0.7199368,0.3361287
3187.941,-0.0580544,0.7176974,0.335568
3202.165,-0.06600653,0.7159309,0.3356412
3216.036,-0.07897016,0.7206457,0.3339299
3229.992,-0.0889019,0.7220254,0.3318827
3243.348,-0.09231399,0.7172184,0.3263788
3257.839,-0.0970044,0.713841,0.3223705
3271.69,-0.1024664,0.7111189,0.3191158
3285.5,-0.1008852,0.7139214,0.3187318
3300.06,-0.102161,0.7152547,0.3170679
3313.252,-0.09332891,0.7152612,0.3206201
3327.35,-0.09021956,0.7158703,0.3219348
3341.09,-0.08433679,0.7176413,0.324083
3354.926,-0.08143771,0.7202852,0.3252313
3368.987,-0.07990545,0.7231443,0.326038
3382.902,-0.07686891,0.7218109,0.3256752
3396.647,-0.074698,0.7213725,0.3257355
3410.488,-0.0728887,0.719685,0.3254706
3424.394,-0.07124221,0.7185515,0.3255719
3438.575,-0.06984384,0.7176817,0.325785
3452.453,-0.0702742,0.7169768,0.3254646
3466.413,-0.06991592,0.7157546,0.3251319
