time,x_pos,y_pos,z_pos
2519.195,-0.06937645,0.7628837,0.09011146
2533.096,-0.0704229,0.7529645,0.08231927
2547.301,-0.07107077,0.7430426,0.07470793
2561.467,-0.07004642,0.7306921,0.06807847
2575.156,-0.06931541,0.7201144,0.06138705
2589.083,-0.06864429,0.7102473,0.05457267
2603.05,-0.06541529,0.6963646,0.04761752
2616.885,-0.06323205,0.68651,0.04166444
2631.186,-0.06331795,0.6823843,0.03865194
2644.909,-0.06250223,0.6773342,0.03544758
2659.083,-0.0612444,0.671761,0.03209266
2672.737,-0.06265289,0.6827393,0.04056747
2686.904,-0.06246426,0.686271,0.04378451
2700.208,-0.06536694,0.6987679,0.04963481
2713.976,-0.0662106,0.705932,0.05300783
2728.004,-0.06832581,0.7140983,0.05723575
2742.298,-0.06935084,0.7186633,0.05972995
2756.045,-0.06988727,0.7212707,0.06116366
2769.679,-0.06954499,0.7198376,0.06089016
2784.211,-0.0693533,0.7189891,0.06066005
2797.787,-0.06996537,0.7190747,0.05974457
2811.724,-0.07048029,0.7194901,0.05914675
2825.877,-0.0709011,0.7199669,0.05869101
2839.852,-0.07145328,0.7203838,0.05844234
2853.852,-0.07160902,0.7206101,0.05834083
2867.722,-0.07195663,0.721903,0.05935998
2881.587,-0.07180572,0.7224837,0.06016359
2895.226,-0.07114942,0.7231898,0.06209428
2909.121,-0.07048809,0.7233679,0.06346977
2923.135,-0.06984675,0.7233495,0.06458749
2937.867,-0.06929918,0.7242126,0.06757425
2951.214,-0.06887695,0.7246414,0.07000653
2965.128,-0.0686779,0.7259899,0.0742082
2978.669,-0.06857881,0.7267524,0.07737068
2992.904,-0.06788175,0.7272598,0.08410166
3006.724,-0.06730999,0.7274158,0.08976321
3020.397,-0.06685296,0.7274686,0.09433205
3034.236,-0.06791723,0.7267826,0.1036724
3048.656,-0.06852194,0.7264975,0.1114665
3062.274,-0.06973194,0.7248515,0.1225463
3077.109,-0.07050795,0.723829,0.131087
3089.9,-0.07106264,0.7230607,0.1380111
3104.315,-0.0715985,0.7212683,0.1443975
3118.457,-0.07201406,0.7206959,0.1510925
3132.039,-0.07137332,0.7179851,0.1615443
3146.251,-0.07102308,0.7164868,0.1705312
3159.706,-0.07091974,0.7157793,0.1788056
3173.974,-0.07401232,0.7151693,0.1906614
3187.604,-0.0762305,0.7150267,0.2010356
3201.51,-0.07549155,0.7146208,0.2127275
3215.498,-0.07594709,0.7147205,0.2228667
3229.904,-0.07892531,0.7129734,0.2302037
3243.37,-0.08137476,0.7119554,0.2376619
3257.779,-0.08345819,0.7111646,0.2452085
3271.142,-0.08575448,0.7117584,0.2543982
3285.429,-0.08784673,0.7119721,0.2630966
3299.183,-0.08741471,0.7089843,0.2728604
3313.13,-0.08756968,0.7067046,0.2820236
3327.032,-0.08748876,0.7107632,0.2825491
3340.988,-0.08708066,0.7135421,0.2865269
3355.069,-0.08647858,0.7157176,0.292592
