time,x_pos,y_pos,z_pos
3812.308,-0.1150844,0.7666912,0.06267057
3826.476,-0.1173331,0.7631261,0.0594421
3840.651,-0.1180164,0.7601257,0.05748414
3854.737,-0.1192532,0.7568702,0.05473963
3869.094,-0.1198594,0.7523764,0.05062985
3883.306,-0.1207417,0.7489071,0.04709106
3897.42,-0.121698,0.7457802,0.04381234
3911.01,-0.1249342,0.7434579,0.03790663
3925.241,-0.1270458,0.7414162,0.03357509
3939.376,-0.1272413,0.7371551,0.02946942
3953.183,-0.1277079,0.7340059,0.02607895
3967.045,-0.1267354,0.7292572,0.02248571
3980.976,-0.1263606,0.7255161,0.01909553
3994.878,-0.126146,0.7220754,0.01571925
4009.043,-0.1234766,0.7165859,0.0135628
4023.135,-0.1217068,0.7117023,0.01077648
4036.661,-0.120735,0.7125041,0.01402365
4050.576,-0.1194344,0.7112164,0.0142257
4064.535,-0.1184879,0.7131783,0.01852687
4078.4,-0.117402,0.7131354,0.01988312
4092.266,-0.1162777,0.7123991,0.02027853
4106.195,-0.1181396,0.7159594,0.02309997
4120.049,-0.1185442,0.7172902,0.02433361
4134.098,-0.119138,0.7183062,0.02497551
4148.328,-0.1190894,0.718425,0.0251864
4162.063,-0.1189058,0.7182738,0.02521895
4176.213,-0.1197944,0.7207873,0.02713316
4189.72,-0.120184,0.7220578,0.02794736
4203.802,-0.1198838,0.7222558,0.02845825
4217.678,-0.1196537,0.7225366,0.02897386
4231.611,-0.1188272,0.7216489,0.02833792
4245.49,-0.1180225,0.7212353,0.02818878
4259.787,-0.117205,0.7210303,0.02827422
4273.837,-0.1162356,0.7200471,0.02790014
4287.443,-0.1151972,0.7192363,0.02783034
4301.518,-0.1130431,0.719223,0.02918049
4315.046,-0.1108254,0.7192006,0.03057296
4329.172,-0.1087578,0.7191643,0.03188354
4343.212,-0.1030955,0.720022,0.03936456
4357.019,-0.09821118,0.7204638,0.04520977
4371.048,-0.09044828,0.7221578,0.05356323
4384.704,-0.08398136,0.7235395,0.06000629
4399.121,-0.07494622,0.7225451,0.06716143
4412.879,-0.06782612,0.7219334,0.07257402
4426.833,-0.06222286,0.7215154,0.07668311
4440.688,-0.05813691,0.7221082,0.08051802
4454.701,-0.05451323,0.722685,0.0839684
4468.53,-0.05294852,0.7233948,0.08530071
4482.517,-0.05042942,0.7237423,0.08709931
4496.698,-0.04713789,0.7239619,0.08936813
4510.079,-0.04712265,0.7235351,0.08927827
4524.017,-0.04641007,0.7230254,0.08955823
4538.04,-0.04836294,0.7228273,0.08831632
4551.897,-0.04947074,0.7227315,0.08766234
4565.978,-0.0522746,0.7229666,0.08609406
4579.826,-0.05514695,0.7232156,0.08443168
4594.227,-0.05681423,0.7233838,0.08351292
4607.887,-0.06024439,0.7247029,0.08239359
4621.792,-0.06340522,0.7259114,0.0813168
4635.567,-0.06385303,0.7268037,0.08204158
4649.566,-0.06434257,0.727452,0.08246249
4663.58,-0.06379937,0.7273304,0.08352556
4678.074,-0.06351184,0.727266,0.08433466
4691.144,-0.06339714,0.7272226,0.08498357
4705.299,-0.06422244,0.7273395,0.08639844
4719.041,-0.06516106,0.7273939,0.08784869
4733.004,-0.06706361,0.7261547,0.09093604
4746.9,-0.06886306,0.7250689,0.09405942
4760.931,-0.07043785,0.7241752,0.09683159
4774.995,-0.07586706,0.7248821,0.1018331
4788.753,-0.08043621,0.7254831,0.1058859
4803.185,-0.08645001,0.7259783,0.1117246
4816.539,-0.09129594,0.7264055,0.1162179
4830.914,-0.09446282,0.7311992,0.126112
4844.623,-0.09719447,0.7342401,0.1331772
4858.633,-0.09974867,0.7365775,0.1386279
4872.72,-0.1012982,0.7320125,0.1478165
4886.495,-0.1031805,0.7293476,0.1555543
4900.766,-0.1058197,0.7260955,0.1661945
4914.153,-0.1082062,0.7239556,0.1749768
4927.846,-0.1104796,0.7225817,0.1826515
4944.325,-0.1113584,0.7206467,0.1912672
4956.322,-0.1127004,0.7190517,0.1988786
4970.486,-0.1153629,0.7226429,0.211401
4983.588,-0.1178459,0.7247214,0.2216436
4997.441,-0.120376,0.7262264,0.2305503
5011.418,-0.1198176,0.7269529,0.2410377
5025.423,-0.120122,0.727587,0.2506174
5039.294,-0.12078,0.7200694,0.2608036
5053.272,-0.1219593,0.7160203,0.2704813
5067.123,-0.1217195,0.7193247,0.27843
5081.074,-0.1217783,0.7208709,0.286979
5095.232,-0.1215767,0.7208768,0.2958057
5108.95,-0.1206016,0.7219352,0.3060568
5123.638,-0.120458,0.7226661,0.316081
5136.834,-0.1162729,0.7225456,0.323996
5150.795,-0.113481,0.7217785,0.3318554
5164.956,-0.1113992,0.7206866,0.339689
5178.714,-0.1075432,0.7235243,0.3441278
5192.633,-0.1046129,0.725454,0.3498672
5206.325,-0.09862848,0.7269353,0.3536498
5220.446,-0.09375001,0.7275495,0.3573654
5234.296,-0.08421353,0.7239999,0.3630503
5247.821,-0.07634436,0.7211643,0.3688094
5262.252,-0.06939001,0.7190126,0.3749162
5276.249,-0.05964704,0.7171134,0.3820818
5290.026,-0.05121648,0.7156101,0.3891683
5303.94,-0.04029115,0.7150629,0.3920023
5318.165,-0.03098107,0.7145641,0.3962075
5331.876,-0.01663222,0.7200403,0.3949572
5345.947,-0.004929673,0.7237066,0.3960434
5359.85,0.0050653,0.7262765,0.3984205
5373.799,0.01622552,0.7236572,0.3997115
5387.726,0.02612161,0.7222701,0.4019548
5401.79,0.03780192,0.7202372,0.3989075
5415.588,0.04873805,0.7186614,0.3980957
5429.802,0.05889825,0.7177161,0.3986031
5443.471,0.07164323,0.7167808,0.3956456
5457.967,0.08327725,0.7161355,0.3942223
5471.438,0.09781094,0.7152863,0.3857484
5485.296,0.1099816,0.7147034,0.3802727
5498.946,0.1131826,0.7217441,0.3644605
5512.89,0.1182299,0.725901,0.353741
5526.918,0.1245453,0.7288423,0.3458763
5540.891,0.132785,0.7283435,0.3352545
5554.995,0.1417163,0.7287514,0.3275769
5568.788,0.1455131,0.724596,0.3174793
5582.51,0.1509537,0.7222469,0.3091323
5596.595,0.1572931,0.7207271,0.3015772
5610.827,0.158113,0.7206986,0.2860754
5624.641,0.1609008,0.7205077,0.2737145
5638.374,0.16418,0.7169369,0.252569
5652.275,0.1669389,0.7150937,0.2367405
5666.242,0.1606382,0.7200059,0.2182252
5680.648,0.1587017,0.7224289,0.2032837
5694.074,0.1592122,0.7238721,0.1903117
5708.126,0.1530661,0.7220262,0.1790166
5721.914,0.1503719,0.720974,0.1675087
5735.798,0.1348983,0.7287245,0.1556462
5750.206,0.1240846,0.7327618,0.1421013
5763.669,0.1175054,0.7357765,0.1293464
5777.63,0.1087494,0.7290753,0.1163202
5791.943,0.1027843,0.7260516,0.1039436
5805.736,0.09348375,0.7293034,0.09376281
5819.674,0.08643904,0.7317891,0.08288898
5833.69,0.07801262,0.7293933,0.07760137
5847.057,0.07056552,0.7284174,0.06974442
5861.491,0.06352089,0.7281443,0.06039114
5875.45,0.05237387,0.7299351,0.05580558
5888.884,0.0428097,0.7312851,0.04882927
5902.873,0.02906843,0.7296828,0.04710181
5916.826,0.01749693,0.7290214,0.04260248
5930.902,0.007078603,0.7290854,0.03679056
5944.86,-5.06267E-05,0.7254048,0.02973856
5958.954,-0.007475838,0.7244379,0.02397106
5972.655,-0.01510981,0.7225425,0.02526004
5986.514,-0.02290535,0.72136,0.02386046
6000.59,-0.03015413,0.7205375,0.02990711
6014.424,-0.03778226,0.7193797,0.0315346
6028.395,-0.04547817,0.7182283,0.03082022
6042.637,-0.04954853,0.7218324,0.04310002
6056.304,-0.05439465,0.7229841,0.04887993
6070.153,-0.05426314,0.7226824,0.06097715
6084.413,-0.0567848,0.7212645,0.06734839
6097.967,-0.06045343,0.7196219,0.07111383
6112.014,-0.06903411,0.7228049,0.08093766
6125.69,-0.07590679,0.7240124,0.08793409
6139.734,-0.08154613,0.7221069,0.0925329
6153.716,-0.08709243,0.7216387,0.09740157
6167.921,-0.09073103,0.714901,0.09973311
6181.456,-0.09579396,0.7118489,0.1031882
6195.336,-0.1013774,0.7102596,0.1069749
6209.528,-0.1031443,0.7147174,0.113877
6223.215,-0.1064587,0.7170324,0.1185886
6236.852,-0.1049058,0.7167348,0.1213903
6250.748,-0.1055742,0.7163855,0.1235031
6264.945,-0.1054067,0.7167343,0.1239769
6278.935,-0.1060016,0.7168906,0.1246912
6292.662,-0.1071303,0.7169338,0.1256899
6306.66,-0.1066635,0.7178836,0.1252931
6320.551,-0.1065125,0.7185631,0.1251447
6334.679,-0.1042261,0.715001,0.1221394
6348.357,-0.1022344,0.7130283,0.1200181
6362.508,-0.1008262,0.7122486,0.11873
6376.647,-0.09997524,0.7134501,0.1162305
6390.202,-0.09900363,0.7146822,0.1144179
6404.242,-0.09751806,0.7167482,0.1125687
6417.971,-0.09627551,0.7183977,0.1111181
6432.306,-0.09623514,0.7198613,0.1100078
6446.072,-0.09650989,0.7215064,0.1093323
6459.8,-0.09723095,0.7236658,0.1091524
6474.193,-0.09702935,0.7246337,0.1092425
6487.87,-0.09680225,0.7254059,0.1093148
6502.172,-0.09680215,0.7259412,0.1104061
6515.862,-0.09679793,0.7265881,0.1114971
6529.651,-0.0968036,0.7273089,0.1125724
6543.661,-0.09627476,0.726566,0.1124439
6557.736,-0.09583969,0.7260029,0.1123829
6571.691,-0.09601126,0.7256321,0.1119686
6585.43,-0.0961682,0.7253692,0.1117364
6599.361,-0.09634451,0.7260656,0.1122216
6613.355,-0.09650514,0.7265489,0.1124751
6627.777,-0.09668198,0.7269033,0.1125478
6641.212,-0.09728023,0.7277761,0.1126348
6655.133,-0.09774244,0.7284272,0.1125942
6668.928,-0.09805506,0.72897,0.112924
6683.144,-0.0983208,0.7293442,0.1132366
6696.836,-0.09855627,0.7295458,0.1135223
6710.57,-0.09887305,0.7296032,0.1134145
6724.579,-0.09915148,0.7296106,0.1132915
6738.565,-0.09913925,0.7293932,0.1132844
6752.454,-0.09917021,0.7292453,0.1133064
6766.773,-0.09916215,0.7294276,0.113302
6780.166,-0.09914707,0.72955,0.1132248
6794.33,-0.09913096,0.7296411,0.1131004
6808.252,-0.09941115,0.7305983,0.1132895
6822.213,-0.09956368,0.7313543,0.113346
6836.407,-0.0995735,0.731575,0.1130439
6849.83,-0.09949401,0.7318401,0.1128663
6863.74,-0.09935963,0.7321406,0.1127841
6877.649,-0.09927565,0.7321368,0.1119479
6891.569,-0.09899346,0.732239,0.1113865
6905.573,-0.09929708,0.735322,0.1118334
6919.723,-0.09928396,0.7377216,0.1120385
6933.377,-0.09979188,0.7440282,0.1136201
6947.703,-0.1002165,0.749931,0.114798
6961.556,-0.1004653,0.7550113,0.1154719
