time,x_pos,y_pos,z_pos
2255.333,-0.1013968,0.7658237,0.05534172
2269.198,-0.1021203,0.7655981,0.04670222
2282.83,-0.1024736,0.7646024,0.03895852
2296.883,-0.1026207,0.7631535,0.03177036
2311.638,-0.1004251,0.7599602,0.02523224
2325.164,-0.09826323,0.7559931,0.01728653
2338.792,-0.09704082,0.7518666,0.01416302
2352.616,-0.09666689,0.7494121,0.01119262
2366.379,-0.09533581,0.7451499,0.006196624
2380.672,-0.09482794,0.738975,0.003540404
2394.593,-0.09443872,0.7332458,0.0003898814
2408.284,-0.09389101,0.7271686,-0.0008212049
2422.216,-0.09325346,0.7214651,-0.00259627
2436.239,-0.09027328,0.7150648,-0.002588035
2450.07,-0.08968102,0.7119994,-0.002403003
2464.146,-0.08744695,0.7069734,-0.003335739
2478.016,-0.08670548,0.7065121,-0.001357784
2492.139,-0.08540958,0.7051983,0.000160072
2505.999,-0.08623233,0.7072738,0.003776435
2519.911,-0.08673906,0.7088645,0.006043926
2533.553,-0.08736293,0.710632,0.008920211
2547.661,-0.08788076,0.712095,0.01158639
2561.431,-0.08822119,0.7131037,0.01378103
2575.636,-0.08940525,0.7168313,0.01873875
2589.387,-0.08988002,0.7191811,0.02212422
2603.34,-0.08991265,0.7211182,0.02814767
2617.208,-0.08987363,0.7226108,0.03309768
2631.291,-0.08986281,0.7238873,0.03738654
2645.402,-0.09030432,0.7242524,0.04508019
2659.174,-0.09063467,0.7249159,0.052622
2673.148,-0.08928563,0.7258433,0.06394388
2687.098,-0.08800909,0.7266375,0.07360147
2700.856,-0.08683538,0.724782,0.08232249
2714.844,-0.08591914,0.7234738,0.08931389
2728.981,-0.08531195,0.7224817,0.0950412
2742.949,-0.0844391,0.7209479,0.1042945
2756.806,-0.08332667,0.7197937,0.112908
2770.56,-0.08484714,0.7228245,0.1237715
2784.766,-0.08555518,0.7248914,0.1330947
2798.441,-0.08572898,0.725935,0.1408295
2812.422,-0.08872803,0.7306409,0.1494827
2826.454,-0.09071357,0.7339635,0.1573002
2840.295,-0.09109939,0.7322853,0.1644602
2853.865,-0.09137417,0.7316358,0.1718867
2868.282,-0.09416991,0.7306024,0.180084
2882.106,-0.09620434,0.7300909,0.1880053
2896.146,-0.09774145,0.7299345,0.1956802
2909.738,-0.101312,0.7307882,0.2034512
2923.804,-0.1039816,0.7315194,0.2111799
2937.736,-0.1077301,0.7334725,0.2177262
2951.783,-0.1104551,0.7348384,0.2245113
2965.473,-0.1126432,0.7358764,0.231343
2979.356,-0.1148921,0.7355019,0.2407464
2993.548,-0.1170714,0.7355741,0.2494714
3007.423,-0.1162549,0.7322367,0.2578568
3021.251,-0.1163341,0.7303103,0.2656495
3035.223,-0.1141941,0.7294362,0.2739851
3049.051,-0.1133664,0.7290477,0.2816837
3063.086,-0.1132389,0.7288514,0.2891282
3077.618,-0.1081829,0.7238382,0.2992542
3091.151,-0.1055151,0.7204911,0.3078791
3104.933,-0.1019808,0.7239946,0.3138008
3118.791,-0.09921597,0.7264915,0.3203804
3132.699,-0.09691788,0.7283902,0.3274126
3146.413,-0.08929135,0.7279271,0.3346013
3160.59,-0.08358584,0.7286397,0.3425395
3174.631,-0.07225766,0.7269877,0.3478469
3188.606,-0.06436958,0.727569,0.3538914
3202.494,-0.05376606,0.7281735,0.3582266
3216.136,-0.04542104,0.7292255,0.3630957
3230.06,-0.03841427,0.7303199,0.368149
3244.374,-0.03008138,0.7313479,0.3712316
3258.114,-0.02278738,0.7322903,0.3749346
3272.083,-0.01484272,0.7306226,0.3769076
3285.618,-0.007480025,0.729641,0.3796366
3299.783,-0.0003525764,0.7269382,0.3802815
3313.634,0.006338611,0.7254156,0.3821668
3327.757,0.01293628,0.7246023,0.3848633
3341.771,0.01803017,0.7277331,0.3821507
3355.528,0.02356735,0.730494,0.3815408
3369.145,0.02972427,0.7302189,0.3781926
3383.137,0.03627337,0.7298216,0.3761539
3396.985,0.0431219,0.7293773,0.3750539
3411.117,0.05042889,0.7272997,0.3709496
3425.18,0.05758639,0.7258567,0.3680537
3439.397,0.06159528,0.7265745,0.3614863
3452.871,0.06644801,0.7270758,0.3565824
3466.871,0.07174852,0.7274345,0.3527787
3480.854,0.07466437,0.7244973,0.3454617
3494.793,0.07859437,0.7225212,0.3398903
3508.628,0.07783191,0.7227086,0.3299684
3522.897,0.07907249,0.722733,0.322401
3536.991,0.07748148,0.7237939,0.3110194
3550.435,0.07790858,0.7245737,0.3023898
3564.492,0.07933079,0.7252001,0.2955184
3578.47,0.07773735,0.7289363,0.2859708
3592.19,0.07783769,0.7313116,0.2779265
3606.185,0.07472672,0.7286413,0.2704672
3619.896,0.0739301,0.7269422,0.2636383
3634.085,0.06627272,0.72918,0.2555026
3648.133,0.06249037,0.7304161,0.2480896
3662.439,0.06044587,0.7310959,0.2408309
3675.887,0.04853007,0.7333415,0.2324081
3689.684,0.04135703,0.7346052,0.2245999
3703.517,0.03120328,0.7332278,0.2164885
3717.585,0.02364936,0.7329137,0.2088203
3731.67,0.0174875,0.7329803,0.2012107
3745.686,0.009239726,0.7313237,0.1966096
3759.559,0.00221958,0.7310842,0.1917868
3773.649,-0.005128413,0.7295244,0.1917643
3787.149,-0.01179909,0.7284722,0.1897525
3801.292,-0.02166186,0.7297425,0.1911685
3814.765,-0.03007019,0.7304162,0.1906483
3828.789,-0.03756683,0.730918,0.189142
3842.9,-0.04569196,0.7284343,0.1932237
3857.216,-0.05361441,0.7264994,0.1944875
3870.6,-0.06146621,0.7252774,0.1961528
3884.536,-0.06950888,0.7250428,0.1965285
3898.359,-0.07716118,0.7249861,0.1962154
3912.536,-0.08103394,0.7241844,0.1960733
3926.271,-0.08606884,0.7239333,0.1955036
3940.757,-0.09149037,0.7245397,0.1947746
3954.185,-0.09717451,0.7251757,0.1940794
3968.176,-0.1002318,0.7240707,0.1944222
3982.203,-0.1040167,0.7233349,0.1944415
3996.151,-0.1083208,0.7227985,0.1942672
4010.294,-0.1085637,0.7213958,0.1946551
4024.234,-0.1100012,0.7203914,0.1948698
4037.649,-0.1089249,0.7209341,0.1949923
4051.884,-0.1087974,0.7212285,0.1948801
4065.604,-0.1088099,0.721231,0.1946299
4079.661,-0.1076596,0.7209573,0.1949275
4093.491,-0.1063763,0.7207593,0.1950761
4107.371,-0.1037171,0.7208946,0.1956831
4121.027,-0.1011639,0.720948,0.1961572
4135.026,-0.09726595,0.7213615,0.1977473
4148.861,-0.09399953,0.7217447,0.1992075
4162.903,-0.09153827,0.7220677,0.2004436
4177.122,-0.08841,0.7218022,0.2012776
4190.797,-0.08601125,0.7215896,0.2019096
4204.972,-0.08503325,0.7215534,0.2010555
4218.446,-0.08406965,0.7216005,0.2006013
4232.338,-0.08321275,0.7216905,0.2003546
4247.118,-0.08354734,0.7214849,0.1996913
4260.668,-0.08380254,0.7213247,0.1991451
4274.514,-0.08486266,0.721061,0.1978968
4288.265,-0.08554354,0.720813,0.1969412
4302.183,-0.08569006,0.7213871,0.1962915
4316.418,-0.0856101,0.7217852,0.1956656
4330.578,-0.08542542,0.7220838,0.1950555
4344.354,-0.08323021,0.72199,0.1956973
4357.924,-0.08162607,0.7220598,0.1960245
4372.061,-0.08000779,0.7226278,0.1957657
4386.456,-0.07865885,0.7231804,0.1953348
4399.968,-0.07527652,0.7209064,0.1924049
4413.732,-0.07214089,0.7189033,0.1895929
4427.703,-0.06970415,0.717694,0.1872875
4441.849,-0.06469804,0.7175381,0.1825173
4455.746,-0.06033871,0.7172571,0.1782854
4469.501,-0.05622754,0.7199934,0.1719883
4483.367,-0.05253594,0.7220029,0.1668587
4497.786,-0.04929198,0.7234848,0.1626063
4511.136,-0.04356817,0.7236362,0.1562376
4525.108,-0.03866544,0.7238132,0.1509644
