time,x_pos,y_pos,z_pos
1600.866,0.1131814,0.7552172,0.3160183
1615.618,0.1152755,0.7496725,0.3150353
1628.724,0.1178597,0.7427255,0.313388
1642.798,0.1192305,0.7354522,0.3117617
1656.515,0.1209442,0.7279301,0.3097739
1670.677,0.1207827,0.7270316,0.3095973
1684.44,0.1212158,0.7248061,0.3088627
1698.714,0.1219295,0.7218871,0.3078208
1712.687,0.1237414,0.714304,0.3043767
1726.322,0.124952,0.7090648,0.3018944
1739.848,0.1261106,0.7011657,0.297305
1753.777,0.1277603,0.6944889,0.2933124
1767.818,0.121723,0.6907034,0.2884505
1781.785,0.1188146,0.6879237,0.2850768
1795.567,0.1174739,0.6856394,0.282656
1809.541,0.1166798,0.6918461,0.2869885
1823.275,0.1164728,0.695442,0.2892372
1837.177,0.1161417,0.7006492,0.2946514
1851.184,0.1161047,0.7039862,0.2982169
1865.132,0.1161708,0.7055345,0.3001555
1879.389,0.1167607,0.7078124,0.3022402
1892.972,0.1169099,0.7086587,0.3029977
1907.117,0.1164355,0.711501,0.3048789
1920.907,0.1161705,0.7132398,0.3058895
1935.069,0.1145488,0.7143235,0.3059277
1949.058,0.1138375,0.7148383,0.3058291
1963.256,0.1134589,0.7151482,0.305699
1976.925,0.1136182,0.7154213,0.3058233
1990.531,0.1137709,0.7156398,0.3059361
2004.53,0.113963,0.7162906,0.3064319
2018.526,0.1141585,0.7167732,0.3068151
2032.369,0.114363,0.7171867,0.3071574
2046.326,0.1148951,0.7178345,0.3078792
2060.118,0.1154421,0.7184957,0.3086
2074.418,0.1151453,0.7194775,0.3091523
2088.16,0.1148227,0.7205582,0.3097419
2101.859,0.1143036,0.7216433,0.3109707
2115.521,0.1136664,0.7225992,0.3122269
2129.634,0.1129975,0.7233251,0.3133747
2144.064,0.1112177,0.7242996,0.3139933
2157.814,0.1095908,0.7250439,0.3145086
2171.547,0.1078022,0.7201315,0.3132798
2186.135,0.10621,0.7179495,0.3136323
2199.778,0.1048374,0.7168152,0.3144946
2213.315,0.09855828,0.7148792,0.3152214
2227.039,0.09421511,0.7139595,0.3167334
2241.13,0.09315602,0.7118794,0.3187855
2255.088,0.09171806,0.7109754,0.3211114
2268.928,0.08915854,0.7132866,0.3242404
2283.119,0.08629703,0.7145126,0.3264089
2296.731,0.08342187,0.7152712,0.3281637
2310.73,0.08031779,0.7159466,0.3297149
2325.243,0.07782716,0.7158086,0.3308392
2338.803,0.07261569,0.7163306,0.3317327
2352.598,0.06893837,0.71626,0.3326532
2366.434,0.06575533,0.7159364,0.3335184
2380.881,0.06226749,0.7153805,0.3347864
