time,x_pos,y_pos,z_pos
597.839,-0.02225995,0.7197602,0.5916463
612.075,-0.02312084,0.7219954,0.5828139
626.003,-0.02373795,0.723588,0.5754098
639.678,-0.01998149,0.7203754,0.5723739
653.95,-0.01764207,0.7186449,0.568751
667.535,-0.01844873,0.7228398,0.5606642
681.532,-0.01874719,0.7258894,0.5531411
695.632,-0.01888706,0.7282788,0.5460992
709.599,-0.01669289,0.7260978,0.5481938
723.585,-0.01561364,0.7250589,0.5482473
737.336,-0.014519,0.7243969,0.5498424
751.091,-0.01385812,0.7238934,0.5503902
765.472,-0.01408376,0.7232822,0.5507009
779.645,-0.0141881,0.7228562,0.5507278
793.306,-0.01421009,0.722503,0.550585
806.888,-0.01497283,0.7244583,0.5517079
820.94,-0.01536746,0.7255818,0.5523641
834.858,-0.01435602,0.728043,0.5556655
848.802,-0.01340184,0.7294664,0.5584527
862.614,-0.01248223,0.7305052,0.5607231
877.097,-0.01205565,0.7398412,0.5647321
890.454,-0.0116161,0.7467889,0.567234
904.232,-0.009613357,0.7580361,0.5716087
2380.214,-0.1488513,0.7619786,0.335743
2394.534,-0.1494116,0.7502478,0.3333286
2408.774,-0.1504676,0.7431554,0.3325542
2422.653,-0.1515585,0.7360775,0.3317983
2436.033,-0.1517396,0.7251499,0.3325052
2450.051,-0.1518739,0.7135741,0.3322466
2463.941,-0.1516278,0.7013789,0.3313309
2477.874,-0.1516756,0.6983439,0.3275792
2492,-0.1517351,0.6940413,0.324517
2506.018,-0.1512336,0.6888608,0.3243454
2520.04,-0.1507302,0.6817195,0.323403
2533.565,-0.1530518,0.6806661,0.3248351
2547.389,-0.1548056,0.6777755,0.3253906
2561.746,-0.1563406,0.6733732,0.3250632
2575.434,-0.1579996,0.682503,0.3280085
2589.359,-0.1591516,0.6868652,0.3293133
2603.184,-0.1576069,0.6913671,0.3327993
2616.83,-0.1567867,0.6946158,0.3346818
2630.897,-0.155997,0.6975197,0.3363734
2644.994,-0.1560638,0.7032297,0.3352069
2659.058,-0.1557466,0.7080758,0.3340772
2672.84,-0.1570845,0.7116835,0.3325055
2686.808,-0.1577385,0.714304,0.3315461
2700.34,-0.158346,0.7155024,0.3311646
2714.555,-0.1587342,0.7163296,0.3308891
2728.337,-0.1589683,0.7168754,0.3306433
2742.722,-0.1587535,0.7167193,0.3302369
2756.373,-0.1588557,0.7167509,0.3297679
2770.277,-0.158873,0.7161016,0.3289797
2784.02,-0.1589676,0.7155099,0.3281704
2798.235,-0.1591645,0.7145569,0.3250354
2812.256,-0.1593994,0.7137601,0.3218688
2826.06,-0.1596323,0.7131696,0.3189344
2839.672,-0.159558,0.7128438,0.3111627
2854.059,-0.1593794,0.7127836,0.3045684
2867.864,-0.1598031,0.7204263,0.2916464
2881.95,-0.1599225,0.7258707,0.2817748
2895.511,-0.1600336,0.729794,0.2740809
2909.87,-0.1596808,0.7258029,0.2675373
2923.626,-0.1596299,0.7237865,0.2617249
2937.321,-0.1593639,0.7216496,0.2455287
2951.634,-0.1592578,0.7204515,0.2326801
2965.39,-0.1572116,0.7215526,0.224058
2979.076,-0.1562795,0.7225891,0.2160752
2993.353,-0.1558807,0.723579,0.2084545
3006.903,-0.1575836,0.7202982,0.1979263
3020.766,-0.1585609,0.7183263,0.1885087
3034.704,-0.1572459,0.722083,0.1777052
3048.765,-0.1562379,0.7245421,0.1680735
3062.526,-0.1553683,0.7262544,0.1591581
3076.737,-0.1541572,0.7216133,0.1473152
3090.181,-0.1526914,0.7191185,0.1372953
3104.581,-0.1488725,0.7187633,0.1259383
3118.235,-0.1463538,0.719065,0.1156723
3132.138,-0.1390267,0.7190291,0.1062417
3146.139,-0.1340802,0.7193823,0.09699476
3160.08,-0.1301903,0.7197753,0.08779071
3174.514,-0.1212044,0.7248331,0.08087189
3188.266,-0.115098,0.7281409,0.07244317
3202.183,-0.106898,0.7248317,0.07113548
3215.999,-0.1006995,0.722828,0.06687482
3229.782,-0.09535618,0.7214916,0.06099415
3243.682,-0.08540495,0.7195443,0.05257567
3257.567,-0.07723459,0.7179807,0.04372704
3271.738,-0.06731658,0.7195744,0.04191361
3285.393,-0.05890716,0.7200581,0.03736335
3299.53,-0.04716875,0.7231066,0.03796154
3313.671,-0.03729903,0.7249806,0.03578432
3327.411,-0.0282201,0.7262605,0.03225315
3341.644,-0.01960343,0.7254193,0.03314442
3355.394,-0.01159666,0.7252446,0.03204484
3369.201,-0.002931789,0.7250286,0.03528152
