time,x_pos,y_pos,z_pos
3440.397,-0.2478148,0.7949474,0.2074832
3452.834,-0.2478148,0.7949473,0.2074831
3455.246,-0.2470127,0.7894628,0.2048798
3466.997,-0.2470127,0.7894628,0.2048798
3468.416,-0.2446336,0.7845361,0.2028559
3480.566,-0.2446336,0.7845361,0.2028559
3482.57,-0.2425731,0.7793354,0.2006407
3494.541,-0.2425729,0.7793347,0.2006405
3496.178,-0.2406982,0.7738575,0.1982566
3508.536,-0.2406982,0.7738575,0.1982566
3510.143,-0.2374278,0.7676116,0.1940798
3522.341,-0.2374276,0.767611,0.1940795
3523.897,-0.2347317,0.7620162,0.1904416
3536.091,-0.2347317,0.7620162,0.1904416
3537.964,-0.2322307,0.755473,0.1843493
3550.022,-0.2322307,0.7554729,0.1843491
3551.944,-0.2297421,0.7496266,0.1793753
3563.891,-0.2297421,0.7496266,0.1793753
3565.508,-0.2286801,0.7474132,0.1757153
3577.806,-0.2286801,0.7474132,0.1757153
3579.669,-0.2269156,0.7443191,0.1721969
3591.747,-0.2269155,0.744319,0.1721967
3593.55,-0.224789,0.7407469,0.1687947
3605.682,-0.224789,0.7407469,0.1687947
3607.474,-0.2251048,0.7420208,0.1664434
3619.566,-0.2251048,0.7420208,0.1664433
3621.46,-0.2239196,0.7413459,0.1636413
3633.432,-0.2239196,0.7413459,0.1636413
3634.938,-0.2231654,0.7414332,0.1639561
3647.571,-0.2231654,0.7414333,0.1639561
3648.919,-0.2221812,0.7405125,0.1631648
3661.451,-0.2221812,0.7405125,0.1631648
3663.065,-0.224453,0.7440245,0.1657445
3674.953,-0.224453,0.7440245,0.1657445
3676.662,-0.2256432,0.7456642,0.16677
3689.071,-0.2256432,0.7456642,0.16677
3690.575,-0.2263499,0.7464182,0.167068
3702.813,-0.2263498,0.7464182,0.1670682
3704.711,-0.2253971,0.7463385,0.168543
3716.863,-0.2253971,0.7463385,0.168543
3718.473,-0.2248374,0.7461999,0.1693038
3730.73,-0.2248374,0.7462,0.1693041
3732.125,-0.2246879,0.74672,0.1710514
3744.368,-0.2246879,0.74672,0.1710514
3745.879,-0.2246614,0.746775,0.1723006
3758.181,-0.2246614,0.746775,0.1723006
3759.736,-0.22471,0.7464887,0.1732369
3771.972,-0.22471,0.7464887,0.1732369
3773.591,-0.2254619,0.7473065,0.1754278
3785.834,-0.225462,0.7473066,0.175428
3787.514,-0.2260526,0.7475508,0.1771811
3799.939,-0.2260526,0.7475509,0.1771812
3801.36,-0.2263395,0.7496998,0.179654
3813.711,-0.2263395,0.7496998,0.179654
3815.293,-0.2264491,0.7511858,0.1814024
3827.628,-0.2264492,0.7511858,0.1814025
3829.222,-0.2264791,0.7524736,0.1829669
3841.667,-0.2264791,0.7524738,0.1829674
3843.258,-0.2260729,0.7532987,0.1852427
3856.13,-0.2260729,0.7532987,0.1852427
3857.664,-0.225664,0.7538878,0.187178
3870.465,-0.225664,0.7538881,0.1871782
3872.04,-0.2255697,0.7550832,0.1887795
3884.58,-0.2255697,0.7550832,0.1887795
3886.313,-0.2252541,0.7557753,0.1899274
3898.292,-0.2252541,0.7557753,0.1899274
3899.687,-0.2264083,0.7560682,0.1883311
3912.037,-0.2264083,0.7560682,0.1883311
3913.491,-0.2268673,0.7561582,0.1872639
3926.481,-0.2268673,0.7561582,0.1872638
3929.032,-0.2269314,0.7561382,0.1864921
3940.093,-0.2269314,0.7561382,0.1864921
3941.703,-0.2272322,0.7560242,0.1865765
