time,x_pos,y_pos,z_pos
3498.704,-0.1595861,0.7905294,0.3984014
3511.051,-0.1595862,0.7905287,0.3984011
3512.74,-0.1597154,0.7860519,0.3968033
3524.823,-0.1597155,0.7860518,0.3968033
3526.506,-0.1604109,0.7820637,0.3951002
3538.613,-0.1604109,0.7820637,0.3951002
3540.535,-0.1608089,0.7782407,0.3936259
3552.501,-0.1608089,0.7782407,0.3936259
3554.316,-0.1610458,0.7744509,0.3923092
3566.469,-0.1610458,0.7744508,0.3923092
3568.194,-0.1602987,0.7658546,0.3918892
3580.27,-0.1602987,0.7658546,0.3918892
3582.037,-0.1595157,0.7568162,0.3910797
3594.453,-0.1595157,0.7568162,0.3910797
3596.361,-0.1569644,0.7469639,0.3909329
3608.293,-0.1569643,0.7469638,0.3909329
3610.335,-0.1544919,0.7377381,0.3905838
3622.128,-0.1544918,0.7377377,0.3905838
3623.746,-0.1524841,0.7307442,0.3894768
3635.849,-0.1524841,0.7307442,0.3894768
3637.369,-0.1495202,0.7223299,0.3873422
3649.919,-0.1495202,0.7223299,0.3873422
3651.459,-0.1465298,0.7140623,0.3849993
3663.706,-0.14653,0.7140626,0.384999
3665.442,-0.1467846,0.7144644,0.3840761
3677.808,-0.1467846,0.7144644,0.3840761
3679.573,-0.1469482,0.7142999,0.3838094
3691.405,-0.1469482,0.7143004,0.3838095
3693.32,-0.148151,0.7187266,0.3841107
3704.69,-0.148151,0.7187266,0.3841107
3706.568,-0.1497097,0.7243166,0.3835695
3718.594,-0.1497097,0.7243166,0.3835695
3720.339,-0.1511946,0.7291616,0.3827294
3732.643,-0.1511947,0.7291616,0.3827294
3734.279,-0.1517256,0.7338827,0.3835306
3746.443,-0.1517256,0.7338827,0.3835306
3748.169,-0.1520175,0.7372378,0.3840141
3760.392,-0.1520177,0.7372411,0.3840141
3762.544,-0.1522201,0.742561,0.3842311
3774.717,-0.1522201,0.742561,0.3842311
3776.411,-0.1523792,0.7460023,0.3839197
3788.298,-0.1523792,0.7460023,0.3839197
3790.252,-0.1519434,0.7460712,0.384308
3801.917,-0.1519434,0.7460712,0.384308
3803.869,-0.151689,0.7461015,0.3844713
3815.82,-0.151689,0.7461015,0.3844713
3817.751,-0.1515135,0.7461174,0.3845281
3829.873,-0.1515134,0.7461174,0.384528
3831.924,-0.1511507,0.7463104,0.3850621
3843.715,-0.1511507,0.7463104,0.3850622
3845.335,-0.1507519,0.7462919,0.385348
3857.847,-0.1507519,0.7462919,0.385348
3859.938,-0.1515083,0.7465096,0.3851537
3871.857,-0.1515084,0.7465096,0.3851537
3873.657,-0.1518776,0.746462,0.3848646
3885.366,-0.1518776,0.746462,0.3848646
3887.027,-0.1520363,0.7462677,0.384519
3899.326,-0.1520363,0.7462677,0.384519
3900.95,-0.1525265,0.7461762,0.3835339
3913.126,-0.1525265,0.7461762,0.3835339
3915.265,-0.1527313,0.7461627,0.3824376
3927.165,-0.1527315,0.7461629,0.3824373
3928.797,-0.153343,0.7472,0.3806106
3940.918,-0.153343,0.7472,0.3806106
3942.546,-0.1537037,0.7481949,0.3787159
3954.852,-0.1537037,0.7481949,0.3787159
3956.865,-0.153681,0.7491558,0.3776373
3968.743,-0.153681,0.7491558,0.3776373
3970.564,-0.1537624,0.7500963,0.3766551
3982.705,-0.1537624,0.7500963,0.3766551
3984.313,-0.1538931,0.751071,0.3758168
3996.763,-0.1538931,0.7510711,0.3758168
3998.58,-0.1544033,0.7528381,0.3727616
4010.627,-0.1544033,0.7528383,0.3727614
4012.633,-0.1548724,0.7545052,0.3697923
4024.487,-0.1548725,0.7545053,0.3697917
4026.223,-0.155102,0.7551515,0.3677889
4038.55,-0.155102,0.7551515,0.3677889
4040.149,-0.1551169,0.7558576,0.3661837
4052.381,-0.1551169,0.7558576,0.3661837
4054.038,-0.1550403,0.7565771,0.3647969
4066.302,-0.1550402,0.756577,0.3647968
4068.255,-0.1541248,0.7551049,0.3633667
4079.731,-0.1541248,0.7551049,0.3633667
4081.486,-0.1533778,0.7538794,0.3618768
4093.575,-0.1533778,0.7538794,0.3618768
4095.225,-0.152928,0.7496501,0.3600947
4107.543,-0.1529278,0.7496477,0.3600937
4109.099,-0.1527054,0.7455788,0.3580664
4121.436,-0.1527054,0.7455788,0.3580664
4123.175,-0.1527014,0.7413297,0.3543997
4135.45,-0.1527014,0.7413295,0.3543995
4137.127,-0.1526282,0.7378429,0.3512328
