time,x_pos,y_pos,z_pos
2275.477,-0.02802468,0.7895551,0.3807143
2287.455,-0.02802451,0.7895544,0.3807141
2289.098,-0.02653977,0.7811784,0.3789705
2301.201,-0.02653977,0.7811784,0.3789705
2302.955,-0.02518057,0.7730004,0.3773015
2315.14,-0.02518068,0.7730007,0.3773008
2316.755,-0.02516308,0.7726635,0.373771
2329.024,-0.02516308,0.7726635,0.373771
2330.815,-0.02453331,0.7711885,0.3712414
2342.984,-0.02453331,0.7711885,0.3712414
2344.655,-0.02460543,0.7696951,0.3699172
2357.014,-0.02460542,0.7696949,0.3699171
2358.947,-0.02440022,0.767683,0.3685538
2370.918,-0.02440022,0.767683,0.3685538
2372.484,-0.02477815,0.7642121,0.3680751
2384.828,-0.02477824,0.7642117,0.368075
2386.368,-0.02507963,0.7588801,0.3669744
2398.665,-0.02507963,0.7588801,0.3669744
2400.282,-0.02515598,0.7524867,0.3652762
2412.676,-0.02515598,0.7524867,0.3652762
2414.624,-0.02562113,0.7465181,0.3633329
2426.498,-0.02562113,0.7465181,0.3633329
2428.452,-0.02587025,0.7401229,0.3610782
2441.038,-0.02587029,0.7401226,0.3610775
2442.637,-0.02582923,0.7372082,0.3559293
2454.4,-0.02582923,0.7372082,0.3559293
2455.995,-0.02561293,0.7338436,0.3515529
2468.283,-0.02561293,0.7338436,0.3515529
2470.066,-0.02533062,0.7302166,0.3476053
2482.323,-0.02533077,0.7302168,0.3476054
2483.814,-0.02691728,0.7305107,0.3478185
2496.128,-0.02691736,0.7305107,0.3478186
2497.912,-0.02754934,0.7291876,0.3469905
2509.835,-0.02754961,0.7291885,0.3469912
2511.662,-0.02921597,0.7348043,0.3510974
2523.47,-0.02921597,0.7348043,0.3510974
2525.293,-0.03002384,0.7368213,0.3524022
2537.863,-0.03002384,0.7368213,0.3524022
2539.51,-0.03014307,0.7404267,0.3553949
2551.455,-0.03014307,0.7404267,0.3553949
2553.14,-0.03014212,0.7420128,0.3567963
2565.138,-0.03014215,0.7420129,0.3567964
2567.076,-0.03007707,0.7428076,0.357626
2579.022,-0.03007707,0.7428076,0.357626
2580.709,-0.02981252,0.7449071,0.3595217
2592.955,-0.02981249,0.7449074,0.3595219
2594.738,-0.0297836,0.7460684,0.3606787
2606.818,-0.0297836,0.7460684,0.3606787
2608.392,-0.02965225,0.7479106,0.362423
2620.779,-0.02965225,0.7479106,0.362423
2622.653,-0.02946404,0.7491091,0.3637925
2634.602,-0.02946404,0.7491091,0.3637925
2636.576,-0.02925824,0.7499888,0.3649877
2648.533,-0.02925824,0.7499888,0.3649877
2650.282,-0.02827316,0.749853,0.3654868
2662.841,-0.02827305,0.749853,0.3654869
2664.532,-0.02792932,0.7497784,0.365833
2676.589,-0.02792932,0.7497784,0.365833
2678.273,-0.02814394,0.7488735,0.3654147
2690.386,-0.02814396,0.7488735,0.3654147
2692.13,-0.02855457,0.7481726,0.3650675
2703.964,-0.02855457,0.7481726,0.3650675
2705.575,-0.02930196,0.7494463,0.3658907
2718.155,-0.02930198,0.7494463,0.3658907
2719.872,-0.02991805,0.7504412,0.3665622
2731.914,-0.0299181,0.7504412,0.3665621
2733.49,-0.0304521,0.7512492,0.3671309
2745.497,-0.0304521,0.7512492,0.3671309
2747.09,-0.03152391,0.751453,0.3673534
2759.371,-0.03152391,0.751453,0.3673534
2761.081,-0.03226462,0.7517147,0.3676816
2773.426,-0.03226464,0.7517147,0.3676817
2774.955,-0.03248007,0.7513978,0.3677441
2787.225,-0.03248007,0.7513978,0.3677441
2788.863,-0.03275925,0.7512162,0.3678958
2801.198,-0.03275925,0.7512162,0.3678958
2802.884,-0.0331035,0.7510971,0.3680997
2815.175,-0.0331035,0.7510971,0.3680997
2816.848,-0.0347783,0.7510965,0.3682713
2829.24,-0.03477859,0.7510964,0.3682714
2831.37,-0.03654398,0.7511407,0.3685616
2843.067,-0.03654398,0.7511407,0.3685616
2844.668,-0.03883647,0.751146,0.3688396
2856.926,-0.03883647,0.751146,0.3688396
2858.821,-0.04109254,0.7512134,0.3691581
2870.788,-0.04109254,0.7512134,0.3691581
2872.448,-0.04391522,0.7502759,0.368845
2884.711,-0.04391522,0.7502759,0.368845
2886.481,-0.04657082,0.7494348,0.3685712
2898.623,-0.04657112,0.7494347,0.3685712
2900.379,-0.04903874,0.7487519,0.3683971
2912.174,-0.04903874,0.7487519,0.3683971
2913.708,-0.05201174,0.7474423,0.3679732
2926.196,-0.05201198,0.7474422,0.3679732
2927.928,-0.0547003,0.7463833,0.3677123
2939.876,-0.0547003,0.7463833,0.3677123
2941.545,-0.05975877,0.7462237,0.3687198
2953.819,-0.05975886,0.7462237,0.3687199
2955.439,-0.06404353,0.7459326,0.3695961
2967.748,-0.06404375,0.7459325,0.3695961
2969.987,-0.06770892,0.7455823,0.3703676
2981.726,-0.06770933,0.7455821,0.3703676
2983.342,-0.07281301,0.7440528,0.3698958
2995.591,-0.07281301,0.7440528,0.3698958
2997.403,-0.07694615,0.7427234,0.3696342
3009.578,-0.07694615,0.7427234,0.3696342
3011.303,-0.08137909,0.7409459,0.3688691
3023.524,-0.08137982,0.7409456,0.368869
3025.455,-0.0853776,0.7395011,0.3683852
3037.378,-0.0853776,0.7395011,0.3683852
3039.053,-0.08679081,0.7386252,0.3669386
3051.347,-0.08679087,0.7386252,0.3669385
3052.908,-0.08854602,0.7377879,0.365689
3065.531,-0.08854604,0.7377879,0.365689
3067.164,-0.09050101,0.736954,0.3645647
3079.157,-0.09050101,0.736954,0.3645647
3080.863,-0.09269859,0.7383177,0.3645566
3093.173,-0.09269872,0.7383178,0.3645566
3094.817,-0.09514101,0.7391714,0.3642741
3106.691,-0.09514101,0.7391714,0.3642741
3108.184,-0.1001658,0.7455684,0.3655064
3120.614,-0.1001666,0.7455695,0.3655065
3122.172,-0.104967,0.7506863,0.3661411
3134.421,-0.104967,0.7506863,0.3661411
3136.063,-0.1095016,0.7552196,0.3667177
3148.393,-0.1095016,0.7552196,0.3667177
3150.093,-0.1126351,0.7558673,0.3620214
3162.441,-0.1126354,0.7558674,0.362021
3164.254,-0.1158742,0.7565562,0.3581002
3176.279,-0.1158744,0.756556,0.3580998
3177.881,-0.1184731,0.7550557,0.3528609
3190.109,-0.1184732,0.7550557,0.3528607
3191.72,-0.1212359,0.754316,0.3486642
3203.951,-0.1212359,0.754316,0.3486642
3205.614,-0.1223203,0.7502913,0.3470605
3217.933,-0.1223203,0.7502913,0.3470604
3219.682,-0.1236639,0.7473603,0.3455077
3231.766,-0.1236639,0.7473603,0.3455077
3233.321,-0.1251842,0.7449848,0.3439287
3245.705,-0.1251842,0.7449848,0.3439287
3247.621,-0.1256868,0.7437358,0.3434804
3259.671,-0.1256869,0.7437358,0.3434803
3261.374,-0.1263877,0.7423304,0.3426517
3273.94,-0.1263877,0.7423304,0.3426516
3275.345,-0.1273109,0.7403638,0.3406969
3287.416,-0.1273109,0.7403638,0.3406969
3289.178,-0.1285947,0.7382069,0.338398
3301.301,-0.1285949,0.7382066,0.3383978
3303.109,-0.1301242,0.7358721,0.335777
3315.07,-0.1301242,0.7358721,0.335777
3316.674,-0.1316754,0.7351889,0.3339387
3329.018,-0.1316754,0.7351889,0.3339387
3330.88,-0.1328998,0.734266,0.3319868
3342.918,-0.1328999,0.7342662,0.3319868
3344.693,-0.1337873,0.7361622,0.3309901
3356.821,-0.1337876,0.736163,0.3309895
3358.685,-0.1348315,0.7376424,0.3294991
3370.69,-0.1348315,0.7376424,0.3294991
3372.317,-0.1334088,0.7396842,0.3279176
3384.429,-0.1334088,0.7396842,0.3279176
3386.354,-0.1327475,0.7415686,0.3260845
3398.417,-0.1327474,0.7415687,0.3260844
3400.061,-0.1326019,0.7432958,0.3241484
3412.386,-0.1326019,0.7432958,0.3241484
3414.085,-0.1324039,0.7412081,0.3211512
3426.315,-0.1324039,0.741208,0.3211511
3427.865,-0.1327298,0.7401876,0.3187345
3440.259,-0.1327299,0.7401876,0.3187344
3442.737,-0.1339177,0.7407922,0.3165759
3454.004,-0.1339178,0.7407922,0.3165759
3455.642,-0.135092,0.7412909,0.3143848
3468.016,-0.135092,0.7412909,0.3143848
3469.689,-0.1362356,0.741722,0.3122271
3481.907,-0.1362356,0.741722,0.3122271
3483.453,-0.1366279,0.7408805,0.3096139
3495.86,-0.1366279,0.7408804,0.3096134
3497.747,-0.1371484,0.7401562,0.3069873
3509.773,-0.1371483,0.7401561,0.3069872
