time,x_pos,y_pos,z_pos
2109.905,-0.08886187,0.7931101,0.4072784
2122.18,-0.08886187,0.7931101,0.4072784
2123.766,-0.08711575,0.7856612,0.4070072
2135.978,-0.08711581,0.7856608,0.407007
2137.491,-0.08686986,0.7793899,0.4046611
2150.113,-0.08686986,0.7793899,0.4046611
2151.857,-0.08614414,0.7743179,0.4032435
2163.838,-0.08614507,0.7743183,0.4032433
2165.593,-0.08986863,0.7743912,0.4016847
2177.73,-0.08986863,0.7743912,0.4016847
2179.758,-0.09137344,0.7728806,0.4001834
2191.631,-0.09137344,0.7728806,0.4001834
2193.198,-0.09169198,0.7706875,0.3986316
2205.334,-0.09169198,0.7706875,0.3986316
2206.854,-0.09162668,0.7682424,0.397137
2219.124,-0.09162667,0.7682421,0.3971368
2220.879,-0.0913982,0.7656475,0.3956737
2232.909,-0.0913982,0.7656475,0.3956737
2234.45,-0.09330522,0.7649751,0.3942321
2246.875,-0.0933053,0.7649751,0.394232
2248.539,-0.09456502,0.7630453,0.3922516
2260.934,-0.0945652,0.7630454,0.3922516
2262.595,-0.09581456,0.7623851,0.3894466
2274.696,-0.09581456,0.7623851,0.3894466
2277.019,-0.09693638,0.7607076,0.3857024
2288.333,-0.09693638,0.7607076,0.3857024
2290.014,-0.0979767,0.758514,0.3815557
2302.271,-0.0979767,0.758514,0.3815557
2303.937,-0.09871928,0.755511,0.3777097
2316.265,-0.09871928,0.755511,0.3777097
2318.092,-0.09937979,0.7523459,0.3736946
2330.105,-0.09937979,0.7523459,0.3736946
2331.926,-0.09743647,0.7493956,0.3719731
2344.025,-0.097436,0.7493949,0.3719727
2345.596,-0.09623922,0.7465467,0.3700072
2357.982,-0.09623922,0.7465467,0.3700072
2359.727,-0.09387277,0.7396414,0.3698166
2371.843,-0.09387277,0.7396414,0.3698166
2373.44,-0.0923849,0.7329535,0.3693617
2385.835,-0.09238473,0.7329527,0.3693616
2387.923,-0.09140722,0.7265435,0.3685515
2399.718,-0.09140722,0.7265435,0.3685515
2401.465,-0.0936569,0.7262182,0.368526
2413.557,-0.0936569,0.7262182,0.368526
2415.303,-0.09507671,0.7252166,0.3683874
2427.718,-0.0950767,0.7252171,0.3683878
2429.453,-0.09528232,0.7277734,0.370723
2441.501,-0.09528232,0.7277734,0.370723
2443.147,-0.09564044,0.7288616,0.3718815
2455.871,-0.09564044,0.7288616,0.3718815
2457.546,-0.0960611,0.729351,0.3725379
2469.512,-0.0960612,0.7293512,0.3725381
2471.252,-0.09659259,0.7313293,0.3745581
2482.903,-0.09659259,0.7313293,0.3745581
2484.658,-0.09683384,0.7321175,0.3755409
2496.981,-0.09683384,0.7321175,0.3755409
2498.589,-0.0968658,0.7347104,0.3768286
2510.922,-0.09686577,0.7347107,0.3768287
2512.641,-0.09665102,0.7369632,0.3777974
2524.373,-0.09665102,0.7369632,0.3777974
2526.247,-0.09755353,0.7396464,0.3791053
2538.413,-0.09755366,0.7396467,0.3791054
2540.113,-0.09822787,0.7419449,0.3802287
2552.387,-0.09822786,0.741945,0.3802286
2554.319,-0.09868353,0.7436144,0.3809588
2566.288,-0.09868353,0.7436144,0.3809588
2568.206,-0.09997554,0.744542,0.3810784
2580.163,-0.09997562,0.7445421,0.3810784
2581.955,-0.1010487,0.7449965,0.3809057
2594.13,-0.1010487,0.7449963,0.3809056
2595.868,-0.1021158,0.7430246,0.3790762
2607.951,-0.1021159,0.7430245,0.3790761
2609.579,-0.103184,0.7417567,0.3778152
2621.77,-0.103184,0.7417567,0.3778152
2623.336,-0.1042295,0.7408761,0.3768798
2635.769,-0.1042295,0.7408761,0.3768798
2637.414,-0.1062596,0.7379739,0.3734461
2649.7,-0.1062596,0.7379739,0.373446
2651.637,-0.107728,0.7361465,0.3711609
2663.656,-0.1077281,0.7361465,0.3711607
2665.31,-0.1101796,0.7360324,0.3663067
2677.589,-0.1101802,0.7360324,0.3663054
2679.251,-0.1116627,0.736307,0.3622521
2691.518,-0.1116627,0.736307,0.3622521
2693.13,-0.1115505,0.7346954,0.3566343
2705.075,-0.1115505,0.7346954,0.3566343
2706.628,-0.1115791,0.7334199,0.3517534
2719.236,-0.1115791,0.7334197,0.3517526
2720.862,-0.1117219,0.7323305,0.3473839
2732.897,-0.1117219,0.7323305,0.3473839
2734.464,-0.1128819,0.7345319,0.343097
2747.317,-0.1128821,0.7345323,0.3430963
2748.956,-0.1138422,0.7361143,0.3390659
2760.611,-0.1138422,0.7361143,0.3390659
2762.274,-0.113577,0.738274,0.3357913
2774.434,-0.113577,0.738274,0.3357913
2776.061,-0.1133373,0.7397856,0.3326176
2788.42,-0.1133372,0.7397859,0.3326172
2790.038,-0.1130793,0.7409035,0.3295174
2802.311,-0.1130793,0.7409035,0.3295174
2804.077,-0.1153647,0.749146,0.3231795
2816.354,-0.1153648,0.7491464,0.3231792
2818.138,-0.1170512,0.7555481,0.3175395
2830.138,-0.1170512,0.7555481,0.3175395
2831.786,-0.1162181,0.7560129,0.3124051
2844.143,-0.116218,0.756013,0.312404
2846.101,-0.1156591,0.7567818,0.3078321
2857.875,-0.1156591,0.7567818,0.3078321
2859.477,-0.1135307,0.7547819,0.3052816
2871.661,-0.1135307,0.7547819,0.3052816
2873.252,-0.1118568,0.7535902,0.3025891
2885.716,-0.1118567,0.7535902,0.302589
2887.259,-0.1105556,0.7528929,0.2997007
2899.745,-0.1105556,0.7528929,0.2997007
2901.392,-0.110237,0.7521819,0.2977891
2913.787,-0.110237,0.7521819,0.297789
2915.337,-0.1099247,0.7517309,0.2956128
2927.348,-0.1099247,0.7517306,0.2956124
2928.909,-0.1104181,0.7501776,0.2919875
2941.133,-0.1104181,0.7501776,0.2919875
2942.756,-0.1104383,0.7492752,0.2888686
2955.026,-0.1104383,0.7492752,0.2888686
2956.655,-0.1103421,0.7486323,0.2857541
2968.988,-0.1103421,0.7486323,0.2857541
2971.094,-0.1109276,0.748355,0.2820751
2982.801,-0.1109276,0.748355,0.2820751
2984.75,-0.1111823,0.7483972,0.2787411
2996.517,-0.1111823,0.7483972,0.2787411
2998.334,-0.1109772,0.7477361,0.2764367
3010.518,-0.1109771,0.7477357,0.2764352
3012.212,-0.110778,0.7471733,0.2737969
3024.354,-0.110778,0.7471733,0.2737969
3026.014,-0.1092526,0.7458974,0.2720334
3038.368,-0.1092525,0.7458972,0.2720333
3039.99,-0.108048,0.7448417,0.2700993
3052.04,-0.1080479,0.7448416,0.270099
3053.585,-0.1070488,0.7439889,0.2680374
3065.802,-0.1070488,0.7439889,0.2680374
3067.42,-0.1065565,0.7494094,0.2673134
3079.596,-0.1065565,0.7494094,0.2673134
3081.215,-0.1058853,0.7533209,0.2651658
3093.652,-0.1058853,0.7533208,0.2651657
3095.51,-0.1053658,0.7521966,0.2639039
3107.569,-0.1053658,0.7521966,0.2639039
3109.279,-0.1048603,0.7513283,0.2624687
3121.576,-0.1048603,0.7513283,0.2624687
3123.379,-0.1043572,0.7506273,0.2608833
3135.714,-0.1043572,0.7506271,0.2608833
3137.574,-0.1041999,0.7484297,0.2588327
3149.587,-0.1041999,0.7484297,0.2588327
3151.504,-0.1040415,0.7465397,0.2566103
3163.444,-0.1040416,0.7465401,0.2566101
3165.168,-0.1044947,0.7483205,0.2552066
3177.257,-0.1044947,0.7483205,0.2552066
3179.055,-0.104809,0.7499118,0.2538657
3190.831,-0.104809,0.7499118,0.2538657
3192.53,-0.1043809,0.7515308,0.2521065
3204.894,-0.1043809,0.7515308,0.2521065
3206.486,-0.1040145,0.7529094,0.2501803
3218.561,-0.1040145,0.7529094,0.2501803
3220.863,-0.1037186,0.754083,0.2481243
3232.471,-0.1037186,0.754083,0.2481243
3234.453,-0.1035342,0.7525281,0.2460534
3246.427,-0.1035342,0.7525281,0.2460534
3248.051,-0.1033429,0.7517418,0.2444977
3260.361,-0.1033428,0.7517415,0.2444972
3262.459,-0.1031368,0.7510304,0.2433308
3274.195,-0.1031368,0.7510304,0.2433308
3275.999,-0.1029481,0.7505031,0.2421905
3288.108,-0.1029481,0.7505031,0.2421905
3289.823,-0.1027606,0.7500637,0.2410032
3302.122,-0.1027606,0.7500635,0.241003
3303.722,-0.1023327,0.7482491,0.2395613
3316.075,-0.1023326,0.7482488,0.239561
3317.793,-0.1018486,0.7465417,0.2380472
3329.827,-0.1018486,0.7465417,0.2380472
3331.485,-0.101813,0.7453515,0.2361186
3344.102,-0.1018129,0.7453507,0.2361174
3345.563,-0.1016708,0.7441036,0.233958
3357.647,-0.1016708,0.7441036,0.233958
3359.399,-0.1018091,0.7429292,0.2316266
3371.511,-0.101809,0.7429292,0.2316266
3373.263,-0.1018861,0.7418842,0.2294602
3385.629,-0.1018861,0.7418842,0.2294599
3387.159,-0.1018759,0.7409738,0.2274488
3399.411,-0.1018759,0.7409738,0.2274488
3401.18,-0.1023345,0.7434063,0.2274259
3413.266,-0.1023346,0.7434064,0.2274259
3414.887,-0.1025279,0.7448454,0.2265546
3426.938,-0.1025278,0.7448454,0.2265545
3428.494,-0.1021053,0.745109,0.2244002
3440.683,-0.1021053,0.745109,0.2244
3442.444,-0.1018052,0.7452937,0.2220767
3454.51,-0.1018052,0.7452937,0.2220767
3456.186,-0.1015552,0.7454565,0.2198722
3468.32,-0.1015552,0.7454565,0.2198722
3469.912,-0.1010968,0.7471496,0.2171763
3482.42,-0.1010967,0.7471498,0.217176
3484.299,-0.100652,0.7486002,0.2146098
3496.127,-0.100652,0.7486002,0.2146098
3497.739,-0.09974194,0.7466365,0.2134039
3510.05,-0.09974186,0.7466362,0.2134038
3511.996,-0.0987636,0.7448978,0.2121037
3523.875,-0.0987636,0.7448978,0.2121037
3525.615,-0.09918686,0.7446436,0.2103367
3537.801,-0.09918686,0.7446436,0.2103367
3539.426,-0.09950132,0.7444291,0.2086168
3551.774,-0.09950134,0.7444291,0.2086167
3553.377,-0.09973362,0.7442547,0.2069035
3565.734,-0.09973362,0.7442547,0.2069035
3567.481,-0.09926612,0.7439198,0.2058332
3579.707,-0.0992661,0.7439198,0.2058331
3581.422,-0.09885606,0.7436454,0.2047289
3593.682,-0.09885637,0.7436456,0.2047286
3595.235,-0.09972785,0.7442974,0.2032392
3607.406,-0.09972785,0.7442974,0.2032392
3609.017,-0.1002552,0.7448045,0.2017772
3621.438,-0.1002553,0.7448045,0.2017772
3623.048,-0.1006084,0.7452359,0.2002738
3635.316,-0.1006084,0.7452359,0.2002738
3637.034,-0.1008324,0.7447995,0.2003892
3649.25,-0.1008324,0.7447995,0.2003892
3651.26,-0.1010774,0.7446187,0.2006241
3663.449,-0.1010775,0.7446187,0.2006241
3664.971,-0.1010955,0.7442755,0.2000455
3677.285,-0.1010955,0.7442754,0.2000454
3678.913,-0.1011602,0.7439508,0.1993073
3691.193,-0.1011602,0.7439508,0.1993073
3693.252,-0.1001492,0.7426283,0.1970408
3704.932,-0.1001492,0.7426282,0.1970408
3706.555,-0.09928482,0.7414264,0.1947264
3718.601,-0.09928482,0.7414264,0.1947264
3720.235,-0.09858721,0.7404185,0.1924909
3732.482,-0.09858715,0.7404184,0.1924908
3734.081,-0.09729548,0.7389469,0.1914128
3746.397,-0.09729548,0.7389469,0.1914128
3747.964,-0.09633341,0.7377622,0.1903546
3760.369,-0.09633341,0.7377622,0.1903546
3762.056,-0.09638243,0.7396564,0.1905794
3773.965,-0.09638243,0.7396564,0.1905794
3776.105,-0.0964697,0.7412888,0.1903305
3788.043,-0.0964697,0.7412888,0.1903305
3789.68,-0.0965857,0.7427432,0.1896385
3801.801,-0.09658567,0.7427433,0.1896385
3803.473,-0.09565422,0.7457165,0.1906805
3815.71,-0.09565412,0.7457169,0.1906806
3818.029,-0.09477811,0.748439,0.191269
3829.496,-0.09477811,0.748439,0.191269
3831.121,-0.09517157,0.7493624,0.192756
3843.3,-0.09517157,0.7493624,0.192756
3844.98,-0.09563508,0.7496295,0.1930154
3857.385,-0.09563508,0.7496295,0.1930154
3858.925,-0.09458973,0.7511222,0.1957082
3871.174,-0.09458967,0.7511223,0.1957084
3872.85,-0.09414317,0.7520569,0.197502
3884.814,-0.09414317,0.7520569,0.197502
3886.569,-0.09344192,0.7532378,0.1996361
3898.848,-0.09344193,0.7532378,0.1996361
3900.579,-0.09300678,0.7555269,0.2023192
3912.748,-0.09300678,0.7555269,0.2023192
3914.358,-0.09250187,0.7577952,0.2049121
3926.717,-0.09250199,0.7577951,0.2049122
3928.323,-0.09288795,0.7575251,0.2050852
3940.523,-0.09288795,0.7575251,0.2050852
3942.111,-0.0932888,0.7573357,0.2050434
3954.484,-0.0932888,0.7573357,0.2050434
3956.211,-0.09367812,0.7572272,0.2048905
3968.519,-0.09367816,0.7572272,0.2048905
3970.092,-0.09544368,0.7581535,0.2053674
3982.462,-0.09544376,0.7581536,0.2053674
3984.125,-0.09759228,0.7594393,0.2057377
3996.512,-0.09759227,0.7594393,0.2057377
3998.121,-0.1001971,0.7603799,0.2063692
4010.332,-0.1001975,0.7603801,0.2063693
4011.999,-0.1023765,0.7613676,0.2071672
4024.276,-0.1023765,0.7613676,0.2071672
4025.852,-0.103061,0.7598764,0.2069989
4037.958,-0.103061,0.7598764,0.2069989
4039.636,-0.1035693,0.7590309,0.2074254
4051.73,-0.1035694,0.7590308,0.2074255
4053.3,-0.1039799,0.7585282,0.2081703
4065.438,-0.1039799,0.7585282,0.2081704
4067.085,-0.1042243,0.7581986,0.2086736
4079.324,-0.1042243,0.7581986,0.2086737
4081.162,-0.1043667,0.7581893,0.209578
4093.289,-0.1043667,0.7581893,0.209578
4095.121,-0.1039675,0.7583274,0.2113647
4107.269,-0.1039674,0.7583274,0.2113649
4109.017,-0.1038244,0.7585299,0.2129377
4121.16,-0.1038244,0.7585299,0.2129377
