time,x_pos,y_pos,z_pos
2969.882,-0.08660752,0.8044584,0.4065085
2981.855,-0.08660752,0.8044584,0.4065085
2983.491,-0.0868208,0.7999103,0.4059673
2995.875,-0.08682085,0.7999099,0.4059673
2997.401,-0.08700997,0.7950827,0.4055184
3010.067,-0.0870101,0.7950832,0.4055184
3011.722,-0.08760051,0.7958238,0.4053537
3023.898,-0.08760051,0.7958238,0.4053537
3025.573,-0.08784905,0.794719,0.4048795
3037.848,-0.08784873,0.7947187,0.4048795
3039.603,-0.08534552,0.7908669,0.4049847
3051.213,-0.08534552,0.7908669,0.4049847
3052.902,-0.08436814,0.787466,0.404976
3065.293,-0.08436814,0.787466,0.404976
3066.925,-0.0840244,0.7840433,0.4049616
3079.085,-0.08402488,0.7840436,0.4049615
3080.755,-0.08631957,0.784139,0.4043258
3092.877,-0.08631957,0.784139,0.4043258
3094.54,-0.08708699,0.7829812,0.4037005
3106.922,-0.08708715,0.782981,0.4037004
3108.505,-0.08803196,0.7805632,0.4025264
3120.742,-0.08803236,0.7805623,0.4025261
3122.435,-0.08852099,0.7779149,0.4015698
3134.323,-0.08852099,0.7779149,0.4015698
3136.319,-0.08969966,0.7738827,0.3984154
3148.221,-0.08969966,0.7738827,0.3984154
3150.056,-0.09033325,0.7703873,0.3957744
3162.226,-0.09033325,0.7703873,0.3957744
3164.003,-0.09064943,0.7672914,0.3935013
3176.256,-0.09064956,0.7672917,0.3935014
3178.154,-0.09257205,0.769889,0.3942381
3190.055,-0.09257205,0.769889,0.3942381
3191.813,-0.09376721,0.7702456,0.3936506
3204.096,-0.09376727,0.7702453,0.3936503
3205.828,-0.09431057,0.7673174,0.3905521
3217.928,-0.0943106,0.7673173,0.390552
3219.789,-0.09487539,0.7650052,0.3878529
3231.782,-0.09487539,0.7650052,0.3878529
3233.338,-0.09545803,0.7629756,0.3853626
3245.701,-0.09545803,0.7629756,0.3853626
3247.707,-0.09177294,0.7586828,0.3839409
3259.59,-0.09177294,0.7586828,0.3839409
3261.817,-0.09021504,0.7546299,0.3818578
3273.707,-0.09021477,0.7546297,0.3818579
3275.304,-0.09009266,0.7524328,0.3807832
3287.693,-0.09009266,0.7524328,0.3807832
3289.217,-0.0902737,0.7497095,0.3791142
3301.429,-0.0902737,0.7497095,0.3791142
3303.226,-0.09000011,0.7470487,0.3762046
3315.15,-0.09000011,0.7470487,0.3762046
3316.744,-0.08960383,0.7445538,0.3735429
3329.114,-0.08960383,0.7445538,0.3735429
3330.736,-0.0891559,0.7421348,0.3710017
3343.212,-0.08915573,0.7421347,0.3710021
3345.012,-0.08846952,0.7404984,0.3723641
3356.854,-0.08846952,0.7404984,0.3723641
3358.523,-0.08809462,0.7382457,0.372908
3370.851,-0.08809462,0.7382457,0.372908
3372.527,-0.08857843,0.7392452,0.3742916
3384.448,-0.08857851,0.7392453,0.3742917
3386.13,-0.08879671,0.7393568,0.3748786
3398.403,-0.08879671,0.7393568,0.3748786
3399.965,-0.08887012,0.7390274,0.37509
3412.398,-0.08887014,0.7390275,0.3750902
3413.99,-0.08958727,0.7380877,0.3776235
3426.233,-0.08958727,0.7380876,0.3776235
3427.933,-0.09021632,0.7364269,0.3796927
3440.234,-0.09021643,0.7364272,0.3796929
3442.007,-0.09150247,0.7394179,0.380996
3453.75,-0.09150247,0.7394179,0.380996
3455.286,-0.09248306,0.741396,0.3819765
3467.83,-0.09248306,0.741396,0.3819765
3469.517,-0.09226723,0.742477,0.383168
3481.84,-0.09226725,0.7424771,0.3831681
3483.535,-0.09204575,0.7430786,0.3839847
3495.334,-0.09204575,0.7430786,0.3839847
3497.005,-0.09182533,0.7433485,0.3845634
3509.185,-0.09182533,0.7433485,0.3845634
3510.827,-0.09174533,0.7427465,0.3843393
3523.168,-0.09174532,0.7427464,0.3843393
3524.951,-0.09171499,0.7422785,0.3842162
3537.221,-0.09171508,0.7422786,0.3842163
3538.82,-0.09234445,0.7429316,0.3844174
3550.998,-0.09234445,0.7429316,0.3844174
3552.653,-0.09286083,0.7434821,0.3845913
3564.928,-0.09286083,0.7434821,0.3845913
3566.736,-0.09329571,0.7439573,0.3847407
3579.034,-0.09329572,0.7439572,0.3847406
3580.663,-0.09328011,0.7431535,0.3838222
3592.855,-0.09328011,0.7431535,0.3838222
3594.667,-0.09321946,0.7424475,0.3829353
3606.777,-0.09321947,0.7424475,0.3829352
3608.962,-0.09441483,0.7425563,0.3824393
3620.52,-0.09441483,0.7425563,0.3824393
3622.071,-0.09542978,0.7427242,0.3820826
3634.754,-0.09542978,0.7427242,0.3820826
3636.489,-0.09618537,0.7435029,0.3806453
3648.61,-0.09618537,0.7435029,0.3806453
3650.08,-0.096657,0.7444106,0.3789705
3662.325,-0.09665704,0.7444106,0.3789703
3664.014,-0.09691912,0.745358,0.3772212
3676.17,-0.09691915,0.7453579,0.3772211
3678.103,-0.09747672,0.7447135,0.3760753
3689.914,-0.09747675,0.7447135,0.3760752
3691.673,-0.09794088,0.7441251,0.3750076
3703.903,-0.09794088,0.7441251,0.3750076
3705.726,-0.09880295,0.7444064,0.3728291
3717.71,-0.09880297,0.7444064,0.372829
3719.426,-0.09947573,0.7446052,0.3706703
3731.607,-0.09947573,0.7446052,0.3706703
3733.317,-0.100036,0.7447487,0.3686275
3745.48,-0.100036,0.7447487,0.3686275
3747.079,-0.09834162,0.7419674,0.3672987
3759.392,-0.09834157,0.7419673,0.3672987
3761.085,-0.09722018,0.7395751,0.3658643
3773.261,-0.09722018,0.7395751,0.3658643
3775.077,-0.09822129,0.73909,0.3640562
3787.133,-0.09822132,0.73909,0.3640561
3788.705,-0.09912588,0.7385794,0.3622921
3801.001,-0.09912588,0.7385794,0.3622921
3802.697,-0.09996478,0.7380525,0.3605586
3814.918,-0.09996478,0.7380525,0.3605586
3816.779,-0.1004305,0.7383757,0.3597292
3828.876,-0.1004306,0.7383757,0.3597291
3830.605,-0.1009201,0.7385788,0.3588657
3842.815,-0.10092,0.7385787,0.3588657
3844.636,-0.09991158,0.7372513,0.3560922
3856.898,-0.09991158,0.7372513,0.3560922
3858.865,-0.09911789,0.7364279,0.3535452
3870.479,-0.09911789,0.7364279,0.3535452
3872.303,-0.09763101,0.7358432,0.3497564
3884.402,-0.09763101,0.7358432,0.3497564
3886.039,-0.09609693,0.7350494,0.3458582
3898.306,-0.09609693,0.7350494,0.3458582
3900.046,-0.09472954,0.7343157,0.3422159
3912.346,-0.09473012,0.7343164,0.3422157
3913.975,-0.09802791,0.7385802,0.3398129
3926.086,-0.09802791,0.7385802,0.3398129
3927.693,-0.09988315,0.7410799,0.3368829
3939.784,-0.09988315,0.7410799,0.3368829
3941.407,-0.100094,0.7415073,0.3334132
3953.891,-0.100094,0.7415074,0.3334125
3955.363,-0.1001007,0.7417333,0.3300965
3967.753,-0.1001007,0.7417333,0.3300965
3970.419,-0.1008748,0.747545,0.3286542
3981.461,-0.1008748,0.7475455,0.3286541
3983.12,-0.1013186,0.7514099,0.3262402
3995.392,-0.1013186,0.7514099,0.3262402
3997.054,-0.1016133,0.7541432,0.3235109
4009.185,-0.1016126,0.7541425,0.3235105
4011.239,-0.09789813,0.7501375,0.3205865
4022.996,-0.09789808,0.7501374,0.3205865
4024.637,-0.0957216,0.7479541,0.3180073
4036.987,-0.0957216,0.7479541,0.3180073
4038.613,-0.09666991,0.7533878,0.3157408
4050.909,-0.09666993,0.7533879,0.3157407
4052.607,-0.09701232,0.7571909,0.3127133
4064.811,-0.09701233,0.757191,0.3127133
4066.473,-0.09709904,0.7601706,0.3095559
4078.689,-0.09709904,0.7601706,0.3095559
4080.33,-0.09733448,0.7599155,0.3062547
4092.592,-0.09733449,0.7599154,0.3062544
4094.271,-0.09690621,0.7603009,0.3036503
4106.434,-0.09690621,0.7603009,0.3036503
4108.002,-0.09738019,0.7555981,0.2997961
4120.338,-0.09738019,0.7555981,0.2997961
4122.005,-0.09726913,0.7530234,0.2973194
4134.254,-0.09726913,0.7530234,0.2973194
4136,-0.0969139,0.7500911,0.2932118
4148.2,-0.0969139,0.7500911,0.2932118
4149.894,-0.09651089,0.7484079,0.289963
4162.234,-0.09651081,0.7484076,0.2899624
4163.867,-0.0959395,0.7476262,0.2873301
4176.031,-0.0959395,0.7476262,0.2873301
4177.846,-0.09464209,0.7450648,0.2851439
4189.918,-0.09464195,0.7450646,0.2851437
4191.831,-0.09387523,0.7431733,0.282977
4203.932,-0.09387421,0.7431728,0.2829769
4205.677,-0.09089624,0.7408951,0.2808026
4217.827,-0.09089624,0.7408951,0.2808026
4219.481,-0.08970163,0.7391435,0.2780019
4231.413,-0.08970163,0.7391435,0.2780019
4233.403,-0.08923664,0.7377112,0.2750043
4245.689,-0.08923662,0.7377112,0.2750043
4247.195,-0.08945355,0.7390907,0.2723456
4259.468,-0.08945355,0.7390907,0.2723456
4261.208,-0.08913815,0.7394035,0.2690204
4273.168,-0.0891384,0.7394038,0.2690204
4274.855,-0.09011728,0.7406257,0.2670726
4287.081,-0.09011728,0.7406257,0.2670726
4288.575,-0.09037043,0.740793,0.2645027
4300.717,-0.09037042,0.740793,0.2645027
4302.282,-0.09037632,0.7406141,0.261791
4314.5,-0.09037632,0.7406141,0.261791
4316.195,-0.08953027,0.7409929,0.2599041
4329.004,-0.08953017,0.740993,0.2599038
4330.684,-0.08893453,0.7412311,0.2578169
4342.33,-0.08893453,0.7412311,0.2578169
4343.888,-0.08772074,0.7398208,0.2554668
4356.219,-0.08772074,0.7398208,0.2554668
4357.899,-0.08672755,0.7387272,0.2531717
4370.265,-0.08672755,0.7387272,0.2531717
4371.977,-0.08624215,0.7409344,0.2516549
4384.175,-0.0862421,0.7409347,0.2516548
4385.83,-0.08574351,0.7427763,0.2499678
4397.711,-0.08574351,0.7427763,0.2499678
4399.327,-0.08526765,0.7443438,0.248184
4411.697,-0.08526765,0.7443438,0.248184
4413.303,-0.08594341,0.7440847,0.2477759
4425.623,-0.08594348,0.7440847,0.2477758
4427.221,-0.08655369,0.744052,0.247271
4439.537,-0.08655369,0.744052,0.247271
4441.786,-0.08809187,0.7449077,0.2452694
4453.477,-0.08809198,0.7449078,0.2452692
4454.971,-0.08945344,0.7457944,0.2431234
4467.589,-0.08945344,0.7457944,0.2431234
4469.428,-0.08852181,0.7457693,0.2423602
4481.491,-0.08852179,0.7457693,0.2423602
4483.148,-0.08811241,0.7457741,0.2411979
4495.103,-0.08811241,0.7457741,0.2411979
4496.894,-0.08788998,0.7457905,0.2398223
4508.965,-0.08788998,0.7457905,0.2398223
4510.585,-0.08801028,0.7466424,0.2378484
4523.139,-0.08801034,0.7466426,0.2378478
4524.805,-0.08806334,0.7473482,0.2355059
4536.851,-0.08806334,0.7473482,0.2355059
4538.332,-0.0884196,0.7469385,0.2346283
4550.71,-0.08841965,0.7469383,0.2346282
4552.356,-0.08878454,0.7466101,0.2336127
4564.588,-0.08878454,0.7466101,0.2336127
4566.335,-0.08911828,0.7463456,0.2325204
4578.537,-0.08911828,0.7463456,0.2325204
4580.233,-0.08807372,0.7469803,0.2312535
4592.631,-0.08807352,0.7469805,0.2312531
4594.606,-0.08705743,0.7475169,0.2297219
4606.404,-0.08705743,0.7475169,0.2297219
4608.18,-0.08645448,0.7491007,0.2280799
4619.979,-0.08645448,0.7491007,0.2280799
4621.788,-0.08606737,0.7503451,0.2262169
4634.1,-0.08606737,0.7503451,0.2262169
4635.871,-0.08585903,0.7512983,0.2242156
4648.114,-0.08585928,0.7512985,0.2242154
4649.851,-0.08805841,0.7532261,0.2208768
4661.827,-0.08805846,0.7532262,0.2208767
4663.789,-0.08928077,0.754374,0.2175817
4675.603,-0.08928082,0.7543739,0.2175816
4677.487,-0.0902151,0.7503867,0.2140512
4689.383,-0.09021512,0.7503867,0.2140512
4691.109,-0.09040767,0.7477469,0.2115102
4703.573,-0.09040767,0.7477469,0.2115102
4705.175,-0.09273223,0.7463484,0.2091903
4717.22,-0.09273256,0.7463482,0.20919
4719.227,-0.09380887,0.7452207,0.2073649
4731.018,-0.09380887,0.7452207,0.2073649
4732.948,-0.09426872,0.7442414,0.2057416
4744.999,-0.09426872,0.7442414,0.2057416
4746.446,-0.09487566,0.7458605,0.203304
4759.069,-0.09487565,0.7458605,0.203304
4760.801,-0.09474467,0.7475525,0.2014461
4773.007,-0.09474467,0.7475525,0.2014461
4774.618,-0.09398788,0.7444923,0.1995189
4786.643,-0.09398782,0.744492,0.1995188
4788.23,-0.09362988,0.7426726,0.1982346
4800.349,-0.09362988,0.7426726,0.1982346
4802.096,-0.09345423,0.7413751,0.1971973
4814.62,-0.09345403,0.7413748,0.1971971
4816.177,-0.09100392,0.7380363,0.1942207
4828.289,-0.09100385,0.7380362,0.1942206
4829.944,-0.08925904,0.7359468,0.1918867
4842.28,-0.08925898,0.7359468,0.1918867
4843.907,-0.08664331,0.7353687,0.1911862
4856.193,-0.08664329,0.7353687,0.1911862
4857.876,-0.08536907,0.7348938,0.1897083
4870.051,-0.08536907,0.7348938,0.1897083
4872.042,-0.08434726,0.7373016,0.1873001
4883.94,-0.08434716,0.7373018,0.1872998
4885.496,-0.08353099,0.7398357,0.1843861
4897.775,-0.08353099,0.7398357,0.1843861
4899.545,-0.08293345,0.7420056,0.1815097
4911.908,-0.08293343,0.7420056,0.1815096
4914.322,-0.08282086,0.7423211,0.1784705
4925.493,-0.08282086,0.7423211,0.1784705
4927.007,-0.08261308,0.7424665,0.1755345
4939.157,-0.08261308,0.7424665,0.1755345
4941.222,-0.08333387,0.7464707,0.176092
4953.072,-0.08333397,0.7464713,0.1760921
4954.683,-0.08362189,0.7494234,0.175735
4966.884,-0.08362189,0.7494234,0.175735
4968.53,-0.08375741,0.7519126,0.1750878
4980.953,-0.08375746,0.7519128,0.175088
4982.646,-0.08370794,0.7548431,0.1770546
4994.932,-0.08370794,0.7548433,0.1770547
4996.673,-0.08357832,0.7571224,0.1780449
5008.77,-0.08357832,0.7571224,0.1780449
5010.42,-0.08325066,0.7562661,0.1775184
5022.607,-0.0832506,0.7562659,0.1775184
5024.192,-0.08293375,0.7557247,0.1769233
5036.584,-0.08293375,0.7557247,0.1769233
5038.185,-0.08240692,0.7540594,0.1764195
5050.55,-0.08240684,0.7540593,0.1764194
5052.14,-0.08200389,0.7530183,0.1760986
5064.366,-0.08200389,0.7530183,0.1760986
5065.983,-0.0817,0.7523361,0.1758621
5078.464,-0.0817,0.7523361,0.1758621
5080.293,-0.08135206,0.750831,0.1750903
5092.35,-0.08135206,0.750831,0.1750903
5094.208,-0.08106302,0.7498564,0.1746299
5106.456,-0.08106302,0.7498564,0.1746299
5108.007,-0.08178631,0.749559,0.1750244
5120.188,-0.0817863,0.7495591,0.1750244
5121.932,-0.08226818,0.7492085,0.1757345
5133.971,-0.08226818,0.7492085,0.1757345
5135.623,-0.08260996,0.7488387,0.1765244
5147.911,-0.08261002,0.7488389,0.1765246
5149.466,-0.08319828,0.7508335,0.1780072
5161.597,-0.08319826,0.7508335,0.1780072
5163.811,-0.08372255,0.7526381,0.1792826
5175.626,-0.08372255,0.7526381,0.1792826
5177.275,-0.08445296,0.7530309,0.1794538
5189.187,-0.08445296,0.7530309,0.1794538
5191.245,-0.08503735,0.753224,0.1794426
5203.376,-0.08503735,0.753224,0.1794426
5204.996,-0.08550089,0.7530719,0.17899
5216.972,-0.08550096,0.7530719,0.17899
5218.507,-0.08593182,0.7530515,0.1786483
5230.816,-0.08593182,0.7530515,0.1786483
5232.797,-0.0863315,0.753101,0.1783655
5244.823,-0.0863315,0.753101,0.1783655
5246.52,-0.0860185,0.7543386,0.1799424
5258.802,-0.08601855,0.7543386,0.1799425
5260.555,-0.08580086,0.7556983,0.1815291
5272.921,-0.08580086,0.7556983,0.1815291
5274.57,-0.08611538,0.7599868,0.1852825
5286.554,-0.0861154,0.7599869,0.1852825
5288.06,-0.08658501,0.7635487,0.1881838
5300.54,-0.08658501,0.7635487,0.1881838
5302.239,-0.0871367,0.7665939,0.1905181
5314.373,-0.08713676,0.7665942,0.1905182
5315.933,-0.08886617,0.7764904,0.1940491
5328.652,-0.08886617,0.7764904,0.1940491
5330.638,-0.09017698,0.7851157,0.1960367
5342.348,-0.0901785,0.7851218,0.1960374
7120.774,-0.08555064,0.8033096,0.3964198
7133.043,-0.08555064,0.8033094,0.3964198
7134.625,-0.08536638,0.799457,0.3952667
7146.934,-0.08536638,0.799457,0.3952667
7148.835,-0.08581823,0.7949294,0.393692
7160.994,-0.08581823,0.7949294,0.393692
7162.888,-0.08625819,0.7904084,0.392174
7174.963,-0.08625819,0.7904083,0.392174
7176.892,-0.0849714,0.785849,0.3916469
7188.882,-0.08497141,0.785849,0.391647
7190.713,-0.08397983,0.7814125,0.3908703
7202.699,-0.08397983,0.7814125,0.3908703
7204.37,-0.08686658,0.7845765,0.39127
7216.552,-0.08686658,0.7845765,0.39127
7218.115,-0.088246,0.7851425,0.3909754
7230.518,-0.08824615,0.7851426,0.3909754
7232.399,-0.08902504,0.7846326,0.3904261
7244.442,-0.08902504,0.7846326,0.3904261
7246.203,-0.09017339,0.7854447,0.3901556
7258.289,-0.09017339,0.7854447,0.3901556
7260.114,-0.09075209,0.7850322,0.3895157
7272.432,-0.09075209,0.7850322,0.3895157
7274.005,-0.08998434,0.7836561,0.3896364
7286.256,-0.08998429,0.783656,0.3896364
7288.163,-0.08956697,0.7817051,0.3892158
7300.045,-0.08956693,0.7817051,0.3892158
7302.047,-0.08933654,0.7794797,0.3885187
7313.898,-0.08933654,0.7794797,0.3885187
7315.534,-0.08884834,0.7786316,0.3885165
7327.873,-0.08884834,0.7786316,0.3885165
7329.732,-0.08853204,0.7774242,0.3881265
7341.798,-0.08853208,0.777424,0.3881264
7343.581,-0.08918051,0.7760124,0.3875981
7355.236,-0.08918051,0.7760124,0.3875981
7356.821,-0.08986268,0.7745234,0.3869933
7369.149,-0.08986268,0.7745234,0.3869933
7370.654,-0.09066075,0.7742181,0.3869735
7382.998,-0.09066076,0.7742181,0.3869735
7384.617,-0.09133983,0.7737677,0.3868764
7396.918,-0.09133989,0.7737675,0.3868764
7398.589,-0.09198672,0.7732208,0.3867462
7411.105,-0.09198672,0.7732208,0.3867462
7412.791,-0.09171138,0.7720299,0.3863869
7424.613,-0.09171138,0.7720299,0.3863869
7426.139,-0.09133454,0.7706904,0.3859722
7438.421,-0.09133454,0.7706904,0.3859722
7440.437,-0.09152322,0.7680051,0.385347
7452.498,-0.09152327,0.7680049,0.3853469
7454.414,-0.09213752,0.7659063,0.3849908
7466.501,-0.09213753,0.7659063,0.3849908
7468.373,-0.09252687,0.7635081,0.3844829
7480.428,-0.09252687,0.7635081,0.3844829
7482.077,-0.09113195,0.7593713,0.3821046
7494.466,-0.09113181,0.7593709,0.3821044
7496.22,-0.09059447,0.7574904,0.3809595
7508.295,-0.09059447,0.7574904,0.3809595
7510.033,-0.08953726,0.7569602,0.3799648
7522.227,-0.08953717,0.7569601,0.3799646
7523.894,-0.08855399,0.7562919,0.3789066
7536.275,-0.08855399,0.7562919,0.3789066
7537.939,-0.08882926,0.7566993,0.3796722
7550.057,-0.08882928,0.7566993,0.3796722
7551.756,-0.0889848,0.7567765,0.3801683
7563.884,-0.0889848,0.7567765,0.3801683
7565.592,-0.08898715,0.7565586,0.3804455
7577.828,-0.08898726,0.7565588,0.3804457
7579.413,-0.08982015,0.7587323,0.3810291
7591.635,-0.08982015,0.7587323,0.3810291
7593.459,-0.0904928,0.760433,0.3813974
7605.817,-0.0904928,0.760433,0.3813974
7607.473,-0.09009008,0.7613071,0.3818961
7619.044,-0.09009008,0.7613071,0.3818961
7620.547,-0.08964269,0.7618439,0.3821964
7633.468,-0.08964269,0.7618439,0.3821964
7635.076,-0.08918679,0.7621482,0.3823322
7647.128,-0.08918668,0.7621481,0.3823323
7648.79,-0.0880776,0.7612842,0.3824445
7660.683,-0.0880776,0.7612842,0.3824445
7662.431,-0.0870725,0.7604878,0.382502
7674.554,-0.08707251,0.7604878,0.382502
7676.168,-0.08674335,0.7606054,0.3828812
7688.537,-0.08674327,0.7606055,0.3828813
7690.179,-0.08640115,0.7605693,0.3830953
7702.206,-0.08640115,0.7605693,0.3830953
7703.889,-0.08670043,0.7607101,0.383375
7716.444,-0.08670043,0.7607101,0.383375
7718.104,-0.08681534,0.7607993,0.3836485
7730.056,-0.08681534,0.7607993,0.3836485
7731.793,-0.0867288,0.7607433,0.3839317
7744.029,-0.08672886,0.7607432,0.3839316
7745.715,-0.0867466,0.7604936,0.3837307
7757.798,-0.0867466,0.7604936,0.3837307
7759.405,-0.08643365,0.760262,0.3836439
7771.955,-0.08643366,0.760262,0.3836439
7773.618,-0.08585722,0.7597098,0.3829989
7785.819,-0.08585718,0.7597097,0.3829988
7787.702,-0.08494467,0.7591734,0.3823953
7799.553,-0.08494467,0.7591734,0.3823953
7801.225,-0.08391075,0.7587018,0.3818871
7813.512,-0.08391075,0.7587018,0.3818871
7815.225,-0.08277608,0.7592993,0.381972
7827.623,-0.08277608,0.7592994,0.381972
7829.367,-0.08158799,0.7597508,0.3819573
7841.244,-0.08158799,0.7597508,0.3819573
7842.927,-0.07994264,0.7603023,0.38164
7855.43,-0.07994224,0.7603024,0.3816399
7857.131,-0.07834382,0.7606666,0.3810749
7868.944,-0.07834382,0.7606666,0.3810749
7871.442,-0.07622222,0.7614387,0.380215
7882.993,-0.07622195,0.7614388,0.3802149
7884.829,-0.07409631,0.762067,0.3793502
7896.907,-0.07409631,0.762067,0.3793502
7898.514,-0.07212135,0.7625772,0.3785732
7910.511,-0.07212135,0.7625772,0.3785732
7912.361,-0.07078047,0.7635698,0.3774688
7924.453,-0.07078043,0.7635698,0.3774688
7926.134,-0.06938114,0.7643492,0.3764334
7938.45,-0.06938085,0.7643493,0.3764336
7940.05,-0.06774323,0.7648348,0.376852
7952.543,-0.06774323,0.7648348,0.376852
7954.351,-0.06618265,0.7652572,0.3771244
7966.496,-0.06618265,0.7652572,0.3771244
7968.293,-0.06469085,0.7656766,0.3773217
7980.148,-0.06469076,0.7656766,0.3773217
7981.804,-0.06091074,0.7652894,0.3792509
7994.547,-0.06091074,0.7652894,0.3792509
7996.176,-0.05710138,0.7650164,0.3810554
8008.104,-0.05710066,0.7650161,0.3810555
8010.245,-0.0524618,0.7626527,0.3813938
8021.61,-0.0524618,0.7626527,0.3813938
8023.144,-0.04894228,0.760944,0.3815646
8035.474,-0.04894228,0.760944,0.3815646
8037.12,-0.0466862,0.7586616,0.3818491
8049.633,-0.04668602,0.7586614,0.3818491
8051.242,-0.04393567,0.7564083,0.3821478
8063.524,-0.04393554,0.7564082,0.3821478
8065.171,-0.04093604,0.754234,0.3824306
8077.33,-0.04093604,0.754234,0.3824306
8079.034,-0.0421026,0.7556666,0.3827553
8090.994,-0.04210262,0.7556666,0.3827553
8092.91,-0.04256546,0.7564599,0.3828508
8104.846,-0.04256546,0.7564599,0.3828508
8106.409,-0.04199497,0.7565075,0.3826392
8118.813,-0.04199493,0.7565075,0.3826393
8120.451,-0.04107132,0.7565085,0.3824953
8133.098,-0.04107132,0.7565085,0.3824953
8134.91,-0.03995709,0.7564743,0.3823834
8147.004,-0.03995703,0.7564743,0.3823834
8148.793,-0.03918985,0.7572264,0.3828153
8160.882,-0.03918985,0.7572264,0.3828153
8162.641,-0.03824561,0.7578889,0.3832572
8175.183,-0.03824561,0.7578889,0.3832572
8176.903,-0.0369309,0.7563375,0.3821115
8188.582,-0.03693076,0.7563374,0.3821113
8190.389,-0.03547108,0.7549712,0.3811665
