time,x_pos,y_pos,z_pos
2079.246,-0.08945352,0.8019743,0.4092475
2091.661,-0.08945352,0.8019743,0.4092475
2093.292,-0.08931728,0.7947177,0.4067618
2105.297,-0.08931728,0.7947177,0.4067618
2107.036,-0.089473,0.7858033,0.4042491
2119.495,-0.08947302,0.785803,0.404249
2120.896,-0.08905683,0.7789478,0.4027963
2133.065,-0.08905683,0.7789478,0.4027963
2134.739,-0.08842847,0.7728801,0.4017213
2147.189,-0.08842847,0.7728801,0.4017213
2148.586,-0.08899849,0.7689529,0.4003679
2161.167,-0.08899856,0.7689524,0.4003677
2162.684,-0.08886991,0.7650622,0.3994123
2175.077,-0.08886991,0.765062,0.399412
2176.604,-0.08843181,0.7628734,0.3980699
2188.629,-0.08843181,0.7628734,0.3980699
2190.122,-0.08783282,0.7603528,0.3967242
2202.768,-0.0878328,0.7603528,0.3967241
2204.382,-0.087127,0.7576686,0.3953923
2216.546,-0.08712725,0.7576692,0.3953924
2218.048,-0.08869345,0.7596352,0.3949349
2230.269,-0.08869345,0.7596352,0.3949349
2231.886,-0.08925457,0.759415,0.3932005
2244.411,-0.08925484,0.7594149,0.3932002
2245.882,-0.09166634,0.7568021,0.3892427
2258.038,-0.09166654,0.7568018,0.3892423
2259.639,-0.09287822,0.7542855,0.3858531
2272.207,-0.09287831,0.7542853,0.3858528
2273.832,-0.09142156,0.7532937,0.3849835
2286.278,-0.09142156,0.7532937,0.3849835
2287.711,-0.09122163,0.750926,0.3823393
2299.898,-0.09122163,0.750926,0.3823393
2301.276,-0.09155574,0.7480021,0.3789861
2313.813,-0.09155527,0.7480025,0.3789866
2315.467,-0.08921818,0.748709,0.3797607
2327.398,-0.08921818,0.748709,0.3797607
2328.863,-0.08823201,0.7479327,0.3788475
2341.63,-0.08823186,0.7479333,0.378848
2343.091,-0.08716572,0.7510959,0.3821493
2355.546,-0.08716549,0.7510965,0.38215
2356.986,-0.08669638,0.7514747,0.3828775
2369.267,-0.08669638,0.7514747,0.3828775
2370.656,-0.08645592,0.7507914,0.3826794
2383.179,-0.08645634,0.7507916,0.3826794
2384.742,-0.08901963,0.7519138,0.382477
2396.767,-0.08901963,0.7519138,0.382477
2398.249,-0.08984815,0.7520395,0.3822075
2410.814,-0.08984825,0.7520395,0.3822075
2412.236,-0.09113719,0.7524199,0.3820968
2424.752,-0.09113719,0.7524199,0.3820968
2426.372,-0.09165622,0.7525228,0.382068
2438.397,-0.09165627,0.7525228,0.382068
2440.1,-0.09211769,0.7537937,0.3829319
