time,x_pos,y_pos,z_pos
2387.906,-0.09302261,0.7811753,0.4117706
2399.421,-0.09302261,0.7811753,0.4117706
2401.173,-0.09279918,0.7763936,0.4115945
2413.193,-0.09279918,0.7763936,0.4115945
2414.696,-0.09326363,0.7710944,0.4112723
2427.294,-0.09326363,0.7710944,0.4112723
2428.996,-0.09403694,0.7651615,0.4108932
2441.072,-0.09403719,0.7651619,0.410893
2442.647,-0.09565246,0.7651405,0.4092326
2454.647,-0.09565246,0.7651405,0.4092326
2456.434,-0.09678481,0.7631032,0.4071362
2468.604,-0.09678533,0.7631038,0.4071363
2470.183,-0.09945712,0.7643634,0.4063258
2482.66,-0.09945715,0.7643635,0.4063259
2484.646,-0.1009567,0.763553,0.4048983
2496.497,-0.1009567,0.763553,0.4048983
2498.117,-0.1019152,0.7614731,0.4031295
2510.305,-0.1019153,0.7614731,0.4031296
2511.894,-0.1022187,0.7589741,0.4034631
2524.224,-0.1022187,0.7589738,0.4034632
2525.917,-0.1024203,0.7551135,0.403276
2538.172,-0.1024203,0.7551135,0.403276
2539.979,-0.1030864,0.7548745,0.4029076
2551.789,-0.1030864,0.7548745,0.4029076
2553.304,-0.1033585,0.7533261,0.4019871
2566.04,-0.1033585,0.7533261,0.4019871
2567.667,-0.1046118,0.7501516,0.3991765
2579.97,-0.1046119,0.7501513,0.3991762
2581.704,-0.1052318,0.7471518,0.3968476
2593.708,-0.1052318,0.7471518,0.3968476
2595.252,-0.1055984,0.7441875,0.3947614
2607.529,-0.1055983,0.7441875,0.3947614
2609.207,-0.1048091,0.7427409,0.3927753
2621.582,-0.1048091,0.7427409,0.3927753
2623.264,-0.1044746,0.7409628,0.3905276
2635.374,-0.1044742,0.7409627,0.3905276
2637.163,-0.1013524,0.7386953,0.3896234
2649.231,-0.1013524,0.7386953,0.3896234
2650.981,-0.1001466,0.7364547,0.3881631
2663.003,-0.1001466,0.7364547,0.3881631
2664.759,-0.09962851,0.7341657,0.3865306
2677.044,-0.09962851,0.7341657,0.3865306
2679.021,-0.09995902,0.7376562,0.389257
2690.751,-0.09995902,0.7376562,0.389257
2692.489,-0.1000139,0.7385092,0.3898215
2704.859,-0.1000139,0.7385092,0.3898215
2706.746,-0.100126,0.7411367,0.392073
2718.639,-0.100126,0.7411367,0.392073
2720.615,-0.09958507,0.7424167,0.3935424
2732.559,-0.09958495,0.7424167,0.3935424
2734.353,-0.0990293,0.7426522,0.3938398
2746.261,-0.0990293,0.7426522,0.3938398
2747.913,-0.09840356,0.7429352,0.3942008
2759.97,-0.09840356,0.7429352,0.3942008
2761.513,-0.0977812,0.7432352,0.3945455
2774.121,-0.09778121,0.7432352,0.3945455
2775.731,-0.09755562,0.7439144,0.3948607
2788.035,-0.0975556,0.7439145,0.3948608
2789.599,-0.09729968,0.7444844,0.3950455
2801.859,-0.09729968,0.7444844,0.3950455
2803.522,-0.09595248,0.7453518,0.395723
2815.756,-0.09595245,0.7453518,0.395723
2817.395,-0.09515572,0.7460508,0.3961192
2829.751,-0.09515572,0.7460508,0.3961192
2831.467,-0.09459585,0.7466347,0.3963841
2843.55,-0.09459585,0.7466347,0.3963841
2845.262,-0.09572767,0.7479968,0.3964603
2857.306,-0.09572768,0.7479969,0.3964603
2859.057,-0.0965388,0.7490489,0.3964199
2871.156,-0.09653883,0.7490488,0.3964199
2872.838,-0.09653259,0.7487524,0.3956313
2884.962,-0.09653261,0.7487524,0.3956311
2886.657,-0.09644831,0.7486704,0.3950568
2898.932,-0.09644831,0.7486704,0.3950568
2900.594,-0.094594,0.747664,0.3948401
2912.823,-0.094594,0.747664,0.3948401
2914.478,-0.09329326,0.7470267,0.3947582
2926.83,-0.09329327,0.7470267,0.3947582
2928.429,-0.09224661,0.7466084,0.3947898
2940.858,-0.09224655,0.7466084,0.3947899
2942.711,-0.09080471,0.7472614,0.3953973
2954.664,-0.09080462,0.7472614,0.3953974
2956.421,-0.08935194,0.7476653,0.3957805
2968.559,-0.08935194,0.7476653,0.3957805
2970.549,-0.0893641,0.7484533,0.3962983
2982.468,-0.0893641,0.7484533,0.3962983
2984.381,-0.08881352,0.7489835,0.3967248
2996.388,-0.08881352,0.7489835,0.3967248
2998.348,-0.08801717,0.7493973,0.3971112
3010.849,-0.08801701,0.7493975,0.3971111
3012.552,-0.08684234,0.7503299,0.3966018
3024.325,-0.08684234,0.7503299,0.3966018
3026.04,-0.08565085,0.7511978,0.3960997
3038.313,-0.08565085,0.7511978,0.3960997
3040.218,-0.08412834,0.7513322,0.3961233
3052.003,-0.08412834,0.7513322,0.3961233
3053.712,-0.08245181,0.7511728,0.395999
3066.038,-0.08245062,0.7511733,0.3959984
3068.246,-0.0800295,0.7518322,0.3948758
3079.711,-0.0800295,0.7518322,0.3948758
3081.4,-0.07778789,0.7523474,0.3938556
3093.405,-0.07778789,0.7523474,0.3938556
3094.937,-0.07577842,0.7528002,0.3929434
3107.678,-0.07577794,0.7528002,0.3929435
3109.343,-0.07265951,0.7528421,0.3932567
3121.137,-0.07265951,0.7528421,0.3932567
3122.73,-0.06985039,0.7528989,0.3934438
3135.049,-0.06985039,0.7528989,0.3934438
3136.561,-0.06458117,0.7518598,0.3939475
3149.199,-0.06458029,0.7518595,0.3939475
3150.906,-0.05979613,0.7508711,0.3942221
3163.051,-0.05979613,0.7508711,0.3942221
3164.919,-0.05565355,0.7499915,0.3943096
3176.717,-0.05565344,0.7499916,0.3943096
3178.486,-0.05281726,0.7513822,0.3934245
3190.643,-0.05281716,0.7513823,0.3934245
3192.392,-0.05007659,0.7520434,0.3922815
3204.506,-0.05007659,0.7520434,0.3922815
3206.116,-0.04766588,0.7538656,0.390666
3218.464,-0.0476658,0.7538657,0.3906659
3220.228,-0.04537026,0.7550005,0.3888583
3232.433,-0.04537026,0.7550005,0.3888583
3234.148,-0.04225761,0.756553,0.3888007
3246.394,-0.04225742,0.7565531,0.3888007
3248.203,-0.03920449,0.7577739,0.3886046
3260.261,-0.03920449,0.7577739,0.3886046
3261.981,-0.03622913,0.7587417,0.3883057
3274.489,-0.03622873,0.7587417,0.3883056
3276.334,-0.03013318,0.7587984,0.3874216
3288.396,-0.03013294,0.7587984,0.3874215
3290.225,-0.02519392,0.7590798,0.3865891
3302.035,-0.02519356,0.7590796,0.386589
3303.929,-0.02113419,0.7582298,0.3856323
3315.987,-0.02113419,0.7582298,0.3856323
3317.548,-0.01712122,0.7577728,0.3849047
3329.583,-0.01712122,0.7577728,0.3849047
3331.369,-0.01299495,0.7575362,0.384305
3343.771,-0.01299474,0.7575363,0.3843049
3345.332,-0.009402286,0.758751,0.383295
3357.839,-0.009402286,0.758751,0.383295
3359.514,-0.005737422,0.7598204,0.3823642
3371.508,-0.0057368,0.7598202,0.3823641
3373.223,-0.003923111,0.7596788,0.3821799
3385.126,-0.003923111,0.7596788,0.3821799
3386.77,-0.001900278,0.7595658,0.3818465
