time,x_pos,y_pos,z_pos
2110.286,-0.0157511,0.7997131,0.4110141
2122.808,-0.0157511,0.7997131,0.4110141
2124.668,-0.01542813,0.7944774,0.4087242
2136.239,-0.0154281,0.7944772,0.4087241
2138.874,-0.01528724,0.7921788,0.4076721
2150.014,-0.01528724,0.7921788,0.4076721
2151.665,-0.0153556,0.7902666,0.4068663
2164.077,-0.0153556,0.7902666,0.4068663
2165.819,-0.01512488,0.78824,0.4067203
2177.926,-0.01512484,0.7882393,0.4067203
2179.4,-0.01493928,0.7857395,0.4065261
2191.454,-0.01493928,0.7857395,0.4065261
2193.165,-0.01243087,0.7774646,0.4062526
2205.504,-0.01243059,0.7774636,0.4062526
2207.166,-0.01007921,0.7690258,0.4059463
2219.517,-0.01007922,0.7690257,0.4059463
2221.097,-0.008303575,0.7618293,0.4058632
2233.842,-0.008303575,0.7618293,0.4058632
2235.44,-0.007886842,0.7551463,0.4063694
2247.614,-0.007886842,0.7551463,0.4063694
2249.181,-0.00765726,0.7497132,0.4072046
2261.516,-0.007657282,0.7497132,0.4072046
2263.195,-0.008446582,0.7499309,0.406435
2275.39,-0.008446679,0.749931,0.4064348
2277.017,-0.009210296,0.7491765,0.405549
2288.923,-0.009210296,0.7491765,0.405549
2290.578,-0.009863853,0.7477818,0.4044307
2303.155,-0.009863853,0.7477818,0.4044307
2305.208,-0.009246334,0.7461843,0.4025569
2316.925,-0.009246334,0.7461843,0.4025569
2318.682,-0.00844229,0.7440155,0.4003203
2330.507,-0.00844229,0.7440155,0.4003203
2332.087,-0.007286668,0.7443624,0.3993368
2344.52,-0.007286437,0.7443625,0.3993365
2346.153,-0.006218076,0.7445405,0.3978804
2358.525,-0.006218076,0.7445405,0.3978804
2360.31,-0.005222552,0.7469191,0.3984497
2372.219,-0.005222552,0.7469191,0.3984497
2373.865,-0.004263021,0.7484051,0.3983966
2386.198,-0.004263036,0.7484051,0.3983966
2387.893,-0.00343506,0.749092,0.3978277
2400.154,-0.00343506,0.749092,0.3978277
2401.789,-0.004765674,0.7531803,0.4001032
2414.077,-0.004765674,0.7531803,0.4001032
2415.937,-0.005459815,0.755592,0.4012128
2428.056,-0.00545986,0.755592,0.4012129
