time,x_pos,y_pos,z_pos
2013.354,-0.09428208,0.7920826,0.4076542
2025.45,-0.09428208,0.7920826,0.4076542
2026.959,-0.09312928,0.7876003,0.4079199
2039.644,-0.09312934,0.7876006,0.4079196
2041.453,-0.09351794,0.7876557,0.4058916
2053.46,-0.093518,0.7876557,0.4058914
2055.692,-0.09381028,0.7869999,0.404278
2067.294,-0.09381028,0.7869999,0.404278
2068.9,-0.09364986,0.7831441,0.402307
2081,-0.09364986,0.7831438,0.402307
2083.066,-0.09357841,0.7792802,0.4002604
2094.735,-0.09357841,0.7792802,0.4002604
2096.413,-0.09365818,0.775892,0.3984178
2108.791,-0.09365819,0.7758918,0.3984177
2110.489,-0.09389508,0.7735939,0.3970635
2122.703,-0.09389509,0.7735939,0.3970635
2124.412,-0.09438574,0.7714843,0.3958314
2136.607,-0.09438572,0.7714843,0.3958315
2138.547,-0.09462509,0.7708459,0.3954244
2150.444,-0.09462509,0.7708459,0.3954244
2152.401,-0.09488736,0.7694235,0.3946033
2164.471,-0.09488708,0.7694237,0.3946035
2166.042,-0.09383147,0.7685357,0.3954654
2178.301,-0.09383141,0.7685357,0.3954655
2179.892,-0.09367254,0.7667035,0.3954364
2192.155,-0.09367254,0.7667035,0.3954364
2193.917,-0.09387487,0.764474,0.3950861
2206.147,-0.09387477,0.764474,0.395086
2207.896,-0.09336346,0.7629806,0.3947596
2220.238,-0.09336346,0.7629806,0.3947596
2222.167,-0.09299897,0.7612443,0.3942203
2234.185,-0.09299897,0.7612442,0.3942203
2235.992,-0.09266426,0.7594955,0.3939055
2247.691,-0.09266423,0.7594954,0.3939054
2249.251,-0.0921873,0.757396,0.3934197
2261.489,-0.0921873,0.757396,0.3934197
2263.087,-0.09161429,0.7550578,0.3928177
2275.931,-0.09161435,0.7550576,0.3928177
2277.579,-0.09164832,0.7528516,0.3919917
2289.411,-0.09164834,0.7528515,0.3919917
2291.092,-0.09158754,0.7505094,0.3911098
2302.997,-0.09158754,0.7505094,0.3911098
2304.675,-0.09126721,0.7448056,0.3873316
2317.036,-0.09126719,0.7448056,0.3873314
2318.726,-0.090832,0.7398005,0.3842044
2330.895,-0.090832,0.7398005,0.3842044
2332.631,-0.08934683,0.7368315,0.3824483
