time,x_pos,y_pos,z_pos
2346.853,-0.1056622,0.7857139,0.252426
2359.043,-0.1056622,0.7857139,0.252426
2360.729,-0.1049252,0.7800632,0.251011
2373.09,-0.1049252,0.7800632,0.251011
2374.751,-0.1044305,0.7748771,0.2494784
2387.148,-0.1044304,0.7748771,0.2494783
2388.756,-0.1033893,0.7730059,0.2483575
2400.608,-0.1033893,0.7730059,0.2483575
2402.359,-0.1022972,0.7704459,0.246978
2414.496,-0.1022972,0.7704459,0.246978
2416.049,-0.1025305,0.7682607,0.246391
2428.398,-0.1025306,0.7682601,0.2463909
2430.156,-0.1024182,0.7652166,0.245338
2442.107,-0.1024182,0.7652166,0.245338
2443.652,-0.1024658,0.763761,0.2435766
2456.223,-0.1024658,0.763761,0.2435766
2457.764,-0.1020739,0.7615782,0.2417082
2469.805,-0.1020739,0.7615782,0.2417082
2471.417,-0.1014734,0.7590048,0.2397861
2483.889,-0.1014731,0.7590045,0.239786
2485.449,-0.09949985,0.7557492,0.2390646
2497.41,-0.09949985,0.7557492,0.2390646
2498.92,-0.09781143,0.7524702,0.2378816
2511.606,-0.09781136,0.75247,0.2378815
2513.618,-0.09655998,0.7497787,0.2360529
2525.712,-0.09655984,0.7497785,0.2360527
2527.429,-0.09510519,0.7469785,0.2341942
2539.372,-0.09510519,0.7469785,0.2341942
2541.167,-0.093591,0.7442838,0.2324161
2553.235,-0.093591,0.7442838,0.2324161
2554.826,-0.09326269,0.7435828,0.2318299
2567.015,-0.09326264,0.7435828,0.2318298
2568.701,-0.09261457,0.7425168,0.2310848
2581.086,-0.09261457,0.7425168,0.2310848
2582.808,-0.09416649,0.7440833,0.2317576
2595.002,-0.09416673,0.7440836,0.2317577
2596.577,-0.09457642,0.7446436,0.2321102
2608.768,-0.09457642,0.7446436,0.2321102
2610.423,-0.09592776,0.7471713,0.2339038
2622.72,-0.09592783,0.7471715,0.2339039
2624.169,-0.09640089,0.7482839,0.2347722
2636.593,-0.09640089,0.7482839,0.2347723
2638.243,-0.09657628,0.7488421,0.235267
2650.462,-0.09657628,0.7488421,0.235267
2652.053,-0.09733844,0.7515629,0.2375229
2664.386,-0.09733844,0.751563,0.2375229
2666.219,-0.09782755,0.7534027,0.239058
2678.075,-0.09782685,0.7534027,0.2390585
2679.663,-0.09572691,0.7534367,0.2406681
2691.692,-0.09572691,0.7534367,0.2406681
2693.325,-0.09468788,0.7533315,0.2415835
2705.82,-0.09468788,0.7533315,0.2415835
2707.38,-0.09415214,0.7530508,0.2421858
2719.722,-0.09415214,0.7530508,0.2421858
2721.354,-0.09563976,0.7528227,0.2418168
2733.874,-0.09563981,0.7528226,0.2418168
2735.553,-0.09662841,0.7525638,0.2418222
2747.572,-0.09662846,0.7525637,0.2418222
2749.266,-0.09785087,0.7517616,0.2402521
2761.348,-0.09785111,0.7517614,0.2402519
2762.914,-0.098562,0.7515098,0.2394387
2775.442,-0.098562,0.7515098,0.2394387
2777.107,-0.09916285,0.7520225,0.239092
2789.436,-0.09916285,0.7520225,0.239092
2791.04,-0.09970267,0.7527291,0.2388815
2803.308,-0.09970271,0.7527292,0.2388814
2804.926,-0.1002168,0.7535449,0.2387359
2817.132,-0.1002168,0.7535449,0.2387359
2818.71,-0.09951447,0.7532962,0.2388862
2831.018,-0.09951444,0.7532962,0.2388862
2832.605,-0.09895349,0.7531096,0.2390177
2845.015,-0.0989534,0.7531097,0.2390178
2846.602,-0.09797907,0.752816,0.2395106
2858.643,-0.09797902,0.752816,0.2395107
2860.232,-0.09721342,0.752504,0.2398165
2872.369,-0.09721342,0.752504,0.2398165
2873.929,-0.09657511,0.7521772,0.2400055
2886.484,-0.09657511,0.7521772,0.2400055
2888.037,-0.09676611,0.7531919,0.2406282
2900.411,-0.09676617,0.7531922,0.2406284
2902.134,-0.09681119,0.7540013,0.241092
2914.328,-0.09681119,0.7540013,0.241092
2915.918,-0.09666157,0.7545257,0.2413683
2928.02,-0.09666155,0.7545257,0.2413683
2929.705,-0.09641819,0.7551267,0.2416854
2941.788,-0.09641819,0.7551267,0.2416854
2943.342,-0.09757507,0.7570215,0.2425437
2955.901,-0.09757517,0.7570217,0.2425438
2957.587,-0.09851012,0.7587746,0.2433629
2969.663,-0.09851012,0.7587746,0.2433629
2971.579,-0.09910055,0.7602025,0.2440852
2983.588,-0.09910055,0.7602025,0.2440852
2985.16,-0.09759575,0.7592318,0.2452075
2997.673,-0.09759575,0.7592318,0.2452075
2999.221,-0.09657805,0.7584705,0.2461942
3011.663,-0.09657787,0.7584704,0.2461943
3013.313,-0.09584642,0.75793,0.2469607
3025.362,-0.09584642,0.75793,0.2469607
3027.028,-0.09520238,0.7574301,0.2476586
3039.218,-0.09520238,0.7574301,0.2476586
3041.159,-0.09452699,0.7567973,0.2481979
3052.91,-0.09452699,0.7567973,0.2481979
3054.592,-0.09360692,0.7564685,0.2488618
3067.144,-0.09360685,0.7564685,0.2488618
3069.281,-0.09274439,0.7562029,0.249535
3080.704,-0.09274439,0.7562029,0.249535
3082.315,-0.09155117,0.7557267,0.2507801
3094.562,-0.09155054,0.7557265,0.2507808
3096.098,-0.09031133,0.7554036,0.2522139
3108.423,-0.09031133,0.7554036,0.2522139
3110.154,-0.08958966,0.7571633,0.2539412
3122.422,-0.08958966,0.7571633,0.2539412
3123.994,-0.08888513,0.7585867,0.2554629
3136.486,-0.08888501,0.7585869,0.2554631
3138.429,-0.08814195,0.7597644,0.2568661
3150.373,-0.08814195,0.7597644,0.2568661
