time,x_pos,y_pos,z_pos
2443.782,-0.0683681,0.8064514,0.2593152
2456.17,-0.06836809,0.8064512,0.2593151
2457.87,-0.06745587,0.798907,0.2562041
2469.729,-0.06745587,0.798907,0.2562041
2471.693,-0.0669827,0.7888051,0.2543236
2483.572,-0.0669827,0.7888051,0.2543236
2485.47,-0.06680571,0.7796178,0.252156
2497.707,-0.06680565,0.779617,0.2521559
2499.176,-0.06663968,0.7710295,0.2496941
2511.444,-0.06663975,0.7710291,0.2496938
2513.167,-0.06722783,0.7650955,0.2466092
2525.182,-0.06722783,0.7650955,0.2466092
2526.921,-0.067213,0.7589102,0.2436545
2539.126,-0.06721303,0.7589101,0.2436542
2540.75,-0.06702257,0.7562144,0.2415205
2552.922,-0.06702257,0.7562144,0.2415205
2554.53,-0.06657042,0.7524868,0.2391875
2566.858,-0.06657042,0.7524868,0.2391875
2568.554,-0.06598051,0.7480189,0.2366011
2580.945,-0.06598054,0.7480189,0.2366009
2582.616,-0.06721919,0.7474304,0.2336334
2594.857,-0.06721919,0.7474304,0.2336334
2596.703,-0.06819455,0.7460785,0.2308168
2608.848,-0.06819459,0.7460784,0.2308166
2611.009,-0.06818449,0.7451015,0.2277127
2622.615,-0.06818452,0.7451015,0.2277126
2624.455,-0.06794079,0.7439666,0.2245545
2636.421,-0.06794079,0.7439666,0.2245545
2638.008,-0.06949157,0.7444391,0.2217525
2650.596,-0.06949168,0.7444392,0.2217522
2652.255,-0.07055449,0.7443638,0.2187971
2664.444,-0.07055448,0.7443638,0.2187971
2666.228,-0.07122373,0.7438297,0.2159009
2678.122,-0.07122313,0.743829,0.2159005
2679.849,-0.0682703,0.7395478,0.2144295
2691.863,-0.0682703,0.7395478,0.2144295
2693.575,-0.06638519,0.7366331,0.21345
2705.946,-0.06638479,0.7366329,0.2134501
2708.151,-0.06416993,0.7362249,0.2145049
2719.702,-0.06416993,0.7362249,0.2145049
2721.386,-0.06226354,0.7361348,0.2154382
2733.657,-0.06226341,0.7361348,0.2154383
2735.349,-0.06056107,0.7361587,0.2162289
2747.69,-0.06056125,0.7361593,0.2162293
