time,x_pos,y_pos,z_pos
3178.607,-0.02715138,0.7939562,0.2988113
3191.163,-0.02715138,0.7939562,0.2988113
3192.815,-0.02711691,0.790518,0.2976116
3204.838,-0.02711691,0.790518,0.2976116
3206.603,-0.02684789,0.7889422,0.2970499
3218.731,-0.0268478,0.7889417,0.2970498
3220.532,-0.02657431,0.7872195,0.2964105
3232.524,-0.02657431,0.7872195,0.2964105
3234.533,-0.02631134,0.7851816,0.2956935
3246.431,-0.02631129,0.7851813,0.2956934
3248.1,-0.02619883,0.7819965,0.2941023
3260.318,-0.02619883,0.7819965,0.2941023
3262.057,-0.02614956,0.7780205,0.2918302
3274.31,-0.02614956,0.7780205,0.2918302
3275.996,-0.02591593,0.7761875,0.2909514
3288.181,-0.02591593,0.7761875,0.2909514
3289.928,-0.02564038,0.774709,0.2903602
3302.157,-0.0256404,0.7747089,0.2903602
3303.676,-0.02536603,0.7724661,0.2897584
3316.045,-0.02536597,0.7724659,0.2897584
3317.798,-0.02495541,0.769345,0.2886245
3329.915,-0.02495541,0.769345,0.2886245
3331.561,-0.02450332,0.7657083,0.2870826
3343.837,-0.02450332,0.7657083,0.2870826
3345.676,-0.02456824,0.7642543,0.2868252
3357.753,-0.02456824,0.7642543,0.2868252
3359.964,-0.02469613,0.7627674,0.2864982
3371.848,-0.02469613,0.7627674,0.2864982
3373.536,-0.02376593,0.7617687,0.2860919
3385.309,-0.02376589,0.7617687,0.2860919
3387.018,-0.0227603,0.7602585,0.285284
3399.428,-0.0227603,0.7602585,0.285284
3401.131,-0.0219654,0.7582248,0.2844467
3413.127,-0.02196537,0.7582246,0.2844467
3414.877,-0.02118335,0.7560768,0.2835401
3426.856,-0.02118332,0.7560768,0.28354
3428.653,-0.02043787,0.7539319,0.2826337
3440.716,-0.02043787,0.7539319,0.2826337
3442.368,-0.02061047,0.7532065,0.2823319
3454.649,-0.02061051,0.7532065,0.2823319
3456.354,-0.02055381,0.7521403,0.2818395
3468.481,-0.02055381,0.7521403,0.2818395
3470.161,-0.02158605,0.7528445,0.282427
3482.377,-0.02158611,0.7528445,0.282427
3484.032,-0.02221612,0.7529678,0.2826676
3496.369,-0.02221617,0.7529678,0.2826676
3498.084,-0.02267106,0.752784,0.2827258
3510.107,-0.02267106,0.752784,0.2827258
3511.716,-0.02219984,0.7547455,0.2846434
3524.375,-0.02219985,0.7547456,0.2846435
3526.195,-0.02177238,0.7553874,0.2852822
3537.926,-0.02177238,0.7553874,0.2852822
3539.798,-0.02156068,0.7568698,0.2872068
3552.199,-0.02156067,0.75687,0.2872071
3553.959,-0.02138676,0.7572662,0.288184
3565.794,-0.02138676,0.7572662,0.288184
3567.475,-0.02108749,0.757661,0.2883719
3579.526,-0.02108744,0.7576611,0.2883719
3581.052,-0.02078939,0.7582613,0.2887444
3593.343,-0.02078939,0.7582613,0.2887444
3595.437,-0.02048023,0.7591791,0.2893951
3607.411,-0.02048028,0.7591792,0.2893952
3609.142,-0.020749,0.7594032,0.2896954
3620.972,-0.020749,0.7594032,0.2896954
3622.553,-0.02101308,0.7596412,0.2899795
3635.111,-0.02101306,0.7596412,0.2899794
3636.747,-0.02081433,0.7584224,0.289819
3648.948,-0.02081433,0.7584224,0.289819
3650.418,-0.02051878,0.7568733,0.2896197
3662.918,-0.02051878,0.7568733,0.2896197
