time,x_pos,y_pos,z_pos
2568.819,-0.04329929,0.7989714,0.2727021
2581.197,-0.04329975,0.798971,0.2727017
2582.799,-0.04474986,0.7941917,0.2699612
2594.92,-0.04474986,0.7941917,0.2699612
2596.695,-0.04518187,0.788428,0.2672397
2608.775,-0.04518187,0.788428,0.2672397
2610.488,-0.04517268,0.7821468,0.2644722
2622.835,-0.04517277,0.782147,0.2644723
2624.458,-0.04592741,0.7836364,0.2653493
2636.824,-0.0459275,0.7836366,0.2653494
2638.532,-0.04570733,0.7817272,0.2647434
2650.906,-0.04570733,0.7817272,0.2647434
2652.643,-0.0470196,0.7777421,0.2626936
2664.759,-0.04701976,0.7777417,0.2626934
2666.467,-0.04775381,0.7736266,0.2608331
2678.547,-0.04775381,0.7736266,0.2608331
2680.332,-0.04623492,0.7678327,0.2579634
2692.371,-0.04623492,0.7678327,0.2579634
2693.829,-0.04573099,0.7632076,0.2553096
2706.161,-0.04573089,0.7632067,0.2553091
2707.839,-0.04567894,0.7589312,0.2527083
2720.183,-0.04567894,0.7589312,0.2527083
2721.83,-0.04380511,0.7577245,0.2528107
2733.809,-0.04380511,0.7577245,0.2528107
2735.419,-0.04331658,0.7551648,0.2508927
2747.841,-0.04331642,0.7551652,0.2508934
2749.477,-0.04247111,0.7567935,0.2532857
2761.531,-0.04247111,0.7567935,0.2532857
2763.127,-0.04233344,0.755755,0.2529939
2775.677,-0.04233345,0.7557549,0.2529939
2777.39,-0.04245096,0.7537565,0.2518384
2789.309,-0.04245096,0.7537565,0.2518384
2791.119,-0.042592,0.7566091,0.2539029
2803.314,-0.04259204,0.7566098,0.2539034
2805.121,-0.04247143,0.7572676,0.2543553
2817.231,-0.04247143,0.7572676,0.2543553
2819.553,-0.04290546,0.7582288,0.2547217
2831.089,-0.04290546,0.7582288,0.2547218
2832.775,-0.04292697,0.7584621,0.2547839
2844.981,-0.04292697,0.7584621,0.2547839
2846.766,-0.04296394,0.7592751,0.2551911
2858.943,-0.04296394,0.7592751,0.2551911
2860.617,-0.04273681,0.7596456,0.2553982
2873.101,-0.04273681,0.7596456,0.2553982
2874.611,-0.04237194,0.7598074,0.2555365
2886.988,-0.04237197,0.7598073,0.2555364
2888.722,-0.04223212,0.759575,0.2553243
2900.818,-0.04223212,0.759575,0.2553243
2902.535,-0.04196445,0.7593335,0.2552104
2914.85,-0.04196446,0.7593335,0.2552103
2916.541,-0.04200335,0.7588344,0.2549798
2928.311,-0.04200335,0.7588344,0.2549798
2930.061,-0.04194959,0.758383,0.2548268
2942.304,-0.04194959,0.758383,0.2548268
2943.877,-0.04186696,0.7578028,0.2546505
2956.046,-0.04186689,0.7578028,0.2546505
2957.847,-0.0409719,0.7564887,0.2544455
2969.854,-0.0409719,0.7564887,0.2544455
2971.975,-0.0398744,0.7547852,0.2541157
2984.007,-0.0398744,0.7547852,0.2541157
2985.957,-0.039191,0.7533588,0.2537578
2997.922,-0.03919084,0.7533585,0.2537577
2999.531,-0.03842832,0.7518765,0.2534584
3011.452,-0.03842832,0.7518765,0.2534584
3013.321,-0.03796362,0.7512165,0.2538727
3025.33,-0.03796362,0.7512165,0.2538727
3026.989,-0.03750354,0.7504022,0.2541656
3039.362,-0.03750349,0.7504022,0.2541656
3041.001,-0.03704876,0.7494888,0.2543797
3053.325,-0.03704876,0.7494888,0.2543797
3054.989,-0.03696971,0.7493411,0.2549217
3067.231,-0.03696971,0.7493411,0.2549217
3068.97,-0.03687943,0.7491714,0.2554198
3081.19,-0.03687944,0.7491715,0.2554199
3082.756,-0.03695302,0.7500151,0.2563036
3095.042,-0.036953,0.7500151,0.2563036
3096.612,-0.03703777,0.7508699,0.2571698
3108.891,-0.03703777,0.7508699,0.2571698
3110.611,-0.03712036,0.7516297,0.2579476
3122.888,-0.0371204,0.7516296,0.2579476
3124.618,-0.03737815,0.7515635,0.2582591
3136.472,-0.03737818,0.7515635,0.2582592
3138.349,-0.03759185,0.7514756,0.2586167
3150.181,-0.03759185,0.7514756,0.2586167
3152.11,-0.03732034,0.751551,0.2589106
3163.968,-0.03732027,0.751551,0.2589107
3165.814,-0.03708746,0.7516153,0.2591606
3177.752,-0.03708746,0.7516153,0.2591606
3179.54,-0.03717093,0.7513112,0.2592295
3191.632,-0.03717093,0.7513112,0.2592295
3193.213,-0.03720418,0.7510013,0.259389
3205.75,-0.03720417,0.7510013,0.259389
3207.437,-0.03720324,0.7506761,0.259612
3219.517,-0.03720324,0.7506761,0.259612
3221.341,-0.03765438,0.750447,0.2603387
3233.069,-0.03765441,0.750447,0.2603388
3234.618,-0.03814618,0.75021,0.2611569
3247.141,-0.03814618,0.75021,0.2611569
3248.807,-0.03848586,0.7507211,0.2627116
3260.714,-0.03848586,0.7507211,0.2627116
3262.306,-0.03878159,0.751233,0.2642656
3274.704,-0.03878159,0.751233,0.2642656
3276.374,-0.03904067,0.751721,0.2657313
3288.355,-0.03904067,0.751721,0.2657313
3289.902,-0.03910481,0.7525902,0.2680032
3302.246,-0.0391048,0.7525902,0.2680033
3304.066,-0.03917522,0.7534627,0.2702185
3316.136,-0.03917525,0.7534627,0.2702186
3317.767,-0.03953975,0.753244,0.2749929
3329.932,-0.03953979,0.7532441,0.2749935
3331.545,-0.03990477,0.7534008,0.2793285
3343.689,-0.03990477,0.7534008,0.2793285
3345.333,-0.040099,0.7531942,0.2825884
3357.618,-0.04009897,0.7531942,0.2825884
3359.476,-0.03890859,0.7519684,0.2857049
3371.491,-0.03890855,0.7519684,0.285705
3373.475,-0.03789027,0.7509574,0.2884253
3385.286,-0.03789027,0.7509574,0.2884253
3386.999,-0.03748007,0.7506587,0.2934909
3399.065,-0.03748007,0.7506587,0.2934909
3400.757,-0.03703165,0.7503567,0.2978967
3413.271,-0.03703149,0.7503564,0.2978973
3414.751,-0.03610201,0.7490007,0.3011066
3426.984,-0.03610201,0.7490007,0.3011066
3428.51,-0.03534515,0.7479219,0.304106
3440.697,-0.03534503,0.7479216,0.3041067
3443.217,-0.03467741,0.7469859,0.3070763
3454.668,-0.03467741,0.7469859,0.3070763
3456.088,-0.03594848,0.7499583,0.3114079
3468.396,-0.03594848,0.7499583,0.3114079
3470.02,-0.03683057,0.7520905,0.3152662
3482.139,-0.03683057,0.7520905,0.3152662
3483.618,-0.03780715,0.7527937,0.3191642
3496.189,-0.03780725,0.7527937,0.3191645
3497.668,-0.03852568,0.7531771,0.3227416
3509.718,-0.03852568,0.7531771,0.3227416
3511.295,-0.03914118,0.7533385,0.3259487
3523.687,-0.03914118,0.7533385,0.3259487
3525.239,-0.03966146,0.7556303,0.3285715
3537.757,-0.03966156,0.7556305,0.328572
3539.388,-0.04006822,0.7576469,0.3315457
3551.621,-0.04006822,0.7576469,0.3315457
3553.632,-0.04144595,0.756508,0.3340507
3565.386,-0.04144595,0.756508,0.3340507
3567.046,-0.04265857,0.7555764,0.3364288
3579.237,-0.04265857,0.7555764,0.3364288
3580.994,-0.0430848,0.7558964,0.3383395
3593.053,-0.0430848,0.7558964,0.3383395
3594.527,-0.0436426,0.7560722,0.3399971
3607.332,-0.0436426,0.7560722,0.3399972
3608.73,-0.0442303,0.7561387,0.3414973
3621.152,-0.0442303,0.7561387,0.3414973
3623.023,-0.04452466,0.7565132,0.3442981
3634.696,-0.04452466,0.7565132,0.3442981
3636.169,-0.04478081,0.7568114,0.3469958
3648.842,-0.04478081,0.7568114,0.3469958
3650.2,-0.04508844,0.7575387,0.3504186
3662.746,-0.04508854,0.7575389,0.3504197
3664.345,-0.0452562,0.758249,0.3540368
3676.354,-0.0452562,0.758249,0.3540368
3677.762,-0.04521976,0.7589107,0.3576539
3690.204,-0.04521976,0.7589107,0.3576539
3691.731,-0.04214637,0.7504631,0.3619711
3704.189,-0.04214637,0.7504631,0.3619711
3705.796,-0.03947854,0.7436053,0.3665672
3718.412,-0.03947849,0.7436042,0.366568
3720.402,-0.03876696,0.7368798,0.3728398
3732.053,-0.03876696,0.7368798,0.3728398
3733.895,-0.03795044,0.7317852,0.3785083
3746.045,-0.03795044,0.7317852,0.3785083
3747.408,-0.03665242,0.7347759,0.3826093
3759.928,-0.03665242,0.7347759,0.3826094
3761.436,-0.03555306,0.7364153,0.3862727
3773.493,-0.03555306,0.7364153,0.3862727
3775.135,-0.03458172,0.7373411,0.3897335
3787.65,-0.03458172,0.7373411,0.3897335
3789.093,-0.03376954,0.7414765,0.3932783
3801.314,-0.03376947,0.7414767,0.3932785
3802.94,-0.03278463,0.744632,0.3967975
3815.31,-0.03278469,0.7446321,0.3967976
3816.91,-0.03733674,0.7535286,0.4009284
3828.999,-0.03733725,0.7535297,0.4009289
3830.443,-0.04027454,0.7603884,0.404908
3842.897,-0.04027454,0.7603884,0.404908
3844.428,-0.04259515,0.7659911,0.4087542
3856.902,-0.04259515,0.7659911,0.4087542
3858.455,-0.04241688,0.7655907,0.4101953
3870.931,-0.04241686,0.7655906,0.4101953
3872.83,-0.04242719,0.7656552,0.4119341
3884.898,-0.04242727,0.7656548,0.4119345
3886.434,-0.04291117,0.7597265,0.4169277
3898.552,-0.04291117,0.7597265,0.4169277
3900.244,-0.04345948,0.755196,0.4218255
3912.569,-0.04345922,0.7551956,0.4218258
3914.063,-0.04143578,0.7527087,0.425499
3926.405,-0.04143553,0.7527084,0.4254994
3927.968,-0.03958064,0.7504191,0.4288512
3940.429,-0.03958064,0.7504191,0.4288512
3941.968,-0.03810161,0.7486978,0.4321562
3954.369,-0.03810161,0.7486978,0.4321562
3955.836,-0.036981,0.7483374,0.4342516
3967.971,-0.036981,0.7483374,0.4342516
3969.504,-0.03583819,0.7479461,0.4366732
3981.898,-0.03583819,0.7479461,0.4366732
3983.321,-0.03742057,0.7496923,0.4393384
3995.986,-0.0374207,0.7496924,0.4393386
3997.45,-0.03830311,0.7507002,0.4420255
4009.645,-0.03830311,0.7507002,0.4420255
4011.144,-0.03881568,0.7513141,0.4447783
4023.515,-0.03881568,0.7513141,0.4447783
4024.982,-0.03876319,0.7537031,0.4489752
4037.47,-0.03876321,0.7537032,0.4489756
4039.086,-0.03859164,0.7557122,0.4530842
4051.397,-0.03859163,0.7557122,0.4530842
4052.985,-0.03556458,0.7537262,0.4558431
4065.361,-0.03556458,0.7537262,0.4558431
4067.356,-0.03379156,0.7518148,0.4579794
4079.079,-0.03379118,0.7518143,0.4579798
4080.961,-0.03692215,0.7514316,0.4612002
4092.8,-0.03692215,0.7514316,0.4612002
4094.226,-0.03930376,0.7511694,0.4646125
4106.781,-0.03930399,0.7511694,0.4646128
4108.617,-0.04065546,0.7505209,0.4680541
4120.963,-0.04065546,0.7505209,0.4680541
4122.542,-0.03880981,0.7506236,0.4672076
4134.938,-0.03880966,0.7506236,0.4672075
4136.569,-0.03761815,0.7509602,0.4671651
4148.474,-0.03761815,0.7509602,0.4671651
4150.069,-0.03385571,0.7504488,0.4669263
4162.318,-0.03385547,0.7504487,0.4669263
4163.653,-0.03078663,0.7511995,0.4677085
4176.533,-0.03078613,0.7511996,0.4677087
4178.052,-0.02818323,0.7524817,0.469182
4190.169,-0.02818323,0.7524817,0.469182
4191.936,-0.02475165,0.7507632,0.4705836
4204.115,-0.02475165,0.7507632,0.4705836
4205.707,-0.02115049,0.7487227,0.4719295
4217.804,-0.02115049,0.7487227,0.4719295
4219.297,-0.0174385,0.7480643,0.4731627
4231.503,-0.0174385,0.7480643,0.4731627
4233.11,-0.01440345,0.748183,0.4749731
4245.586,-0.01440309,0.748183,0.4749734
4247.207,-0.01111861,0.7476318,0.4753742
4259.337,-0.01111861,0.7476318,0.4753742
4260.885,-0.007347584,0.7465903,0.475868
4273.158,-0.007347375,0.7465903,0.475868
4274.545,-0.003524281,0.7454352,0.4764248
4287.365,-0.003524281,0.7454352,0.4764248
4288.88,-0.0001841709,0.7467601,0.4769564
4301.059,-0.000184156,0.7467601,0.4769564
4302.653,0.002749633,0.7476686,0.4772515
4315.252,0.00275021,0.7476686,0.4772516
4316.687,0.009365581,0.746333,0.4787681
4328.987,0.009365857,0.7463329,0.4787682
4330.417,0.01471388,0.7449386,0.4796213
4342.845,0.01471388,0.7449386,0.4796213
4344.289,0.0196633,0.7436419,0.4803411
4356.59,0.0196647,0.7436424,0.4803408
4358.028,0.02435076,0.7446305,0.479669
4370.479,0.02435076,0.7446305,0.479669
4372.316,0.02891143,0.7452911,0.4792706
4384.489,0.02891143,0.7452911,0.4792706
4386.894,0.03351058,0.7450392,0.4764643
4398.412,0.03351127,0.7450392,0.476464
4400.565,0.03804776,0.7450794,0.4744809
4412.25,0.0380483,0.7450795,0.4744806
4413.901,0.0369212,0.7464641,0.4714482
4426.072,0.0369212,0.7464641,0.4714482
4427.466,0.03789325,0.7473948,0.4693269
4440.047,0.03789337,0.747395,0.4693266
4441.611,0.03971501,0.7480982,0.4676626
4453.989,0.03971501,0.7480982,0.4676626
4455.551,0.04219525,0.7475821,0.4634098
4467.958,0.04219545,0.747582,0.4634094
4469.514,0.04493311,0.7476945,0.4602489
4481.509,0.04493311,0.7476945,0.4602489
4483.076,0.0467739,0.7482951,0.4551724
4495.536,0.0467739,0.7482951,0.4551724
4496.948,0.0489147,0.7487974,0.450935
4509.292,0.0489147,0.7487974,0.450935
4510.935,0.051176,0.7492115,0.4473027
4523.24,0.051176,0.7492115,0.4473027
4524.744,0.0511846,0.7487978,0.4466536
4537.311,0.05118465,0.7487977,0.4466534
4539.056,0.05216141,0.7480545,0.4453064
4551.085,0.05216141,0.7480545,0.4453064
4552.671,0.05113593,0.7464309,0.4454675
4564.906,0.05113588,0.7464308,0.4454675
4566.404,0.05101391,0.7448078,0.4449272
4578.825,0.05101389,0.7448077,0.4449272
4580.423,0.05388126,0.7431986,0.4400537
4592.793,0.05388126,0.7431986,0.4400537
4594.4,0.05653999,0.7418592,0.4356252
4606.46,0.05653999,0.7418592,0.4356252
4607.998,0.05901036,0.7407128,0.4315491
4620.629,0.05901009,0.7407132,0.4315492
4622.233,0.05861159,0.7420964,0.4303449
4634.212,0.05861159,0.7420964,0.4303449
4635.831,0.05897044,0.7425335,0.4285507
4648.31,0.0589704,0.7425334,0.4285507
4650.044,0.05813391,0.7402181,0.4240493
4662.115,0.05813391,0.7402181,0.4240493
4663.726,0.05776758,0.7391902,0.4205975
4675.703,0.05776758,0.7391902,0.4205975
4677.118,0.05758464,0.7386888,0.4176221
4689.962,0.05758454,0.7386885,0.4176218
4691.891,0.05566723,0.7355052,0.410124
4703.651,0.05566702,0.7355049,0.4101232
4705.21,0.05405326,0.7333875,0.403562
4717.754,0.05405326,0.7333875,0.403562
4719.177,0.05243187,0.7340223,0.4004471
4731.386,0.05243164,0.7340223,0.4004466
4733.358,0.05103649,0.7344012,0.3971785
4745.498,0.05103649,0.7344012,0.3971785
4747.105,0.04792979,0.7373805,0.3944187
4759.057,0.04792961,0.7373807,0.3944185
4760.587,0.04524502,0.7393852,0.3912264
4772.907,0.04524454,0.7393857,0.3912259
