time,x_pos,y_pos,z_pos
2761.191,-0.0004106164,0.7963942,0.2731352
2773.984,-0.0004106089,0.7963941,0.2731351
2775.37,-3.549457E-05,0.7924901,0.2722131
2787.688,-3.550947E-05,0.7924899,0.2722131
2789.056,0.0005631298,0.7884843,0.2712106
2801.269,0.0005631298,0.7884843,0.2712106
2802.763,-0.0002870187,0.7843571,0.2699697
2815.224,-0.0002870932,0.7843566,0.2699696
2816.683,-0.0006464124,0.7804285,0.2687715
2829.325,-0.0006464124,0.7804285,0.2687715
2830.88,-0.001108833,0.7801203,0.2689989
2843.058,-0.001108848,0.7801202,0.268999
2844.5,-0.001151457,0.7782238,0.2685542
2857.258,-0.00115177,0.7782241,0.2685543
2858.688,-0.002819717,0.7781198,0.2684838
2870.749,-0.002819717,0.7781198,0.2684838
2872.361,-0.003652848,0.7767452,0.2680137
2884.953,-0.003652848,0.7767452,0.2680137
2886.72,-0.004160129,0.774883,0.2674043
2898.724,-0.004159965,0.7748826,0.2674041
2900.085,-0.003172189,0.7702066,0.2655349
2912.394,-0.003172189,0.7702066,0.2655349
2913.882,-0.002713464,0.7658756,0.2636498
2926.656,-0.002713479,0.7658754,0.2636497
2928.108,-0.003274187,0.7588069,0.260786
2940.42,-0.003274187,0.7588069,0.260786
2941.902,-0.003486097,0.7529383,0.25862
2954.142,-0.003486097,0.7529383,0.25862
2955.93,-0.003538057,0.7477564,0.2567876
2968.386,-0.003538027,0.7477564,0.2567876
2969.759,-0.003183208,0.7456411,0.2557409
2981.823,-0.003183208,0.7456411,0.2557409
2983.626,-0.002840467,0.74304,0.2544702
2995.873,-0.002841048,0.7430402,0.2544701
2997.27,-0.005084045,0.7421575,0.2528704
3009.67,-0.005084209,0.7421573,0.2528703
3011.278,-0.006014667,0.7402223,0.2511171
3023.7,-0.006014667,0.7402223,0.2511171
3025.183,-0.009887956,0.7438999,0.2510369
3037.423,-0.009887956,0.7438999,0.2510369
3038.785,-0.01227916,0.7452472,0.2502393
3051.393,-0.0122795,0.7452474,0.2502392
3053.009,-0.01399028,0.7456452,0.2490714
3065.54,-0.01399028,0.7456452,0.2490714
3067.779,-0.01444161,0.7462949,0.2485031
3079.343,-0.01444166,0.746295,0.2485031
3080.82,-0.01509481,0.7474956,0.2479751
3092.994,-0.01509481,0.7474956,0.2479751
3094.479,-0.01366709,0.74921,0.2490651
3107.142,-0.01366697,0.7492101,0.2490652
3108.471,-0.01299679,0.7506646,0.249687
3120.947,-0.01299679,0.7506646,0.249687
3122.504,-0.01266367,0.7518526,0.2500719
3134.674,-0.01266362,0.7518528,0.250072
3136.085,-0.01217706,0.7529275,0.2509135
3148.886,-0.01217698,0.7529275,0.2509135
3150.477,-0.01177587,0.7537971,0.2515996
3162.593,-0.01177587,0.7537971,0.2515996
3164.155,-0.009738848,0.7534783,0.2522898
3176.46,-0.00973874,0.7534783,0.2522899
3177.872,-0.008106742,0.7531504,0.2527856
3190.082,-0.008106742,0.7531504,0.2527856
3191.7,-0.007384486,0.753385,0.2535875
3203.959,-0.007384486,0.753385,0.2535875
3205.419,-0.006503742,0.7534254,0.2544175
3217.826,-0.006503742,0.7534254,0.2544175
3219.214,-0.005616501,0.7532665,0.2552063
3231.985,-0.005616512,0.7532664,0.2552063
3233.582,-0.006386556,0.7514274,0.2557558
3245.864,-0.006386638,0.751427,0.255756
3247.402,-0.006362803,0.7498168,0.2570722
3259.677,-0.006362803,0.7498168,0.2570722
3261.225,-0.005556595,0.7500751,0.2593277
3273.581,-0.005556446,0.750075,0.2593281
3275.153,-0.004653141,0.7499372,0.2611896
3287.413,-0.004653078,0.7499372,0.2611897
3288.865,-0.003766973,0.749604,0.262713
3301.206,-0.003766973,0.749604,0.262713
3302.749,-0.00426716,0.74917,0.2642883
3314.927,-0.00426716,0.74917,0.2642883
3316.527,-0.00458625,0.7489762,0.2658886
3328.923,-0.004586197,0.7489762,0.2658888
3330.421,-0.004179738,0.7488127,0.268435
3342.643,-0.004179738,0.7488127,0.268435
3344.221,-0.00393847,0.7487645,0.2707925
3356.627,-0.00393847,0.7487645,0.2707925
3358.077,-0.004842833,0.7495504,0.2736143
3370.584,-0.004842859,0.7495505,0.2736144
3372.032,-0.005703665,0.7500894,0.2760936
3384.541,-0.005703706,0.7500894,0.2760937
3386.167,-0.006507747,0.7504823,0.2783356
3398.363,-0.006507747,0.7504823,0.2783356
3399.921,-0.008034475,0.7505492,0.2807379
3412.333,-0.008034475,0.7505492,0.2807379
3414.008,-0.009357158,0.7507228,0.2831603
3426.343,-0.009357136,0.7507225,0.2831605
3427.834,-0.009134091,0.7489416,0.2855433
3440.028,-0.009134091,0.7489416,0.2855433
3441.598,-0.008961648,0.7476721,0.2879432
3454.058,-0.00896167,0.7476721,0.2879433
3455.781,-0.008821853,0.7467446,0.2903327
3468.219,-0.008821853,0.7467446,0.2903327
3469.575,-0.007543132,0.7472718,0.2934659
3481.862,-0.007543124,0.7472718,0.2934659
3483.972,-0.006761443,0.7479295,0.2965284
3495.827,-0.006761443,0.7479295,0.2965284
3497.342,-0.006375827,0.7504398,0.3005266
3509.66,-0.006375827,0.7504398,0.3005266
3511.476,-0.00605762,0.7522863,0.3040312
3523.535,-0.006057598,0.7522864,0.3040316
3524.931,-0.005695991,0.753032,0.3072031
3537.186,-0.005695991,0.753032,0.3072031
3538.617,-0.005451888,0.7536417,0.3100794
3551.207,-0.005451888,0.7536417,0.3100794
3552.771,-0.005292974,0.7541713,0.3127576
3565.137,-0.005292974,0.7541713,0.3127576
3566.726,-0.005222276,0.751359,0.31475
3579.056,-0.005222283,0.7513588,0.3147503
3580.466,-0.005216949,0.7496539,0.3172033
3593.23,-0.005217142,0.7496543,0.3172036
3594.58,-0.006137796,0.7519485,0.3204743
3606.849,-0.006137833,0.7519486,0.3204744
3608.323,-0.006511085,0.753583,0.3235518
3620.591,-0.006511085,0.753583,0.3235518
3622.116,-0.006631806,0.7548697,0.3265429
3634.527,-0.006631814,0.7548697,0.3265429
3636.035,-0.007257909,0.7546294,0.3303099
3648.618,-0.007257946,0.7546294,0.33031
3650.51,-0.007737428,0.7544059,0.3338125
3662.405,-0.007737458,0.754406,0.3338126
3664.076,-0.00831183,0.75466,0.3362412
3675.99,-0.00831183,0.75466,0.3362412
3677.447,-0.008592315,0.7548034,0.3386244
3690.01,-0.008592308,0.7548034,0.3386246
3691.658,-0.007426195,0.7564539,0.3421611
3703.943,-0.00742621,0.756454,0.3421612
3705.426,-0.006457016,0.7575231,0.3452181
3717.62,-0.006457016,0.7575231,0.3452181
3719.189,-0.005689867,0.7577338,0.3476412
3731.644,-0.005689837,0.7577338,0.3476413
3733.183,-0.005384125,0.7583214,0.3517957
3745.511,-0.005384125,0.7583214,0.3517957
