time,x_pos,y_pos,z_pos
2164.754,-0.09498848,0.7888958,0.4467853
2176.889,-0.09498848,0.7888958,0.4467853
2178.403,-0.1004608,0.7859772,0.4426927
2190.829,-0.1004614,0.7859768,0.4426923
2192.396,-0.1035671,0.7814016,0.4396318
2204.801,-0.1035671,0.7814016,0.4396318
2206.415,-0.1053315,0.7819137,0.4373576
2218.701,-0.1053316,0.7819138,0.4373575
2220.229,-0.1060712,0.7794323,0.4349537
2232.328,-0.1060712,0.7794323,0.4349537
2233.827,-0.1065625,0.7755258,0.433624
2246.223,-0.1065625,0.7755257,0.433624
2247.859,-0.1065861,0.7710391,0.4324217
2260.141,-0.1065861,0.7710391,0.4324217
2261.791,-0.1065707,0.7659914,0.4312002
2274.382,-0.1065704,0.7659917,0.4312006
2276.235,-0.1055271,0.7652885,0.4320234
2287.968,-0.1055271,0.7652885,0.4320235
2289.5,-0.1055025,0.7627536,0.4315946
2301.82,-0.1055025,0.7627536,0.4315946
2303.298,-0.1048062,0.7640037,0.4334322
2315.747,-0.1048062,0.7640038,0.4334323
2317.284,-0.1052321,0.7620549,0.4333671
2329.825,-0.1052321,0.7620549,0.4333671
2331.302,-0.1062144,0.7586014,0.4324601
2343.899,-0.1062148,0.7586017,0.4324603
2345.552,-0.1085584,0.7576702,0.4324903
2357.464,-0.1085586,0.75767,0.4324903
2359.323,-0.110244,0.7547188,0.431816
2371.405,-0.110244,0.7547188,0.431816
2372.902,-0.1101861,0.7511772,0.4311592
2385.107,-0.1101862,0.7511767,0.4311592
2386.726,-0.1103699,0.7469823,0.4301032
2398.855,-0.1103699,0.7469823,0.4301032
2400.474,-0.1101796,0.7437027,0.4293106
2412.839,-0.1101796,0.7437027,0.4293105
2414.637,-0.1099947,0.7405952,0.4285005
2426.758,-0.1099947,0.7405952,0.4285005
2428.326,-0.1098223,0.7375349,0.4276847
2440.759,-0.1098223,0.7375349,0.4276846
2442.244,-0.1104366,0.738037,0.42693
2454.683,-0.1104366,0.738037,0.4269299
2456.795,-0.1106559,0.7376631,0.4262742
2468.605,-0.1106559,0.7376631,0.4262742
2470.283,-0.109918,0.7377433,0.4260797
2482.476,-0.1099179,0.7377433,0.4260797
2483.984,-0.1091482,0.7386865,0.4258075
2496.321,-0.1091482,0.7386865,0.4258075
2498.269,-0.1084021,0.7397462,0.425529
2510.372,-0.1084021,0.7397462,0.4255289
2511.693,-0.1080783,0.7400115,0.4253765
2524.401,-0.1080783,0.7400115,0.4253765
2526.041,-0.1077532,0.740103,0.425255
2538.218,-0.1077532,0.7401031,0.4252549
2539.883,-0.1087826,0.7414359,0.4238003
2552.094,-0.1087826,0.7414359,0.4238003
2553.677,-0.1093914,0.7425479,0.4226527
2565.999,-0.1093914,0.742548,0.4226526
2567.639,-0.1094621,0.7437348,0.4225929
2579.621,-0.1094621,0.7437348,0.4225929
2581.069,-0.1097308,0.7446527,0.4224435
2593.646,-0.1097308,0.7446527,0.4224435
2595.219,-0.1101139,0.7453717,0.422227
2607.438,-0.1101139,0.7453717,0.422227
2608.965,-0.1094103,0.7460179,0.4226602
2621.566,-0.1094102,0.746018,0.4226604
2623.197,-0.1089466,0.7463643,0.4228282
2635.179,-0.1089466,0.7463643,0.4228282
2636.921,-0.1083744,0.7459994,0.4221456
2648.961,-0.1083744,0.7459995,0.4221456
2650.37,-0.1080838,0.7454114,0.4210629
2663.171,-0.1080837,0.7454111,0.4210621
2664.952,-0.1079915,0.744621,0.4195614
2676.853,-0.1079915,0.744621,0.4195614
2678.481,-0.1079462,0.7424126,0.4141499
2690.931,-0.1079462,0.7424124,0.4141495
2692.514,-0.1077982,0.7406822,0.4094123
2704.794,-0.1077982,0.7406822,0.4094123
2706.737,-0.1078696,0.7382778,0.404421
2718.378,-0.1078696,0.7382776,0.4044206
2719.888,-0.1077741,0.736317,0.400271
2732.504,-0.1077741,0.7363169,0.400271
2734.015,-0.1066148,0.7367154,0.3972241
2746.066,-0.1066148,0.7367154,0.3972241
2747.732,-0.1058109,0.7367297,0.3942838
2759.981,-0.1058108,0.7367297,0.3942836
2761.739,-0.1053354,0.7364208,0.3913247
2773.959,-0.1053354,0.736421,0.3913245
2775.448,-0.1060575,0.7380887,0.3874533
2787.759,-0.1060575,0.7380887,0.3874532
2789.417,-0.1066929,0.738597,0.3833424
2801.644,-0.1066929,0.738597,0.3833424
2803.122,-0.1082672,0.7406831,0.3786366
2815.614,-0.1082673,0.7406833,0.3786362
2817.452,-0.109083,0.7412086,0.3737838
2829.379,-0.109083,0.7412086,0.3737838
2830.892,-0.1096217,0.741194,0.3692356
