time,x_pos,y_pos,z_pos
3161.544,-0.2463422,0.8229444,0.441976
3173.872,-0.2463422,0.8229444,0.441976
3175.694,-0.2448339,0.8162077,0.4410496
3187.643,-0.2448341,0.8162078,0.4410496
3189.549,-0.2454599,0.8153034,0.4410557
3201.599,-0.2454599,0.8153034,0.4410557
3203.592,-0.2454499,0.8135245,0.4407928
3215.221,-0.2454499,0.8135242,0.4407927
3216.863,-0.2451451,0.8112901,0.4404002
3229.225,-0.2451465,0.8112904,0.4404001
3231.025,-0.2459813,0.8102259,0.4397843
3243.012,-0.2459813,0.8102259,0.4397843
3244.722,-0.2462466,0.8084356,0.4389957
3256.996,-0.2462466,0.8084356,0.4389957
3258.578,-0.2462693,0.8077295,0.4391757
3270.912,-0.2462693,0.8077295,0.4391757
3272.602,-0.2462238,0.8062541,0.4388457
3284.965,-0.2462239,0.806254,0.4388457
3287.015,-0.2467245,0.8047258,0.4385192
3298.833,-0.2467245,0.8047258,0.4385192
3300.52,-0.247011,0.8029132,0.4381452
3313.092,-0.247011,0.8029129,0.4381451
3314.684,-0.2472222,0.8008842,0.4377352
3326.822,-0.2472222,0.8008842,0.4377352
3328.717,-0.248024,0.803863,0.4389331
3340.721,-0.248024,0.803863,0.4389331
3343.015,-0.2485368,0.8052289,0.4392991
3354.663,-0.2485368,0.8052289,0.4392991
3356.701,-0.2493224,0.8056183,0.4387943
3368.519,-0.2493226,0.8056184,0.4387943
3370.566,-0.2500126,0.8058715,0.4381726
3382.654,-0.2500126,0.8058714,0.4381726
3384.877,-0.248946,0.8050792,0.4374004
3396.235,-0.2489459,0.8050792,0.4374003
3397.792,-0.2481914,0.8044585,0.4365668
3410.005,-0.2481914,0.8044585,0.4365668
3411.634,-0.247625,0.803915,0.4357227
3424.198,-0.247625,0.803915,0.4357227
3426.188,-0.2477501,0.8038567,0.4353183
3437.791,-0.2477501,0.8038567,0.4353183
3439.71,-0.2478792,0.8033659,0.4345575
3451.664,-0.2478792,0.8033659,0.4345575
3453.32,-0.24714,0.8018385,0.4331006
3465.436,-0.2471399,0.8018383,0.4331003
3467.09,-0.2465133,0.8003224,0.4315395
3479.285,-0.2465133,0.8003224,0.4315395
3481.009,-0.2459596,0.7988466,0.4299758
3493.294,-0.2459596,0.7988466,0.4299758
3495.147,-0.2454304,0.7977718,0.429609
3507.271,-0.2454303,0.7977717,0.429609
3509.096,-0.2449592,0.7965031,0.4290241
3521.107,-0.2449592,0.7965031,0.4290241
3522.84,-0.2444314,0.795167,0.4291299
3534.935,-0.2444314,0.795167,0.4291299
3536.975,-0.2440727,0.7935595,0.428951
3549.036,-0.2440726,0.7935593,0.428951
3550.989,-0.2433722,0.7919405,0.4284708
3562.822,-0.2433722,0.7919405,0.4284708
3564.557,-0.2428108,0.7904776,0.4280067
3576.706,-0.2428108,0.7904776,0.4280067
3578.381,-0.242332,0.7891101,0.4275516
3590.76,-0.2423321,0.7891099,0.4275515
3592.31,-0.2428378,0.7853388,0.4244885
3605.01,-0.2428378,0.7853388,0.4244885
3606.687,-0.2429124,0.7822731,0.4222471
3618.805,-0.2429126,0.7822727,0.4222467
3620.465,-0.2436286,0.7790262,0.4199555
3632.463,-0.2436286,0.7790262,0.4199555
3633.95,-0.2437245,0.7761875,0.418338
3646.394,-0.2437245,0.7761873,0.4183379
3648.177,-0.2435259,0.7736068,0.4170892
3660.191,-0.2435259,0.7736068,0.4170892
3661.976,-0.2405447,0.7690561,0.4173861
3673.981,-0.2405447,0.7690561,0.4173861
3675.777,-0.2382216,0.7648105,0.4173779
3687.725,-0.2382216,0.7648106,0.417378
3689.464,-0.238609,0.7664902,0.4191222
3701.702,-0.238609,0.7664903,0.4191223
3703.507,-0.2384911,0.7665312,0.4195935
3715.649,-0.2384911,0.7665312,0.4195936
3717.34,-0.238245,0.7646004,0.4200913
3729.284,-0.2382449,0.7646001,0.4200913
3731.042,-0.2381399,0.7623293,0.4201265
3743.053,-0.2381399,0.7623293,0.4201265
3744.636,-0.2381064,0.7601169,0.4199854
3757.162,-0.2381064,0.7601169,0.4199854
3758.868,-0.2379309,0.7597468,0.4209843
3770.858,-0.2379308,0.7597468,0.4209843
3772.549,-0.2378579,0.7591944,0.4217214
3784.759,-0.2378579,0.7591944,0.4217214
3786.331,-0.2389037,0.7603092,0.4212511
3798.738,-0.2389037,0.7603093,0.4212511
3800.439,-0.2397727,0.7610502,0.420938
3812.664,-0.2397727,0.7610502,0.420938
3814.435,-0.2405062,0.7615978,0.4206772
3826.646,-0.2405062,0.7615978,0.4206772
3828.298,-0.241264,0.7622775,0.4213289
3840.684,-0.2412641,0.7622776,0.421329
3842.437,-0.2419425,0.7629405,0.422003
3854.528,-0.2419425,0.7629405,0.422003
3856.286,-0.2429487,0.7635763,0.4228832
3868.397,-0.2429488,0.7635764,0.4228834
3870.496,-0.2439656,0.7640075,0.4238077
3882.33,-0.2439656,0.7640075,0.4238077
3884.298,-0.2443625,0.76385,0.4237763
3896.413,-0.2443625,0.76385,0.4237763
3898.255,-0.244724,0.7635897,0.4236793
3910.187,-0.244724,0.7635897,0.4236793
3911.786,-0.2450407,0.7632569,0.4235559
3924.161,-0.2450407,0.7632569,0.4235559
3925.677,-0.2455832,0.7636935,0.423885
3937.91,-0.2455832,0.7636935,0.423885
3939.621,-0.2460701,0.7640147,0.4241416
3951.769,-0.2460701,0.7640147,0.4241416
3953.996,-0.2458096,0.7640018,0.4241923
3965.322,-0.2458096,0.7640018,0.4241923
3967.042,-0.2456378,0.7639548,0.4242069
3979.471,-0.2456378,0.7639547,0.4242069
3981.444,-0.2455336,0.7639073,0.4241872
3993.167,-0.2455336,0.7639073,0.4241872
3994.824,-0.2451345,0.7649783,0.425515
4007.025,-0.2451345,0.7649783,0.425515
4008.617,-0.24497,0.7657635,0.426515
4021.116,-0.24497,0.7657635,0.426515
4022.911,-0.2444882,0.7655438,0.4267798
4034.784,-0.2444882,0.7655438,0.4267798
4036.416,-0.2442565,0.7654741,0.4270214
