time,x_pos,y_pos,z_pos
3556.499,-0.1032174,0.7929242,0.434837
3568.906,-0.1032174,0.7929242,0.434837
3570.63,-0.1035316,0.7854059,0.433799
3582.814,-0.1035316,0.7854059,0.433799
3584.44,-0.1040374,0.7786132,0.432947
3596.733,-0.1040374,0.7786129,0.4329469
3598.613,-0.1046318,0.7720119,0.4321004
3610.402,-0.1046318,0.7720119,0.4321004
3612.252,-0.1033138,0.7648181,0.4350503
3624.224,-0.1033133,0.7648143,0.4350519
3625.794,-0.1035802,0.7567199,0.4366412
3637.813,-0.1035802,0.7567199,0.4366412
3639.403,-0.1040907,0.7584301,0.4400577
3651.77,-0.1040907,0.7584301,0.4400577
3653.444,-0.1047455,0.756119,0.4409772
3665.707,-0.1047455,0.756119,0.4409772
3667.372,-0.1054308,0.7523947,0.4410925
3679.602,-0.1054307,0.7523955,0.4410932
3681.298,-0.1045125,0.7529255,0.4437821
3693.594,-0.1045125,0.7529255,0.4437821
3695.697,-0.1041338,0.7506711,0.444776
3707.272,-0.1041338,0.7506711,0.444776
3708.883,-0.104796,0.749949,0.4443804
3720.567,-0.104796,0.749949,0.4443804
3722.304,-0.1049272,0.7481383,0.4439269
3734.263,-0.1049272,0.7481383,0.4439269
3735.775,-0.1048907,0.7457694,0.4434776
3747.974,-0.1048907,0.7457694,0.4434776
3749.82,-0.1050946,0.7448138,0.4423964
3762.071,-0.1050946,0.7448136,0.4423961
3763.852,-0.1051998,0.7431614,0.4411966
3775.624,-0.1051998,0.7431614,0.4411966
3777.601,-0.1062529,0.7408124,0.4394791
3789.413,-0.1062529,0.7408121,0.4394789
3791.243,-0.1071109,0.7383306,0.4378929
3803.255,-0.1071109,0.7383306,0.4378929
3804.668,-0.1091784,0.7354155,0.4350889
3817.333,-0.1091787,0.7354151,0.4350885
3818.778,-0.1105393,0.7327895,0.4328892
3830.978,-0.1105393,0.7327895,0.4328892
3832.712,-0.1115361,0.7302957,0.4310482
3844.993,-0.1115362,0.7302959,0.4310484
3846.469,-0.111776,0.7313367,0.4323308
3858.657,-0.111776,0.7313367,0.4323308
3860.118,-0.1120628,0.7308303,0.4325662
3872.571,-0.1120628,0.7308304,0.4325663
3874.235,-0.1118047,0.7340111,0.4340892
3886.347,-0.1118047,0.7340111,0.4340892
3887.983,-0.1115431,0.7355453,0.4345495
3899.96,-0.1115431,0.7355454,0.4345495
3901.839,-0.1111688,0.7361538,0.4344074
3914.216,-0.1111688,0.7361538,0.4344074
3915.711,-0.1096133,0.7396191,0.4365163
3927.722,-0.1096132,0.7396192,0.4365163
3929.405,-0.1083079,0.7415531,0.4374845
3941.463,-0.1083079,0.7415531,0.4374845
3943.085,-0.108677,0.7433746,0.4374335
3955.589,-0.1086771,0.7433748,0.4374334
3957.291,-0.1086237,0.7444464,0.4371231
3969.19,-0.1086237,0.7444464,0.4371231
3970.771,-0.1080722,0.7427034,0.43554
3982.963,-0.1080722,0.7427034,0.43554
3984.351,-0.1078491,0.7420744,0.4345329
3996.964,-0.1078491,0.7420744,0.4345329
3998.473,-0.1077534,0.7417896,0.4337355
4010.94,-0.1077534,0.7417896,0.4337355
4012.728,-0.1088785,0.7407652,0.4304561
4024.898,-0.1088786,0.7407652,0.430456
4026.371,-0.109189,0.7409045,0.4281602
4038.801,-0.1091894,0.7409049,0.4281595
4040.344,-0.1099935,0.7439897,0.4240361
4052.345,-0.1099935,0.7439897,0.4240361
4053.916,-0.1100384,0.7466573,0.4205703
4066.438,-0.1100384,0.7466573,0.4205703
4067.825,-0.1098721,0.7488469,0.4176559
4080.155,-0.1098721,0.748847,0.4176559
4081.693,-0.1106006,0.753415,0.4132913
4094.047,-0.1106007,0.7534154,0.4132908
4095.511,-0.1108079,0.7569405,0.4095137
4108.093,-0.1108079,0.7569405,0.4095137
4109.953,-0.1103691,0.7525856,0.4057939
4121.921,-0.1103691,0.7525853,0.4057936
4123.399,-0.1101387,0.7498139,0.4027303
4135.613,-0.1101387,0.7498139,0.4027303
4137.07,-0.1097557,0.7471707,0.3995021
4149.538,-0.1097556,0.7471705,0.3995019
4151.113,-0.1095625,0.7449958,0.3962453
4163.445,-0.1095625,0.7449958,0.3962453
4165.212,-0.1095023,0.7432188,0.3930631
4177.639,-0.1095023,0.7432188,0.3930631
4179.174,-0.1076395,0.7400193,0.3907658
4191.349,-0.1076393,0.7400189,0.3907656
4193.232,-0.1064888,0.7373751,0.3881785
4205.352,-0.1064888,0.7373751,0.3881785
4206.748,-0.1056574,0.7359111,0.3850989
4219.286,-0.1056573,0.735911,0.3850986
4220.835,-0.1050466,0.7344776,0.3819901
4233.162,-0.1050466,0.7344777,0.3819901
4235.043,-0.1046443,0.7330581,0.3788716
4247.004,-0.1046443,0.7330581,0.3788716
4248.338,-0.1060294,0.7317983,0.3754892
4260.59,-0.1060294,0.7317983,0.3754892
4262.272,-0.1069708,0.7304897,0.3722382
4274.556,-0.1069708,0.7304897,0.3722381
4276.198,-0.1076207,0.7311228,0.3618716
4288.626,-0.1076207,0.7311229,0.3618712
4290.03,-0.1076885,0.7317331,0.3530768
4302.5,-0.1076885,0.731733,0.3530766
4304.109,-0.1090874,0.7329003,0.3453445
4316.351,-0.1090874,0.7329004,0.3453444
4317.864,-0.1100486,0.733868,0.3388979
4330.127,-0.1100486,0.733868,0.3388979
4331.602,-0.11082,0.7345922,0.3331629
4344.068,-0.11082,0.7345922,0.3331629
4345.585,-0.1090278,0.7368777,0.3297076
4357.915,-0.1090278,0.7368777,0.3297076
4359.636,-0.1081139,0.7388987,0.3260542
4371.687,-0.1081136,0.7388991,0.3260539
4373.249,-0.1066998,0.7426322,0.3226208
4385.624,-0.1066998,0.7426322,0.3226208
4387.135,-0.1058126,0.746038,0.3192138
4399.763,-0.1058126,0.7460381,0.3192137
4401.194,-0.1051416,0.7490982,0.3158805
4413.74,-0.1051415,0.7490978,0.3158804
4415.282,-0.1040779,0.7461489,0.313412
4427.521,-0.1040779,0.7461489,0.313412
4429.037,-0.1033206,0.7446256,0.3109991
4441.405,-0.1033206,0.7446257,0.310999
4443.307,-0.1044504,0.7452725,0.3082569
4455.008,-0.1044505,0.7452726,0.3082566
4456.357,-0.1040975,0.7454242,0.3054202
4468.824,-0.1040975,0.7454242,0.3054202
4470.165,-0.1031966,0.7454796,0.3024127
4482.988,-0.1031966,0.7454796,0.3024127
4485.527,-0.09995462,0.7455085,0.3011865
4496.966,-0.09995456,0.7455085,0.3011865
4498.405,-0.09724575,0.7447134,0.2983767
4510.934,-0.09724589,0.744714,0.298377
4512.559,-0.09591608,0.7466896,0.2975742
4524.404,-0.09591608,0.7466896,0.2975742
4525.978,-0.09406221,0.7471015,0.295242
4538.56,-0.09406194,0.7471024,0.2952428
4540.1,-0.09240815,0.7491637,0.2964985
4552.047,-0.09240815,0.7491637,0.2964985
4553.538,-0.09096363,0.7504886,0.2961206
4566.23,-0.09096358,0.7504886,0.2961206
4567.702,-0.08971886,0.75166,0.2950121
4579.99,-0.08971886,0.75166,0.2950121
4581.873,-0.08697394,0.7521566,0.295382
4593.906,-0.0869737,0.7521567,0.295382
4595.452,-0.08527438,0.7529826,0.2949464
4607.712,-0.08527438,0.7529826,0.2949464
4609.333,-0.08330808,0.7483255,0.2931619
4621.402,-0.08330808,0.7483255,0.2931619
4623.055,-0.08225032,0.7467986,0.2922333
4635.746,-0.08225008,0.7467984,0.2922331
4637.334,-0.08064406,0.7416731,0.2892273
4649.347,-0.08064406,0.7416731,0.2892273
4650.782,-0.07918207,0.7401137,0.2880051
4663.416,-0.07918207,0.7401137,0.2880051
4664.955,-0.07767296,0.7398669,0.287365
4677.507,-0.07767279,0.7398669,0.287365
4679.363,-0.07499655,0.7412966,0.2873913
4691.032,-0.07499655,0.7412966,0.2873913
4692.63,-0.07251996,0.7425886,0.2870451
4705.203,-0.07251986,0.7425888,0.2870452
4706.829,-0.06968174,0.7465094,0.2876847
4718.8,-0.06968166,0.7465096,0.2876847
4720.352,-0.06738398,0.7491496,0.2872132
4732.799,-0.06738396,0.7491496,0.2872132
4734.224,-0.06534748,0.7510979,0.2863219
4746.727,-0.06534748,0.7510979,0.2863219
4748.219,-0.06254511,0.7536719,0.2858276
4760.679,-0.06254502,0.7536719,0.2858275
4762.482,-0.0601062,0.7552186,0.2845202
4774.48,-0.06010593,0.7552186,0.2845202
4776.383,-0.05599475,0.7552918,0.2851124
4787.989,-0.05599475,0.7552918,0.2851124
4789.544,-0.05257714,0.7554724,0.2852116
