time,x_pos,y_pos,z_pos
1914.934,-0.1150762,0.7974961,0.4680743
1927.093,-0.1150762,0.7974961,0.4680743
1928.656,-0.1171266,0.786402,0.4628552
1941.142,-0.1171268,0.7864001,0.4628549
1942.665,-0.1188343,0.7753191,0.4616188
1954.88,-0.1188343,0.7753191,0.4616188
1956.464,-0.1203748,0.7655832,0.46029
1968.794,-0.1203748,0.7655832,0.46029
1970.372,-0.1217071,0.7567282,0.4588032
1982.704,-0.1217071,0.7567282,0.4588032
1984.173,-0.119082,0.7518789,0.456131
1996.565,-0.119082,0.7518787,0.456131
1998.082,-0.1169004,0.7457746,0.4534069
2010.455,-0.1169004,0.7457746,0.4534069
2011.926,-0.1165652,0.7447799,0.4516475
2024.345,-0.1165652,0.7447798,0.4516472
2025.819,-0.1164226,0.7424781,0.4496807
2038.127,-0.1164226,0.7424781,0.4496807
2039.558,-0.116316,0.7391707,0.4474439
2052.281,-0.116316,0.7391707,0.4474438
2053.736,-0.116902,0.7374995,0.4458739
2066.352,-0.116902,0.7374995,0.4458739
2068.04,-0.1170525,0.7360269,0.4450365
2080.155,-0.1170525,0.7360269,0.4450365
2081.653,-0.1170409,0.7357637,0.4442104
2093.945,-0.1170409,0.7357637,0.4442104
2095.466,-0.1171915,0.734967,0.4430639
2107.673,-0.1171916,0.7349669,0.4430639
2109.275,-0.1176211,0.7347994,0.4424715
2121.366,-0.1176211,0.7347994,0.4424715
2123.151,-0.1180627,0.7341746,0.4415507
2135.25,-0.1180627,0.7341746,0.4415507
2136.743,-0.1183217,0.7333229,0.4405854
2149.206,-0.1183217,0.7333229,0.4405854
2150.89,-0.118128,0.7365246,0.442697
2163.15,-0.118128,0.736525,0.4426973
2164.658,-0.1178802,0.7385783,0.4433717
2176.96,-0.1178802,0.7385783,0.4433717
2178.509,-0.1172961,0.7418782,0.4437122
2190.796,-0.117296,0.7418785,0.4437123
2192.28,-0.1168008,0.7449262,0.4436362
2204.588,-0.1168008,0.7449262,0.4436362
2206.137,-0.1163728,0.7474301,0.4434775
2218.66,-0.1163726,0.7474301,0.4434775
2220.547,-0.11559,0.7474544,0.4433224
2232.581,-0.11559,0.7474544,0.4433224
2234.168,-0.1147743,0.7473903,0.4432901
2246.37,-0.1147743,0.7473903,0.4432901
2247.949,-0.1126316,0.7453285,0.4425699
2260.399,-0.1126316,0.7453285,0.4425698
2261.774,-0.1108042,0.7436081,0.4419581
2274.431,-0.1108039,0.7436079,0.441958
2275.962,-0.1099285,0.7415154,0.4394522
2287.945,-0.1099285,0.7415154,0.4394522
2289.469,-0.1088949,0.7397768,0.4372254
2301.78,-0.1088949,0.7397768,0.4372254
2303.352,-0.1077951,0.7383552,0.4352798
2315.945,-0.1077948,0.7383548,0.4352793
2317.491,-0.1043187,0.7362961,0.4314885
