time,x_pos,y_pos,z_pos
2108.771,-0.06381182,0.7947376,0.4242502
2121.09,-0.06381182,0.7947376,0.4242502
2122.609,-0.06372546,0.7903927,0.4225976
2135.105,-0.06372546,0.7903923,0.4225974
2136.742,-0.06383931,0.785346,0.4206841
2148.744,-0.06383935,0.7853451,0.4206837
2150.282,-0.06431237,0.7766652,0.4182663
2162.451,-0.06431237,0.7766652,0.4182663
2163.974,-0.06454963,0.7692869,0.4164585
2176.5,-0.06454966,0.7692867,0.4164585
2178.065,-0.06533101,0.7621726,0.4158884
2190.414,-0.06533107,0.7621725,0.4158884
2191.963,-0.06568201,0.755511,0.415367
2204.259,-0.06568201,0.755511,0.415367
2206.025,-0.06582504,0.7490245,0.4146688
2218.006,-0.06582504,0.7490245,0.4146688
2219.42,-0.06624363,0.7460864,0.4142451
2232.064,-0.06624364,0.7460864,0.4142451
2233.673,-0.06638783,0.7421278,0.4132282
2246.052,-0.06638779,0.7421276,0.4132282
2247.579,-0.06591643,0.7384642,0.4116009
2259.839,-0.06591643,0.7384642,0.4116009
2261.22,-0.06548089,0.734471,0.4098099
2273.744,-0.06548093,0.7344711,0.4098099
2275.627,-0.06734116,0.7366613,0.4096774
2287.444,-0.06734116,0.7366613,0.4096774
2288.973,-0.06798961,0.7357461,0.4080761
2301.669,-0.06798964,0.735746,0.408076
2303.08,-0.0682394,0.7340393,0.4058789
2315.099,-0.06823932,0.7340394,0.405879
2316.62,-0.06810813,0.7331061,0.4049649
2328.907,-0.06810813,0.7331061,0.4049649
2330.506,-0.068098,0.7315525,0.4035259
2343.074,-0.068098,0.7315533,0.4035267
2344.697,-0.06781895,0.7346991,0.4064735
2356.73,-0.06781892,0.7346995,0.406474
2358.213,-0.06760156,0.7351184,0.407011
2370.681,-0.06760156,0.7351184,0.407011
2372.552,-0.06738971,0.7345561,0.4067459
2384.733,-0.0673904,0.7345585,0.4067475
2386.191,-0.06885196,0.7397195,0.4102141
2398.167,-0.06885196,0.7397195,0.4102141
2399.839,-0.06963522,0.7424459,0.4119127
2412.54,-0.06963506,0.7424464,0.4119131
2414.724,-0.06874083,0.7444424,0.413703
2426.178,-0.06874075,0.7444426,0.4137032
2427.739,-0.06816787,0.7453439,0.4145066
2439.935,-0.06816787,0.7453439,0.4145066
2441.788,-0.06821293,0.7475719,0.4155555
2453.925,-0.06821293,0.7475719,0.4155555
2455.529,-0.06796799,0.748641,0.4158451
2468.033,-0.06796798,0.748641,0.4158451
2469.624,-0.06761735,0.7493101,0.4158846
2482.025,-0.06761705,0.7493096,0.4158844
2483.436,-0.06587091,0.7470692,0.4147891
2495.545,-0.06587091,0.7470692,0.4147891
2497.368,-0.06473685,0.7461386,0.4143564
2509.423,-0.06473685,0.7461386,0.4143564
2510.957,-0.06222323,0.7464015,0.4148554
2523.524,-0.06222308,0.7464015,0.4148555
2524.984,-0.06064629,0.7466232,0.4149186
2537.11,-0.06064629,0.7466232,0.4149186
2539.604,-0.0594608,0.7468122,0.4148479
2551.081,-0.05946054,0.7468122,0.4148479
2552.476,-0.05709111,0.7475681,0.414836
2565.088,-0.05709104,0.7475681,0.414836
2566.634,-0.05521322,0.7483724,0.4147442
2578.963,-0.05521322,0.7483724,0.4147442
2580.429,-0.05277706,0.7476698,0.413867
2593.043,-0.05277706,0.7476698,0.413867
2594.588,-0.05066317,0.747569,0.4134243
2606.843,-0.0506628,0.7475687,0.4134241
2608.332,-0.04715078,0.7456523,0.4122627
2620.807,-0.04715078,0.7456523,0.4122627
2622.217,-0.04405388,0.744256,0.4114032
2634.712,-0.04405385,0.744256,0.4114032
2636.291,-0.04124469,0.7431676,0.4107459
2648.401,-0.04124469,0.7431676,0.4107459
2650.252,-0.03755105,0.7434082,0.410494
2662.383,-0.03755073,0.7434082,0.410494
2663.998,-0.03407362,0.7434724,0.4101604
2676.322,-0.03407362,0.7434724,0.4101604
2677.832,-0.02969101,0.7454385,0.4090751
2690.152,-0.02968974,0.7454391,0.4090747
2691.635,-0.02548591,0.7470403,0.4080173
2703.701,-0.02548591,0.7470403,0.4080173
2705.214,-0.02179226,0.7482387,0.4071367
2717.858,-0.02179226,0.7482387,0.4071367
2719.41,-0.01791535,0.7488981,0.4065409
2731.7,-0.01791535,0.7488981,0.4065409
2733.2,-0.01472111,0.7494001,0.4058186
2745.432,-0.01472111,0.7494001,0.4058186
2746.99,-0.0121598,0.7483826,0.4060276
2759.597,-0.01215962,0.7483825,0.4060276
2761.233,-0.009394258,0.7476067,0.4061689
2773.278,-0.009394147,0.7476067,0.4061689
2774.734,-0.005260907,0.7456011,0.4056839
2787.238,-0.005260907,0.7456011,0.4056839
2788.868,-0.0008938089,0.7438157,0.4052238
2800.882,-0.0008938089,0.7438157,0.4052238
2802.662,0.003467456,0.7423128,0.4047979
2814.813,0.003467456,0.7423128,0.4047979
2816.207,0.006833158,0.7451729,0.4056958
2828.767,0.006833307,0.7451731,0.4056959
2830.366,0.01028692,0.7473013,0.406178
2842.933,0.01028691,0.7473013,0.4061779
2844.343,0.01207746,0.7477715,0.407797
2856.541,0.01207779,0.7477715,0.4077973
2858.166,0.0151534,0.7475483,0.4088883
2870.313,0.0151534,0.7475483,0.4088883
2871.79,0.0184963,0.7471278,0.409609
2884.502,0.0184963,0.7471278,0.409609
2886.052,0.0225395,0.7477796,0.4099668
2898.214,0.0225395,0.7477796,0.4099668
2899.842,0.0263541,0.7478679,0.4099679
2912.451,0.02635498,0.7478678,0.4099678
2913.821,0.03281333,0.7469946,0.4088469
2926.118,0.03281333,0.7469946,0.4088469
2927.719,0.03796384,0.7461939,0.4077219
2939.904,0.037964,0.7461939,0.4077219
2941.439,0.03771356,0.7506295,0.4082797
2953.93,0.03771356,0.7506295,0.4082797
2955.459,0.03848308,0.7533901,0.408326
2967.684,0.03848308,0.7533901,0.408326
2969.241,0.0398329,0.7552949,0.4081142
2981.51,0.0398329,0.7552949,0.4081142
2983.333,0.04245152,0.755501,0.4083862
2995.358,0.04245175,0.755501,0.4083862
2997.234,0.04497954,0.7559761,0.408657
