time,x_pos,y_pos,z_pos
2623.441,-0.1517466,0.7986007,0.4049325
2635.736,-0.1517466,0.7986007,0.4049325
2637.233,-0.1527626,0.7943836,0.4037881
2649.491,-0.1527629,0.7943839,0.4037881
2651.112,-0.1546757,0.7954531,0.4027756
2663.36,-0.1546757,0.7954531,0.4027756
2665.04,-0.1555732,0.7946254,0.4015653
2677.076,-0.1555732,0.7946254,0.4015653
2678.735,-0.1549363,0.7934051,0.4010046
2690.839,-0.1549363,0.7934051,0.4010046
2692.518,-0.1544465,0.7916144,0.4001656
2704.815,-0.1544465,0.7916142,0.4001656
2706.229,-0.1540821,0.7895362,0.3991731
2718.868,-0.1540821,0.7895362,0.3991732
2720.709,-0.1541974,0.7883624,0.3995671
2732.982,-0.1541974,0.7883624,0.3995671
2734.643,-0.1540023,0.78619,0.3996758
2746.72,-0.1540023,0.78619,0.3996758
2748.463,-0.153901,0.7779207,0.4005125
2760.218,-0.153901,0.7779193,0.4005127
2761.865,-0.154213,0.7699502,0.4017462
2774.07,-0.154213,0.7699502,0.4017462
2775.637,-0.1553213,0.766302,0.4022109
2788.072,-0.1553213,0.766302,0.4022109
2789.638,-0.1553108,0.7617364,0.4022671
2801.903,-0.1553108,0.7617362,0.4022671
2803.662,-0.1549904,0.7570971,0.4021634
2815.795,-0.1549903,0.7570971,0.4021636
2817.297,-0.1545521,0.7547319,0.4048493
2829.849,-0.1545521,0.7547319,0.4048493
2831.462,-0.1543972,0.7516782,0.4064007
2843.756,-0.1543972,0.7516782,0.4064007
2845.177,-0.1554007,0.7484607,0.4078156
2857.409,-0.1554008,0.7484602,0.4078157
2859.388,-0.1559501,0.744649,0.4088091
2871.282,-0.1559501,0.744649,0.4088091
2873.094,-0.1562818,0.7407632,0.4095485
2885.227,-0.1562819,0.7407633,0.4095484
2886.754,-0.1584839,0.7419462,0.4076673
2899.158,-0.1584839,0.7419462,0.4076673
2900.788,-0.1595462,0.7416661,0.4062932
2912.933,-0.1595462,0.7416661,0.4062932
2914.487,-0.1610109,0.7410152,0.4058219
2927.127,-0.1610113,0.741015,0.4058218
2929.511,-0.1621489,0.7400582,0.4054875
2940.78,-0.1621489,0.7400582,0.4054875
2942.472,-0.1631678,0.7388571,0.4052139
2954.63,-0.1631679,0.7388569,0.4052138
2956.034,-0.1633675,0.7372703,0.4042701
2968.62,-0.1633675,0.7372703,0.4042701
2970.24,-0.1636174,0.7356873,0.4034635
2982.499,-0.1636174,0.7356873,0.4034635
2984.03,-0.1628465,0.7352417,0.4029483
2996.205,-0.1628465,0.7352417,0.4029483
2997.697,-0.1622724,0.7349946,0.4023756
3010.181,-0.1622723,0.7349946,0.4023757
3011.883,-0.1609314,0.7357827,0.4028008
3023.994,-0.1609314,0.7357827,0.4028008
3025.616,-0.1599187,0.7365637,0.4029789
3037.972,-0.1599185,0.7365639,0.4029789
3039.549,-0.15911,0.7372857,0.4030264
3051.818,-0.15911,0.7372857,0.4030264
3053.411,-0.1577269,0.7383006,0.4030851
3065.969,-0.1577267,0.7383007,0.403085
3067.482,-0.1567177,0.7391391,0.4029353
3079.772,-0.1567177,0.7391391,0.4029353
3081.402,-0.1571259,0.7411454,0.402802
3093.541,-0.1571259,0.7411456,0.402802
3095.183,-0.1574032,0.7426927,0.4025921
3107.392,-0.1574032,0.7426927,0.4025921
3108.867,-0.1575364,0.7428064,0.4027223
3121.272,-0.1575364,0.7428064,0.4027223
3122.743,-0.1576225,0.7428068,0.4027748
3134.897,-0.1576225,0.7428068,0.4027748
3136.385,-0.1576543,0.742725,0.4027788
3148.882,-0.1576544,0.7427251,0.4027787
3150.43,-0.157795,0.7436128,0.4025579
3162.999,-0.157795,0.7436128,0.4025578
3164.584,-0.1577815,0.7444053,0.4022861
3176.72,-0.1577815,0.7444053,0.4022861
3178.341,-0.1580092,0.7443854,0.4022719
3190.393,-0.1580092,0.7443854,0.4022719
3192.093,-0.158204,0.74433,0.4022163
3204.622,-0.158204,0.74433,0.4022162
3206.045,-0.1583695,0.7442461,0.4021411
3218.193,-0.1583695,0.7442461,0.4021411
3219.663,-0.1584564,0.7436002,0.4011685
3232.43,-0.1584565,0.7436,0.4011683
3233.923,-0.1582266,0.7432303,0.4003506
3246.208,-0.1582266,0.7432303,0.4003506
3247.826,-0.1580899,0.7429273,0.3999272
3259.998,-0.1580899,0.7429273,0.3999272
3261.645,-0.1579599,0.7426144,0.3995026
3273.742,-0.1579599,0.7426143,0.3995026
3275.219,-0.1579936,0.7422233,0.3986557
3287.632,-0.1579936,0.7422232,0.3986557
3289.156,-0.1580491,0.7418065,0.3977079
3301.782,-0.1580491,0.7418065,0.3977079
3303.232,-0.1581305,0.741372,0.3967052
3315.698,-0.1581305,0.741372,0.3967052
3317.364,-0.158277,0.7410359,0.3942168
3329.398,-0.158277,0.7410358,0.3942168
3331.159,-0.1583658,0.7407666,0.3916281
3343.524,-0.1583659,0.7407665,0.3916278
3345.364,-0.158679,0.7402823,0.3893007
3357.221,-0.158679,0.7402823,0.3893006
3359,-0.1589756,0.7398372,0.3871335
3370.868,-0.1589756,0.7398372,0.3871335
3372.715,-0.1592539,0.7394308,0.3851602
3384.851,-0.1592539,0.7394308,0.3851601
3386.432,-0.1606804,0.7403516,0.3826188
3398.787,-0.1606805,0.7403516,0.3826185
