time,x_pos,y_pos,z_pos
2789.927,-0.1543541,0.8018634,0.4168743
2801.937,-0.1543541,0.8018635,0.4168744
2803.66,-0.1562958,0.8028927,0.4169917
2815.761,-0.1562961,0.8028929,0.4169917
2817.341,-0.1572583,0.8011347,0.4164689
2829.408,-0.1572583,0.8011347,0.4164689
2831.138,-0.1579018,0.7981554,0.4157408
2843.324,-0.1579018,0.7981552,0.4157407
2844.843,-0.1579677,0.7934598,0.4147054
2857.369,-0.1579677,0.7934598,0.4147054
2858.972,-0.1580522,0.7882029,0.413642
2871.245,-0.1580524,0.7882029,0.4136421
2873.13,-0.1593332,0.7854132,0.4137316
2885,-0.1593332,0.7854132,0.4137316
2886.805,-0.1598649,0.7807691,0.4131125
2898.926,-0.1598645,0.7807686,0.4131128
2900.769,-0.1570033,0.7741766,0.4137054
2912.692,-0.1570033,0.7741766,0.4137054
2914.667,-0.1552504,0.7676679,0.4135365
2926.7,-0.1552504,0.7676679,0.4135365
2928.761,-0.1540272,0.761371,0.4129959
2940.932,-0.1540272,0.761371,0.4129959
2942.755,-0.1587649,0.7616078,0.4086797
2954.931,-0.1587655,0.7616079,0.408679
2956.742,-0.1612483,0.7608086,0.4058604
2968.486,-0.1612483,0.7608086,0.4058604
2970.834,-0.1624988,0.7581478,0.4026688
2982.271,-0.162499,0.7581473,0.4026681
2984.297,-0.1632182,0.755819,0.400279
2996.391,-0.1632182,0.755819,0.400279
2998.035,-0.1612126,0.7517363,0.3981005
3010.09,-0.1612126,0.7517363,0.3981005
3011.87,-0.1599158,0.7488773,0.3965019
3023.993,-0.1599157,0.748877,0.3965018
3025.661,-0.1589018,0.7465165,0.3951866
3038.077,-0.1589018,0.7465165,0.3951866
3039.535,-0.1571318,0.7454429,0.3949219
3052.143,-0.1571318,0.7454429,0.3949219
3053.851,-0.1558687,0.743861,0.3940673
3065.735,-0.1558687,0.743861,0.3940673
3067.244,-0.1573158,0.7434446,0.3938482
3079.651,-0.1573158,0.7434446,0.3938482
3081.78,-0.1580708,0.7419938,0.3933809
3093.295,-0.1580708,0.7419938,0.3933809
3094.953,-0.1585668,0.7399202,0.3928278
3107.387,-0.1585668,0.7399202,0.3928278
3108.818,-0.1545609,0.7359113,0.3950956
3121.59,-0.1545606,0.7359111,0.3950957
3123.626,-0.1521187,0.7312984,0.3962964
3135.269,-0.1521189,0.7312983,0.3962965
3136.892,-0.1540071,0.7294502,0.3959796
3149.052,-0.1540075,0.7294497,0.3959796
3150.673,-0.1548167,0.7264765,0.3951958
3162.584,-0.1548167,0.7264765,0.3951958
3164.619,-0.1565076,0.7283966,0.3972305
3176.444,-0.1565077,0.7283967,0.3972306
3178.012,-0.157283,0.7285737,0.398221
3190.327,-0.157283,0.7285737,0.398221
3192.127,-0.1577624,0.728107,0.3988438
3204.435,-0.1577623,0.7281071,0.3988438
3206.163,-0.156443,0.7295037,0.3994563
3218.257,-0.156443,0.7295038,0.3994563
3220.32,-0.1556227,0.7302886,0.3998314
3232.151,-0.1556227,0.7302886,0.3998314
3234.003,-0.1549975,0.7327453,0.4005965
3245.531,-0.1549974,0.7327458,0.4005966
3247.131,-0.1543806,0.7356292,0.4006476
3259.201,-0.1543806,0.7356292,0.4006476
3260.752,-0.1538054,0.7383363,0.4005045
3273.325,-0.1538054,0.7383363,0.4005045
3275.093,-0.1533699,0.7363214,0.3998088
3287.148,-0.1533699,0.7363213,0.3998087
3288.75,-0.1529967,0.7349486,0.3993066
3300.671,-0.1529967,0.7349486,0.3993066
3302.337,-0.1528489,0.7337656,0.3981666
3314.401,-0.1528489,0.7337656,0.3981666
3316.292,-0.1526534,0.732926,0.3972809
3328.445,-0.1526534,0.7329259,0.3972809
3330.646,-0.1524334,0.7323083,0.3965524
3341.967,-0.1524334,0.7323083,0.3965524
3343.519,-0.1536833,0.7334326,0.3958863
3355.78,-0.1536833,0.7334327,0.3958863
3357.46,-0.1544125,0.7343392,0.3951524
3369.507,-0.1544125,0.7343392,0.3951524
3371.368,-0.1554341,0.7361379,0.3938093
3383.376,-0.1554343,0.7361382,0.393809
3385.393,-0.1561733,0.7377919,0.3923268
3397.899,-0.1561733,0.7377919,0.3923268
3399.435,-0.1559418,0.7363191,0.391233
3411.87,-0.1559417,0.7363187,0.3912327
3413.811,-0.1558006,0.7351285,0.390307
3425.754,-0.1558006,0.7351285,0.390307
3427.331,-0.1557178,0.7341034,0.3894714
3439.744,-0.1557178,0.7341034,0.3894714
3442.06,-0.155744,0.7341201,0.3865343
