time,x_pos,y_pos,z_pos
2199.335,-0.2099713,0.7712308,0.4032085
2213.41,-0.2079257,0.7570496,0.3993233
2227.285,-0.2052962,0.7460106,0.3991797
2241.457,-0.2030654,0.7338867,0.397838
2255.05,-0.200501,0.7286012,0.3956864
2268.893,-0.1986761,0.7213286,0.3931116
2282.856,-0.1973055,0.7129207,0.3903083
2296.717,-0.1957023,0.7069131,0.3920084
2310.41,-0.1937297,0.6994699,0.3928643
2324.458,-0.1899028,0.6907623,0.3918697
2338.439,-0.1874187,0.6821526,0.3903494
2352.433,-0.18582,0.6736404,0.3885503
2366.474,-0.1877261,0.6765738,0.3860328
2380.649,-0.1893108,0.6770924,0.3836457
2394.415,-0.1915643,0.6851123,0.3821725
2407.978,-0.1917783,0.6927027,0.3794402
2422.007,-0.1949352,0.6996071,0.3804818
2435.994,-0.196914,0.7038797,0.3808302
2449.885,-0.197749,0.7060707,0.3808073
2464.045,-0.1974533,0.711536,0.3804737
2477.517,-0.1967933,0.7155095,0.3799755
2491.609,-0.196976,0.7156447,0.3798728
2505.306,-0.1970668,0.7155793,0.3796779
2519.561,-0.1971602,0.7153864,0.3793595
2533.398,-0.1967325,0.7142829,0.3797099
2547.374,-0.1961894,0.7126113,0.3801756
2561.344,-0.1951274,0.7128875,0.3810181
2575.125,-0.1940998,0.7131051,0.3817899
2589.146,-0.1933986,0.7148638,0.3798891
2603.031,-0.1922585,0.716325,0.37652
2616.93,-0.1910094,0.717765,0.3730612
2631.102,-0.1888733,0.7171364,0.3698736
2644.827,-0.1870306,0.7168645,0.3671256
2658.85,-0.1849978,0.7141272,0.3634808
2672.544,-0.1833394,0.7118581,0.3600962
2686.556,-0.1773489,0.7155998,0.3472849
2700.5,-0.1728536,0.7178813,0.3366266
2714.724,-0.1694483,0.719263,0.3279889
2728.477,-0.1619115,0.7117791,0.3207783
2742.514,-0.1561941,0.7070661,0.3145759
2756.402,-0.1471215,0.7078765,0.3046741
2770.463,-0.1399539,0.7084532,0.2972518
2784.584,-0.1341274,0.7085727,0.2906652
2798.23,-0.1263452,0.7209876,0.2769984
2812.008,-0.1197725,0.7287982,0.2667864
2826.609,-0.1120232,0.7185088,0.2583198
2840.163,-0.1056146,0.7129204,0.2503317
2854.19,-0.09945202,0.7184175,0.2403613
2867.415,-0.09359255,0.7212334,0.230692
2881.523,-0.0879694,0.7230397,0.221532
2895.658,-0.08153023,0.7178124,0.2166411
2909.224,-0.07532196,0.7149831,0.2109415
2923.325,-0.06759784,0.7099282,0.2059745
2937.261,-0.06005526,0.706615,0.200372
2951.273,-0.05256274,0.7041624,0.1944098
2965.015,-0.04797824,0.7138377,0.1815177
2978.828,-0.04262718,0.7190908,0.1701516
2992.978,-0.04022091,0.7168648,0.1643995
3006.905,-0.03659287,0.7155064,0.1578466
3020.905,-0.03383843,0.7172154,0.1528454
3034.785,-0.03029425,0.7182589,0.1467594
3048.531,-0.02627916,0.7189705,0.1399609
3062.86,-0.02294311,0.7188209,0.1303608
3076.521,-0.01897343,0.718709,0.1212652
3090.46,-0.01969121,0.7202379,0.1185791
3104.402,-0.01876973,0.7213256,0.1146103
3118.133,-0.01688595,0.7221996,0.1098043
3132.417,-0.01631333,0.7222008,0.1095759
3146.166,-0.01504795,0.7222137,0.1078247
3160.12,-0.01489009,0.7258692,0.1101753
3173.945,-0.01375221,0.7284715,0.1110223
3187.822,-0.01354866,0.7258813,0.1104339
3201.799,-0.01298365,0.7240688,0.1097374
3215.884,-0.01230971,0.7226598,0.1090606
3230.188,-0.01143125,0.7205968,0.1082555
3243.761,-0.01105769,0.719559,0.1081589
3257.636,-0.01097701,0.7190654,0.1104942
3271.274,-0.01153298,0.7191951,0.1125356
3285.199,-0.0121657,0.7195426,0.1139791
3299.161,-0.0118167,0.7215101,0.1185697
3312.994,-0.01156026,0.7221178,0.120955
3327.236,-0.01329303,0.722747,0.1244011
3341.112,-0.01428672,0.7225176,0.1268368
3355.035,-0.01374234,0.724385,0.1312874
3369.024,-0.01295609,0.7254252,0.1347124
3382.81,-0.01209848,0.7258378,0.1372846
3396.74,-0.01014496,0.726324,0.141464
3410.91,-0.008633696,0.7267269,0.1449932
3424.78,-0.003196247,0.7272024,0.1480079
3438.499,0.001198977,0.7277779,0.1507443
3452.495,0.004904971,0.7283626,0.1532602
3466.419,0.009321325,0.7315894,0.1589983
3480.295,0.0133125,0.7343016,0.1640828
3494.271,0.02019399,0.7333282,0.1738989
3507.842,0.02534705,0.7329959,0.1814767
3521.971,0.03262779,0.7339968,0.1918294
3535.745,0.03914557,0.7351452,0.2005105
3550.198,0.04517557,0.7363771,0.2081335
3564.064,0.0559685,0.7243546,0.2190128
3577.698,0.06503763,0.7165711,0.228011
3591.545,0.06952916,0.7195274,0.2436508
3605.334,0.07380677,0.7208799,0.2551653
3619.147,0.07798818,0.7215173,0.2646939
3633.169,0.08798184,0.7192693,0.276147
3647.396,0.09663654,0.7172661,0.2859744
3661.113,0.1015702,0.7178832,0.2962294
3675.136,0.1071589,0.7178158,0.3057023
3688.925,0.1141645,0.717523,0.3180438
3702.876,0.1209813,0.7172762,0.3291153
3716.889,0.1277374,0.7171581,0.3396391
3730.837,0.1249499,0.7254684,0.3433083
3745.103,0.126404,0.7303718,0.3484812
3758.889,0.131218,0.7329503,0.3546001
3772.789,0.1358484,0.7345906,0.3609319
3787.452,0.1398972,0.7313136,0.3646269
3800.806,0.1442738,0.7297223,0.3699223
3814.646,0.1487941,0.728973,0.3761053
3828.736,0.1480178,0.7229284,0.3766873
3842.692,0.1491546,0.7197328,0.3796586
3856.429,0.1442789,0.721078,0.3784748
3870.125,0.1430551,0.7214579,0.3784487
3884.325,0.1431346,0.7214815,0.3790895
3898.051,0.1434993,0.7220657,0.3782989
3911.662,0.1432106,0.7233953,0.3752655
3925.614,0.1398777,0.7237368,0.3683741
3939.508,0.1374367,0.7243741,0.3635674
3953.612,0.1359288,0.7232537,0.3595564
3967.706,0.1350296,0.7224115,0.3568832
3981.761,0.1344626,0.7217792,0.3550814
3995.673,0.1320921,0.7223578,0.3547719
4009.801,0.1308506,0.7229037,0.3548323
4023.47,0.1299136,0.7290502,0.3571979
4037.393,0.1298814,0.734181,0.3590347
4051.267,0.130357,0.7387288,0.3605495
4065.2,0.1334379,0.7591599,0.3687161
