time,x_pos,y_pos,z_pos
2853.875,-0.2227699,0.7590201,0.4354377
2867.684,-0.2211566,0.7423587,0.4355861
2881.695,-0.219986,0.7276916,0.4346158
2895.503,-0.2190274,0.7141977,0.4329458
2909.505,-0.2173354,0.708275,0.4341253
2923.626,-0.2166916,0.7003055,0.4329509
2937.414,-0.2171248,0.699603,0.43039
2950.955,-0.2170862,0.6960771,0.427838
2966.829,-0.2191527,0.696497,0.4220134
2978.827,-0.2197306,0.6959456,0.4177354
2992.961,-0.2195433,0.6946673,0.4137499
3006.831,-0.2181687,0.6934795,0.4108615
3020.521,-0.216615,0.6917843,0.4079892
3034.595,-0.2188203,0.6951674,0.4090557
3048.375,-0.2195414,0.6960329,0.4094059
3062.406,-0.2193676,0.7017445,0.4129946
3076.615,-0.2190109,0.7044582,0.4144174
3090.307,-0.218562,0.7057445,0.4150686
3104.323,-0.2179401,0.708209,0.4155876
3118.441,-0.2172131,0.709851,0.4157421
3132.086,-0.2159875,0.7134445,0.4156438
3146.041,-0.2150547,0.715984,0.4146386
3159.836,-0.2143307,0.7179015,0.4133375
3174.125,-0.2123968,0.7146297,0.4102745
3187.89,-0.2113385,0.7128593,0.4076666
3201.863,-0.2069285,0.7138658,0.3985291
3215.567,-0.2031535,0.7147745,0.3905492
3229.65,-0.200223,0.7200716,0.3749476
3243.596,-0.1980836,0.7235739,0.3631093
3257.767,-0.1963511,0.72593,0.3538688
3271.512,-0.1875881,0.7235274,0.3447824
3285.502,-0.1812952,0.722358,0.337071
3299.699,-0.1742535,0.7168549,0.3251463
3312.94,-0.1684354,0.7130302,0.3151202
3327.048,-0.1632727,0.7104419,0.3065669
3341.35,-0.1536515,0.7055742,0.2900416
3355.014,-0.1461866,0.7021966,0.2773211
3368.991,-0.1369516,0.7132188,0.2587118
3382.767,-0.1292369,0.7194414,0.2454534
3396.79,-0.1194365,0.7214326,0.2321123
3410.773,-0.1111453,0.7235355,0.221459
3424.833,-0.1033112,0.7255396,0.2120264
3438.834,-0.09828895,0.7218262,0.1978694
3452.593,-0.09250703,0.7202373,0.1853678
3466.485,-0.08880475,0.7223873,0.1795501
3480.155,-0.08373525,0.7235968,0.171615
3494.26,-0.07816792,0.7243667,0.162481
3508.281,-0.07331669,0.7263137,0.1544973
3522.186,-0.06818505,0.7277272,0.1452003
3535.757,-0.06674537,0.7248527,0.1385065
3549.813,-0.06388652,0.7232748,0.1306878
3563.997,-0.06344984,0.7198968,0.1294456
3577.791,-0.06194692,0.7176647,0.1262699
3591.707,-0.05938856,0.7159268,0.1218677
3605.572,-0.06111747,0.7165404,0.1204396
3619.617,-0.06118574,0.7166224,0.1175693
3633.508,-0.06130476,0.7159117,0.1180505
3647.347,-0.0608396,0.7155148,0.1175022
3661.525,-0.0598307,0.7151022,0.1159922
3675.264,-0.05938348,0.718316,0.1196057
3689.207,-0.058259,0.7200849,0.1215734
3703.164,-0.05837711,0.720971,0.1259518
3717.325,-0.05866186,0.7223378,0.1328239
3730.76,-0.05964755,0.7211758,0.1435501
3745.022,-0.06035709,0.7200965,0.1510114
3758.807,-0.06076392,0.7190754,0.1556684
3772.949,-0.06063253,0.7189811,0.1649858
3786.617,-0.0602912,0.7186353,0.1713225
3800.487,-0.05691946,0.7152284,0.1781975
3814.545,-0.05434962,0.7128819,0.1835506
3828.113,-0.05235101,0.711215,0.1880904
3842.333,-0.05074743,0.7183911,0.1983482
3856.317,-0.04904342,0.7225727,0.2061131
3869.912,-0.04552789,0.7177753,0.2180789
3884.242,-0.04281282,0.7146978,0.2276848
3898.004,-0.0389397,0.7170983,0.2359062
3911.763,-0.03574953,0.7183781,0.2429664
3925.853,-0.03289367,0.7190456,0.2494709
3939.793,-0.0297246,0.7204367,0.2584961
3953.759,-0.02678594,0.7215102,0.2668859
3967.58,-0.02334054,0.7182654,0.2727778
3981.276,-0.02002317,0.7161175,0.2788929
3995.286,-0.01661593,0.7145965,0.2853438
4009.436,-0.01600802,0.7178094,0.2930357
4023.424,-0.01466927,0.7195321,0.2998418
4037.121,-0.01679204,0.7199714,0.3018105
4051.326,-0.01685606,0.7193437,0.304521
4065.265,-0.01684939,0.7194563,0.3045331
4079.118,-0.01590607,0.7188406,0.3054937
4092.917,-0.01453652,0.7179002,0.307153
