time,x_pos,y_pos,z_pos
1990.055,-0.1972523,0.7751914,0.4189887
2004.1,-0.1969213,0.7610765,0.417132
2018.178,-0.1975351,0.7470876,0.4151763
2031.985,-0.1983126,0.7430403,0.4085969
2045.91,-0.1991506,0.7362936,0.4038773
2059.67,-0.1988021,0.7324369,0.4005783
2073.788,-0.1984689,0.7257953,0.3975201
2087.814,-0.1982439,0.7172714,0.394473
2101.754,-0.1967523,0.7134347,0.3909425
2115.831,-0.1960059,0.7080767,0.3872206
2129.407,-0.1939743,0.7099925,0.3870484
2143.393,-0.1922867,0.7092265,0.3856911
2157.402,-0.1916667,0.7090076,0.385813
2171.397,-0.1911902,0.7064454,0.3843459
2185.561,-0.1908577,0.7024357,0.3819593
2199.469,-0.1938454,0.6984344,0.3807139
2212.977,-0.195415,0.6927028,0.3791586
2226.909,-0.1965699,0.6954861,0.3794829
2240.817,-0.1968342,0.69561,0.3788646
2254.74,-0.1967457,0.6944267,0.3778279
2268.774,-0.1972347,0.6992214,0.3805953
2282.502,-0.1975715,0.7023268,0.382196
2296.134,-0.1976262,0.7076123,0.3816532
2310.207,-0.1969917,0.712382,0.380887
2324.178,-0.1970021,0.71629,0.3823439
2338.155,-0.1967118,0.7189987,0.3834818
2352.35,-0.1963881,0.7210287,0.3843983
2366.082,-0.1953261,0.7192996,0.3851228
2381.72,-0.1947327,0.7182527,0.3855768
2394.134,-0.1946045,0.7188819,0.3862187
2408.12,-0.1946473,0.7192589,0.3865042
2422.123,-0.1948236,0.7194717,0.3865076
2435.852,-0.1942674,0.7203836,0.3863893
2449.892,-0.1940913,0.7216493,0.3860349
2463.656,-0.1934294,0.7202336,0.3856348
2477.573,-0.1930654,0.7195081,0.3854638
2491.621,-0.1930632,0.719427,0.3850731
2505.697,-0.1928851,0.7193246,0.3848249
2519.94,-0.1926,0.7192236,0.3846308
2533.631,-0.1939407,0.7195926,0.3841343
2547.425,-0.1946571,0.7194819,0.3839954
2561.165,-0.1951921,0.7203555,0.3844876
2575.225,-0.1954643,0.7205377,0.3846837
2589.188,-0.1956123,0.7203721,0.3847091
2603.499,-0.1957551,0.719957,0.3840976
2617.148,-0.195786,0.7194456,0.3834834
2631.001,-0.1947658,0.7185327,0.3830394
2644.62,-0.1939725,0.7180311,0.3827159
2658.958,-0.1922566,0.718688,0.3808836
2672.37,-0.1903279,0.7195061,0.3790937
2686.516,-0.1882536,0.7204386,0.3775948
2701.005,-0.1828013,0.7217889,0.3748464
2714.388,-0.1780774,0.7230346,0.3726449
2728.429,-0.1696743,0.7234553,0.3648815
2742.432,-0.1631496,0.7243882,0.3591115
2756.408,-0.1581045,0.7252623,0.3546457
2770.315,-0.1459709,0.7223734,0.345982
2784.503,-0.1366658,0.7201616,0.339118
2798.022,-0.1236073,0.7164235,0.3285365
