time,x_pos,y_pos,z_pos
2254.889,-0.1539933,0.758541,0.3994654
2268.802,-0.152827,0.7469946,0.3993267
2282.579,-0.151954,0.7374564,0.3990553
2296.996,-0.1538329,0.7312529,0.3977096
2310.407,-0.1547735,0.7250106,0.3963793
2324.516,-0.1543767,0.7183166,0.3945067
2338.33,-0.1536451,0.7117126,0.3928189
2352.201,-0.1529457,0.7053861,0.3898352
2366.013,-0.1517804,0.6992486,0.3874377
2380.094,-0.1503131,0.6930346,0.3852015
2394.287,-0.1496316,0.6936888,0.3853761
2408.061,-0.149147,0.6935322,0.3851107
2421.979,-0.1498028,0.6961366,0.3862869
2435.887,-0.1505924,0.698465,0.3872933
2449.773,-0.1506623,0.6993724,0.3877488
2463.88,-0.1514308,0.7015366,0.3892215
2477.648,-0.1522696,0.7035881,0.3905614
2491.782,-0.1531053,0.7074847,0.3912848
2505.675,-0.1534248,0.7108466,0.3915157
2519.423,-0.1528057,0.7124738,0.3923389
2533.425,-0.1524297,0.7137173,0.3927867
2547.398,-0.1521846,0.7147269,0.393064
2561.741,-0.1521085,0.7161937,0.393232
2575.31,-0.152064,0.7176044,0.3933864
2589.284,-0.1529727,0.7203746,0.3920168
2602.953,-0.1534708,0.7228506,0.3907785
2616.867,-0.1538581,0.7251213,0.389658
2630.764,-0.1529144,0.7227057,0.3893845
2644.857,-0.1521047,0.7207895,0.3891988
2658.779,-0.1505934,0.7188082,0.3894401
2672.616,-0.1496137,0.717061,0.3897223
2686.379,-0.1495304,0.7176809,0.3902404
2700.689,-0.1495538,0.7183373,0.3905682
2714.522,-0.1496416,0.7190719,0.3907583
2728.263,-0.1489628,0.7189261,0.3904015
2742.454,-0.1482832,0.7190059,0.3899648
2756.562,-0.148018,0.7184933,0.3888813
2770.005,-0.1475911,0.7179886,0.3878399
2784.145,-0.1470385,0.7174805,0.3867845
2797.823,-0.1466522,0.7189246,0.3858368
2811.903,-0.1460906,0.7200373,0.3847384
2825.814,-0.1443317,0.7187259,0.3825755
2839.759,-0.1426173,0.7174973,0.3805048
2853.532,-0.1397463,0.7168522,0.376296
2867.468,-0.1371203,0.7159196,0.3723319
2881.282,-0.1347714,0.7148398,0.3687269
2895.475,-0.1288766,0.717559,0.3593436
2909.284,-0.1238902,0.7196729,0.3516869
2923.117,-0.1111688,0.7288018,0.3366867
2937.068,-0.1022126,0.7346762,0.3257541
2951.104,-0.09460865,0.7227763,0.3245167
2964.868,-0.08841706,0.7158586,0.3221038
2978.834,-0.08286937,0.7112808,0.3190404
2992.9,-0.0738003,0.710124,0.3115493
3006.98,-0.06611028,0.7090822,0.3052914
3020.524,-0.06135131,0.7105174,0.3035741
3034.715,-0.05644329,0.7113326,0.3009282
3048.892,-0.05136033,0.7117369,0.297785
3062.784,-0.0500998,0.7231976,0.2848015
3076.691,-0.04677692,0.7302123,0.2748716
3090.241,-0.04423779,0.7302753,0.2740556
3104.403,-0.04092471,0.7304991,0.2717041
3118.152,-0.03831957,0.7290393,0.2696328
3132.009,-0.03570113,0.7287697,0.2668547
3146.155,-0.03283457,0.7290356,0.2634839
3159.811,-0.03144298,0.7240841,0.2634827
3174.062,-0.03001591,0.721096,0.2629855
3187.619,-0.03011409,0.7182823,0.2619901
3201.611,-0.03014336,0.7166641,0.2613198
3215.669,-0.03006937,0.7154974,0.2606241
3229.526,-0.03140612,0.71807,0.262606
3243.364,-0.0319584,0.7191513,0.2635647
3257.357,-0.03343011,0.7219678,0.2661668
3271.429,-0.03439081,0.7237896,0.2679097
3285.427,-0.03559954,0.7246037,0.2690436
3298.948,-0.03645023,0.7251296,0.2697945
3312.996,-0.03698021,0.7255518,0.27032
3326.978,-0.03706405,0.7227507,0.2695283
3341.031,-0.03707126,0.7214645,0.2694526
3355.082,-0.03618749,0.7190858,0.2702752
3368.803,-0.03576585,0.7176913,0.2712398
3382.827,-0.03548975,0.7166714,0.2721617
3396.658,-0.03512402,0.7163938,0.2720414
3410.557,-0.03474867,0.7163061,0.2720453
3424.912,-0.03464786,0.7167447,0.2728017
3438.752,-0.03442565,0.7171095,0.2735769
