time,x_pos,y_pos,z_pos
5022.118,0.01578927,0.7626593,0.05703652
5035.842,0.01630192,0.7574965,0.05353305
5049.252,0.01677182,0.7531057,0.05075111
5063.366,0.01889348,0.7473481,0.04643175
5077.486,0.02037714,0.7434722,0.04302789
5091.467,0.02219807,0.741747,0.04233342
5105.397,0.02339543,0.7397789,0.04065909
5119.146,0.0235578,0.7409763,0.04139672
5133.106,0.02409127,0.7409397,0.04087149
5146.961,0.02480528,0.7403564,0.03979304
5161.253,0.023219,0.741456,0.04007821
5175.214,0.0227953,0.7412423,0.03946348
5188.781,0.02397985,0.7402863,0.03953591
5202.628,0.02501649,0.7387058,0.0387871
5216.625,0.02448747,0.7389072,0.03839877
5230.837,0.02439975,0.7385638,0.03771976
5244.395,0.02451456,0.7379753,0.03688547
5258.51,0.02616615,0.7360851,0.03622317
5272.77,0.02728051,0.7345495,0.03552522
5286.381,0.02737776,0.7346446,0.03590586
5300.414,0.0276621,0.7344635,0.03609158
5314.228,0.02804638,0.734151,0.03619058
5328.144,0.02777411,0.7347376,0.03719774
5341.932,0.02761216,0.7349603,0.03785787
5356.076,0.02723189,0.7357218,0.039077
5369.774,0.02694417,0.7361617,0.03996432
5384.278,0.02624904,0.7359371,0.04015502
5397.495,0.02567369,0.7355151,0.04039522
5411.488,0.02519886,0.7349481,0.04063788
5425.695,0.0250268,0.7352535,0.04083256
5439.495,0.02491234,0.7354382,0.04093534
5453.508,0.02472363,0.7357167,0.04131413
5467.451,0.02455859,0.7359683,0.04167801
5481.166,0.02434355,0.7362884,0.0420831
5495.265,0.02367966,0.7366525,0.04205126
5509.332,0.02301331,0.7369894,0.04197988
5523.223,0.0230041,0.7376409,0.04288653
5536.93,0.02299037,0.7381529,0.04360586
5550.844,0.02306941,0.7389581,0.04463779
5564.74,0.02313973,0.7395771,0.04542035
5578.7,0.02320077,0.740047,0.046004
5592.885,0.02321125,0.741052,0.04694717
5606.493,0.02319299,0.7420611,0.04775169
5620.649,0.02357057,0.7409178,0.04767419
5634.414,0.02367395,0.7400852,0.04776364
5648.165,0.02360845,0.7394332,0.04796496
5662.009,0.02543973,0.7398146,0.04987925
5676.085,0.02665965,0.7401874,0.05125783
5690.555,0.02707689,0.7406071,0.05171274
5704.423,0.02735189,0.7408702,0.05185836
5717.818,0.02693579,0.7420548,0.0533129
5732.02,0.02665377,0.7424126,0.05382398
5745.512,0.02644276,0.7424371,0.05393618
5759.775,0.02396558,0.7438586,0.05601767
5773.451,0.022562,0.7438054,0.05746429
5787.635,0.02178988,0.746121,0.06150326
5801.453,0.02194539,0.7464975,0.06396902
5815.484,0.02240005,0.7461994,0.06577978
5829.003,0.02427118,0.7411714,0.06472884
5843.156,0.02558079,0.7385801,0.06561225
5857.205,0.02582054,0.7345521,0.06435844
5871.583,0.0263336,0.7325701,0.0652221
5884.835,0.02698791,0.7302063,0.06488796
5898.836,0.02764252,0.7291238,0.0658944
5912.901,0.02829154,0.7286404,0.06756024
5926.89,0.02597521,0.7291239,0.06812804
5940.639,0.02479415,0.7297222,0.06990919
5956.182,0.0238793,0.7290286,0.06886105
5968.417,0.02334189,0.7292342,0.06931315
5981.977,0.0229899,0.7296969,0.07036076
5996.169,0.0227378,0.7298136,0.07036638
6010.14,0.02237943,0.7302181,0.07078043
6024.394,0.02304178,0.7308481,0.07204848
6038.183,0.02317341,0.7314322,0.07290089
6051.93,0.02327972,0.7324106,0.0761743
6065.696,0.02305131,0.7328578,0.07825992
6079.588,0.02267559,0.7331157,0.07990119
6093.672,0.02275177,0.7322238,0.07998364
6107.798,0.02274481,0.7317453,0.08050542
6121.438,0.02335107,0.7317931,0.08185556
6135.447,0.02362442,0.7318642,0.08294226
6149.446,0.02374387,0.7319484,0.08393533
6163.765,0.02298206,0.7330946,0.08541091
6177.424,0.02242383,0.7339364,0.08674826
6191.297,0.02257678,0.7333279,0.08744823
6205.142,0.02272401,0.7327029,0.08816174
6219.328,0.0228156,0.7327532,0.08916339
6233.246,0.02294117,0.7327092,0.09012298
6247.122,0.02305777,0.7325972,0.09098037
6260.993,0.022679,0.7340965,0.09301512
